GEN: 67    BEST FITNESS: 537436208.1665963        	BEST SCORE: 29   	BEST RATIO: 0.06937799043062201      WON: 0    	WON AVG RATIO: 0                        	
GEN: 68    BEST FITNESS: 268952163.4342407        	BEST SCORE: 28   	BEST RATIO: 0.05343511450381679      WON: 0    	WON AVG RATIO: 0                        	
GEN: 69    BEST FITNESS: 17180659993.306816       	BEST SCORE: 34   	BEST RATIO: 0.07538802660753881      WON: 0    	WON AVG RATIO: 0                        	
GEN: 70    BEST FITNESS: 1074347329.3461573       	BEST SCORE: 30   	BEST RATIO: 0.06711409395973154      WON: 0    	WON AVG RATIO: 0                        	
GEN: 71    BEST FITNESS: 1074352074.0352602       	BEST SCORE: 30   	BEST RATIO: 0.07792207792207792      WON: 0    	WON AVG RATIO: 0                        	
GEN: 72    BEST FITNESS: 537443279.7559085        	BEST SCORE: 29   	BEST RATIO: 0.09119496855345911      WON: 0    	WON AVG RATIO: 0                        	
GEN: 73    BEST FITNESS: 537432845.1667575        	BEST SCORE: 29   	BEST RATIO: 0.06263498920086392      WON: 0    	WON AVG RATIO: 0                        	
GEN: 74    BEST FITNESS: 1074347407.552013        	BEST SCORE: 30   	BEST RATIO: 0.06726457399103139      WON: 0    	WON AVG RATIO: 0                        	
GEN: 75    BEST FITNESS: 537436721.7583419        	BEST SCORE: 29   	BEST RATIO: 0.0705596107055961       WON: 0    	WON AVG RATIO: 0                        	
GEN: 76    BEST FITNESS: 1074354435.572372        	BEST SCORE: 30   	BEST RATIO: 0.08498583569405099      WON: 0    	WON AVG RATIO: 0                        	
GEN: 77    BEST FITNESS: 2148125678.1461887       	BEST SCORE: 31   	BEST RATIO: 0.05783582089552239      WON: 0    	WON AVG RATIO: 0                        	
GEN: 78    BEST FITNESS: 2148133377.4796953       	BEST SCORE: 31   	BEST RATIO: 0.06981981981981981      WON: 0    	WON AVG RATIO: 0                        	
