GEN: 36    AVG FITNESS: 1.0163110412416372       	AVG SCORE: 1.089     	AVG RATIO: 0.029976052189710698     	BEST FITNESS: 20.189338235294116       	BEST SCORE: 21   	BEST RATIO: 0.040152963671128104     TOO_OLD: 171     	WON: 0    	
GEN: 37    AVG FITNESS: 1.0994047679636365       	AVG SCORE: 1.18      	AVG RATIO: 0.03586190128859713      	BEST FITNESS: 18.639455782312925       	BEST SCORE: 20   	BEST RATIO: 0.072992700729927        TOO_OLD: 126     	WON: 0    	
GEN: 38    AVG FITNESS: 1.4011452310214698       	AVG SCORE: 1.501     	AVG RATIO: 0.039195717456587016     	BEST FITNESS: 21.2655737704918         	BEST SCORE: 23   	BEST RATIO: 0.08156028368794327      TOO_OLD: 131     	WON: 0    	
GEN: 39    AVG FITNESS: 1.8240835711766534       	AVG SCORE: 1.952     	AVG RATIO: 0.04195864322256137      	BEST FITNESS: 24.197333333333333       	BEST SCORE: 26   	BEST RATIO: 0.07449856733524356      TOO_OLD: 161     	WON: 0    	
GEN: 40    AVG FITNESS: 1.887988811532648        	AVG SCORE: 2.025     	AVG RATIO: 0.04459959474936129      	BEST FITNESS: 22.06711409395973        	BEST SCORE: 24   	BEST RATIO: 0.08759124087591241      TOO_OLD: 138     	WON: 0    	
GEN: 41    AVG FITNESS: 2.0561002571216513       	AVG SCORE: 2.206     	AVG RATIO: 0.04726298875200857      	BEST FITNESS: 22.259818731117825       	BEST SCORE: 24   	BEST RATIO: 0.0781758957654723       TOO_OLD: 125     	WON: 0    	
GEN: 42    AVG FITNESS: 2.434604984928159        	AVG SCORE: 2.606     	AVG RATIO: 0.0503370612891387       	BEST FITNESS: 22.931354359925788       	BEST SCORE: 24   	BEST RATIO: 0.04660194174757282      TOO_OLD: 122     	WON: 0    	
GEN: 43    AVG FITNESS: 2.4030726845176034       	AVG SCORE: 2.574     	AVG RATIO: 0.04848462016613611      	BEST FITNESS: 24.88695652173913        	BEST SCORE: 27   	BEST RATIO: 0.08490566037735849      TOO_OLD: 135     	WON: 0    	
GEN: 44    AVG FITNESS: 2.191664589770484        	AVG SCORE: 2.348     	AVG RATIO: 0.04784416007824598      	BEST FITNESS: 24.158038147138964       	BEST SCORE: 26   	BEST RATIO: 0.07624633431085044      TOO_OLD: 130     	WON: 0    	
GEN: 45    AVG FITNESS: 2.6430546392392817       	AVG SCORE: 2.827     	AVG RATIO: 0.04790145212396428      	BEST FITNESS: 23.09451219512195        	BEST SCORE: 25   	BEST RATIO: 0.08250825082508251      TOO_OLD: 165     	WON: 0    	
GEN: 46    AVG FITNESS: 2.794268455262056        	AVG SCORE: 2.986     	AVG RATIO: 0.04861846068678054      	BEST FITNESS: 24.292929292929294       	BEST SCORE: 26   	BEST RATIO: 0.07027027027027027      TOO_OLD: 166     	WON: 0    	
GEN: 47    AVG FITNESS: 2.980715967948865        	AVG SCORE: 3.174     	AVG RATIO: 0.04713044769470636      	BEST FITNESS: 26.68013468013468        	BEST SCORE: 28   	BEST RATIO: 0.04946996466431095      TOO_OLD: 180     	WON: 0    	
GEN: 48    AVG FITNESS: 2.940346278692022        	AVG SCORE: 3.127     	AVG RATIO: 0.04527750025339183      	BEST FITNESS: 26.059405940594058       	BEST SCORE: 28   	BEST RATIO: 0.07446808510638298      TOO_OLD: 194     	WON: 0    	
GEN: 49    AVG FITNESS: 3.5059777746619782       	AVG SCORE: 3.729     	AVG RATIO: 0.04787459398390058      	BEST FITNESS: 25.3125                  	BEST SCORE: 27   	BEST RATIO: 0.06666666666666667      TOO_OLD: 190     	WON: 0    	
GEN: 50    AVG FITNESS: 3.5558017049506523       	AVG SCORE: 3.778     	AVG RATIO: 0.04700466562986003      	BEST FITNESS: 27.660828025477706       	BEST SCORE: 29   	BEST RATIO: 0.048414023372287146     TOO_OLD: 210     	WON: 0    	
GEN: 51    AVG FITNESS: 3.6012276593446373       	AVG SCORE: 3.827     	AVG RATIO: 0.04708705013841894      	BEST FITNESS: 24.677103718199607       	BEST SCORE: 26   	BEST RATIO: 0.05360824742268041      TOO_OLD: 205     	WON: 0    	
GEN: 52    AVG FITNESS: 3.955479202174391        	AVG SCORE: 4.203     	AVG RATIO: 0.049091291347411706     	BEST FITNESS: 25.694117647058825       	BEST SCORE: 28   	BEST RATIO: 0.08974358974358974      TOO_OLD: 183     	WON: 0    	
GEN: 53    AVG FITNESS: 3.877520763939847        	AVG SCORE: 4.124     	AVG RATIO: 0.04923003461859854      	BEST FITNESS: 27.716030534351145       	BEST SCORE: 29   	BEST RATIO: 0.0463258785942492       TOO_OLD: 187     	WON: 0    	
GEN: 54    AVG FITNESS: 3.9947290271186366       	AVG SCORE: 4.244     	AVG RATIO: 0.04779225459172757      	BEST FITNESS: 28.42381786339755        	BEST SCORE: 30   	BEST RATIO: 0.05545286506469501      TOO_OLD: 209     	WON: 0    	
GEN: 55    AVG FITNESS: 4.081700084536289        	AVG SCORE: 4.341     	AVG RATIO: 0.05145071824775992      	BEST FITNESS: 32.1474358974359         	BEST SCORE: 34   	BEST RATIO: 0.0576271186440678       TOO_OLD: 156     	WON: 0    	
GEN: 56    AVG FITNESS: 3.985959213625007        	AVG SCORE: 4.236     	AVG RATIO: 0.04864939360529217      	BEST FITNESS: 27.487410071942445       	BEST SCORE: 29   	BEST RATIO: 0.05502846299810247      TOO_OLD: 202     	WON: 0    	
GEN: 57    AVG FITNESS: 3.708580532117001        	AVG SCORE: 3.943     	AVG RATIO: 0.04779278078107198      	BEST FITNESS: 25.562130177514792       	BEST SCORE: 27   	BEST RATIO: 0.05625                  TOO_OLD: 195     	WON: 0    	
GEN: 58    AVG FITNESS: 3.5812933469757398       	AVG SCORE: 3.799     	AVG RATIO: 0.04644992480467555      	BEST FITNESS: 24.848381601362863       	BEST SCORE: 26   	BEST RATIO: 0.04634581105169341      TOO_OLD: 211     	WON: 0    	
GEN: 59    AVG FITNESS: 3.806281001576939        	AVG SCORE: 4.038     	AVG RATIO: 0.048596151300350214     	BEST FITNESS: 30.345718901453957       	BEST SCORE: 32   	BEST RATIO: 0.054514480408858604     TOO_OLD: 172     	WON: 0    	
GEN: 60    AVG FITNESS: 3.7079713053491354       	AVG SCORE: 3.945     	AVG RATIO: 0.04974591125178114      	BEST FITNESS: 26.76923076923077        	BEST SCORE: 28   	BEST RATIO: 0.04597701149425287      TOO_OLD: 165     	WON: 0    	
GEN: 61    AVG FITNESS: 4.030018242499618        	AVG SCORE: 4.27      	AVG RATIO: 0.04701504040871154      	BEST FITNESS: 28.708751793400285       	BEST SCORE: 30   	BEST RATIO: 0.044977511244377814     TOO_OLD: 210     	WON: 0    	
GEN: 62    AVG FITNESS: 3.935481700151595        	AVG SCORE: 4.184     	AVG RATIO: 0.04910855761217855      	BEST FITNESS: 28.67060561299852        	BEST SCORE: 30   	BEST RATIO: 0.04636785162287481      TOO_OLD: 179     	WON: 0    	
GEN: 63    AVG FITNESS: 3.941826937734469        	AVG SCORE: 4.181     	AVG RATIO: 0.04734994337485844      	BEST FITNESS: 26.447524752475246       	BEST SCORE: 28   	BEST RATIO: 0.05870020964360587      TOO_OLD: 196     	WON: 0    	
GEN: 64    AVG FITNESS: 4.343834734741318        	AVG SCORE: 4.614     	AVG RATIO: 0.048937772451025104     	BEST FITNESS: 26.913151364764268       	BEST SCORE: 29   	BEST RATIO: 0.07754010695187166      TOO_OLD: 216     	WON: 0    	
GEN: 65    AVG FITNESS: 4.369941498592052        	AVG SCORE: 4.642     	AVG RATIO: 0.04921856776300444      	BEST FITNESS: 29.844210526315788       	BEST SCORE: 32   	BEST RATIO: 0.07223476297968397      TOO_OLD: 209     	WON: 0    	
GEN: 66    AVG FITNESS: 3.906880540754281        	AVG SCORE: 4.14      	AVG RATIO: 0.046351239391835906     	BEST FITNESS: 25.39072847682119        	BEST SCORE: 27   	BEST RATIO: 0.06338028169014084      TOO_OLD: 220     	WON: 0    	
GEN: 67    AVG FITNESS: 4.160819419157128        	AVG SCORE: 4.413     	AVG RATIO: 0.04784673432214416      	BEST FITNESS: 25.61406844106464        	BEST SCORE: 27   	BEST RATIO: 0.05410821643286573      TOO_OLD: 219     	WON: 0    	
GEN: 68    AVG FITNESS: 4.088685825603888        	AVG SCORE: 4.344     	AVG RATIO: 0.04787093361544565      	BEST FITNESS: 26.450592885375492       	BEST SCORE: 28   	BEST RATIO: 0.058577405857740586     TOO_OLD: 223     	WON: 0    	
GEN: 69    AVG FITNESS: 4.068890478101625        	AVG SCORE: 4.324     	AVG RATIO: 0.048827860336961924     	BEST FITNESS: 27.255186721991702       	BEST SCORE: 29   	BEST RATIO: 0.0640176600441501       TOO_OLD: 195     	WON: 0    	
GEN: 70    AVG FITNESS: 4.1575836401212545       	AVG SCORE: 4.416     	AVG RATIO: 0.04858032364880475      	BEST FITNESS: 27.963800904977376       	BEST SCORE: 30   	BEST RATIO: 0.07281553398058252      TOO_OLD: 218     	WON: 0    	
GEN: 71    AVG FITNESS: 4.2640449360722          	AVG SCORE: 4.517     	AVG RATIO: 0.04626225176415163      	BEST FITNESS: 24.65069860279441        	BEST SCORE: 26   	BEST RATIO: 0.05473684210526316      TOO_OLD: 249     	WON: 0    	
GEN: 72    AVG FITNESS: 4.479759456922393        	AVG SCORE: 4.749     	AVG RATIO: 0.04693476176828123      	BEST FITNESS: 24.3142144638404         	BEST SCORE: 26   	BEST RATIO: 0.06933333333333333      TOO_OLD: 258     	WON: 0    	
GEN: 73    AVG FITNESS: 4.193676245310887        	AVG SCORE: 4.441     	AVG RATIO: 0.045884261316085834     	BEST FITNESS: 25.589941972920695       	BEST SCORE: 27   	BEST RATIO: 0.05510204081632653      TOO_OLD: 241     	WON: 0    	
GEN: 74    AVG FITNESS: 4.094754038509695        	AVG SCORE: 4.337     	AVG RATIO: 0.0452223056389723       	BEST FITNESS: 30.240549828178693       	BEST SCORE: 32   	BEST RATIO: 0.05818181818181818      TOO_OLD: 264     	WON: 0    	
GEN: 75    AVG FITNESS: 4.406912745136719        	AVG SCORE: 4.664     	AVG RATIO: 0.04645510866750333      	BEST FITNESS: 26.46875                 	BEST SCORE: 28   	BEST RATIO: 0.05785123966942149      TOO_OLD: 253     	WON: 0    	
GEN: 76    AVG FITNESS: 4.754503687534382        	AVG SCORE: 5.035     	AVG RATIO: 0.046852899575671854     	BEST FITNESS: 26.14218009478673        	BEST SCORE: 28   	BEST RATIO: 0.07106598984771574      TOO_OLD: 259     	WON: 0    	
GEN: 77    AVG FITNESS: 4.59261183145115         	AVG SCORE: 4.859     	AVG RATIO: 0.046370698375737214     	BEST FITNESS: 28.360655737704917       	BEST SCORE: 30   	BEST RATIO: 0.057803468208092484     TOO_OLD: 261     	WON: 0    	
GEN: 78    AVG FITNESS: 4.64773796684897         	AVG SCORE: 4.928     	AVG RATIO: 0.048002181917359873     	BEST FITNESS: 31.02                    	BEST SCORE: 33   	BEST RATIO: 0.06382978723404255      TOO_OLD: 242     	WON: 0    	
GEN: 79    AVG FITNESS: 4.484042333666591        	AVG SCORE: 4.756     	AVG RATIO: 0.04835790543975598      	BEST FITNESS: 26.58992805755396        	BEST SCORE: 28   	BEST RATIO: 0.05303030303030303      TOO_OLD: 220     	WON: 0    	
GEN: 80    AVG FITNESS: 4.534954357302458        	AVG SCORE: 4.809     	AVG RATIO: 0.04849982350864808      	BEST FITNESS: 26.854591836734695       	BEST SCORE: 29   	BEST RATIO: 0.07988980716253444      TOO_OLD: 227     	WON: 0    	
GEN: 81    AVG FITNESS: 4.490389143905774        	AVG SCORE: 4.767     	AVG RATIO: 0.048894313612866176     	BEST FITNESS: 26.456692913385826       	BEST SCORE: 28   	BEST RATIO: 0.058333333333333334     TOO_OLD: 216     	WON: 0    	
GEN: 82    AVG FITNESS: 4.4593007265279985       	AVG SCORE: 4.723     	AVG RATIO: 0.04770273409488026      	BEST FITNESS: 30.61706783369803        	BEST SCORE: 33   	BEST RATIO: 0.07783018867924528      TOO_OLD: 218     	WON: 0    	
GEN: 83    AVG FITNESS: 4.437616505822294        	AVG SCORE: 4.702     	AVG RATIO: 0.04738677362787979      	BEST FITNESS: 27.51150442477876        	BEST SCORE: 29   	BEST RATIO: 0.054104477611940295     TOO_OLD: 225     	WON: 0    	
