GEN: 1     BEST FITNESS: 2149.890070823094        	BEST SCORE: 2    	BEST RATIO: 0.25                     WON: 0    	
GEN: 148   BEST FITNESS: 3.777893186295717e+22    	BEST SCORE: 75   	BEST RATIO: 0.048796356538711776     WON: 0    	
GEN: 149   BEST FITNESS: 3.689348814742194e+19    	BEST SCORE: 65   	BEST RATIO: 0.040222772277227724     WON: 0    	
GEN: 150   BEST FITNESS: 1.1805916207174147e+21   	BEST SCORE: 70   	BEST RATIO: 0.044529262086514        WON: 0    	
GEN: 151   BEST FITNESS: 9.444732965739295e+21    	BEST SCORE: 73   	BEST RATIO: 0.04279015240328253      WON: 0    	
GEN: 152   BEST FITNESS: 3.777893186295717e+22    	BEST SCORE: 75   	BEST RATIO: 0.044722719141323794     WON: 0    	
GEN: 153   BEST FITNESS: 1.475739525896795e+20    	BEST SCORE: 67   	BEST RATIO: 0.04665738161559889      WON: 0    	
GEN: 154   BEST FITNESS: 1.8446744073712304e+19   	BEST SCORE: 64   	BEST RATIO: 0.04030226700251889      WON: 0    	
GEN: 155   BEST FITNESS: 4.722366482869649e+21    	BEST SCORE: 72   	BEST RATIO: 0.0400890868596882       WON: 0    	
GEN: 156   BEST FITNESS: 1.4757395258967943e+20   	BEST SCORE: 67   	BEST RATIO: 0.03978622327790974      WON: 0    	
GEN: 157   BEST FITNESS: 5.902958103587088e+20    	BEST SCORE: 69   	BEST RATIO: 0.03693790149892934      WON: 0    	
GEN: 158   BEST FITNESS: 9.444732965739295e+21    	BEST SCORE: 73   	BEST RATIO: 0.04768125408229915      WON: 0    	
GEN: 159   BEST FITNESS: 4.722366482869649e+21    	BEST SCORE: 72   	BEST RATIO: 0.04088586030664395      WON: 0    	
GEN: 160   BEST FITNESS: 1.5111572745182865e+23   	BEST SCORE: 77   	BEST RATIO: 0.0364756039791568       WON: 0    	
GEN: 161   BEST FITNESS: 4.722366482869649e+21    	BEST SCORE: 72   	BEST RATIO: 0.04633204633204633      WON: 0    	
GEN: 162   BEST FITNESS: 7.555786372591432e+22    	BEST SCORE: 76   	BEST RATIO: 0.043304843304843306     WON: 0    	
GEN: 163   BEST FITNESS: 1.1805916207174144e+21   	BEST SCORE: 70   	BEST RATIO: 0.04132231404958678      WON: 0    	
GEN: 164   BEST FITNESS: 3.689348814742191e+19    	BEST SCORE: 65   	BEST RATIO: 0.03825779870512066      WON: 0    	
GEN: 165   BEST FITNESS: 4.611686018429975e+18    	BEST SCORE: 62   	BEST RATIO: 0.040897097625329816     WON: 0    	
GEN: 166   BEST FITNESS: 3.777893186295717e+22    	BEST SCORE: 75   	BEST RATIO: 0.04327755337564916      WON: 0    	
GEN: 167   BEST FITNESS: 2.9514790517935584e+20   	BEST SCORE: 68   	BEST RATIO: 0.032567049808429116     WON: 0    	
GEN: 168   BEST FITNESS: 2.95147905179356e+20     	BEST SCORE: 68   	BEST RATIO: 0.03976608187134503      WON: 0    	
GEN: 169   BEST FITNESS: 5.902958103587089e+20    	BEST SCORE: 69   	BEST RATIO: 0.04345088161209068      WON: 0    	
GEN: 170   BEST FITNESS: 3.777893186295717e+22    	BEST SCORE: 75   	BEST RATIO: 0.03692762186115214      WON: 0    	
