GEN: 1     BEST FITNESS: 2149.890070823094        	BEST SCORE: 2    	BEST RATIO: 0.25                     WON: 0    	
GEN: 418   BEST FITNESS: 9.025404302858063e+32    	BEST SCORE: 97   	BEST RATIO: 0.05695830886670581      WON: 48   	
GEN: 419   BEST FITNESS: 9.377830096258256e+32    	BEST SCORE: 97   	BEST RATIO: 0.059182428309945086     WON: 46   	
GEN: 420   BEST FITNESS: 8.728145103786077e+32    	BEST SCORE: 97   	BEST RATIO: 0.055082339579784215     WON: 46   	
GEN: 421   BEST FITNESS: 9.796216397557222e+32    	BEST SCORE: 97   	BEST RATIO: 0.061822817080943275     WON: 56   	
GEN: 422   BEST FITNESS: 9.10560635531237e+32     	BEST SCORE: 97   	BEST RATIO: 0.057464454976303314     WON: 52   	
GEN: 423   BEST FITNESS: 8.46846475359079e+32     	BEST SCORE: 97   	BEST RATIO: 0.0534435261707989       WON: 63   	
GEN: 424   BEST FITNESS: 8.399051108069553e+32    	BEST SCORE: 97   	BEST RATIO: 0.053005464480874315     WON: 45   	
GEN: 425   BEST FITNESS: 8.889683937401551e+32    	BEST SCORE: 97   	BEST RATIO: 0.05610179294389821      WON: 57   	
GEN: 426   BEST FITNESS: 8.752997453170434e+32    	BEST SCORE: 97   	BEST RATIO: 0.055239179954441914     WON: 65   	
GEN: 427   BEST FITNESS: 8.83348478607315e+32     	BEST SCORE: 97   	BEST RATIO: 0.05574712643678161      WON: 43   	
GEN: 428   BEST FITNESS: 9.33227900896617e+32     	BEST SCORE: 97   	BEST RATIO: 0.0588949605343048       WON: 46   	
GEN: 429   BEST FITNESS: 9.154415442386706e+32    	BEST SCORE: 97   	BEST RATIO: 0.057772483621203095     WON: 52   	
GEN: 430   BEST FITNESS: 7.988702457259503e+32    	BEST SCORE: 97   	BEST RATIO: 0.05041580041580042      WON: 34   	
GEN: 431   BEST FITNESS: 8.459143383471261e+32    	BEST SCORE: 97   	BEST RATIO: 0.053384700055035775     WON: 42   	
GEN: 432   BEST FITNESS: 8.449842511141991e+32    	BEST SCORE: 97   	BEST RATIO: 0.05332600329851567      WON: 44   	
GEN: 433   BEST FITNESS: 9.20926514545673e+32     	BEST SCORE: 97   	BEST RATIO: 0.05811863391252247      WON: 60   	
GEN: 434   BEST FITNESS: 9.089452115770125e+32    	BEST SCORE: 97   	BEST RATIO: 0.05736250739207569      WON: 57   	
GEN: 435   BEST FITNESS: 8.96748163813727e+32     	BEST SCORE: 97   	BEST RATIO: 0.056592765460910154     WON: 64   	
GEN: 436   BEST FITNESS: 8.798090170444924e+32    	BEST SCORE: 97   	BEST RATIO: 0.05552375500858615      WON: 52   	
GEN: 437   BEST FITNESS: 9.594421677757355e+32    	BEST SCORE: 97   	BEST RATIO: 0.060549313358302125     WON: 49   	
GEN: 438   BEST FITNESS: 8.435929488346477e+32    	BEST SCORE: 97   	BEST RATIO: 0.05323819978046103      WON: 42   	
GEN: 439   BEST FITNESS: 9.377830096258256e+32    	BEST SCORE: 97   	BEST RATIO: 0.059182428309945086     WON: 27   	
GEN: 440   BEST FITNESS: 9.116407786338839e+32    	BEST SCORE: 97   	BEST RATIO: 0.05753262158956109      WON: 32   	
GEN: 441   BEST FITNESS: 8.683764704953266e+32    	BEST SCORE: 97   	BEST RATIO: 0.05480225988700565      WON: 43   	
GEN: 442   BEST FITNESS: 8.864050477374442e+32    	BEST SCORE: 97   	BEST RATIO: 0.05594002306805075      WON: 47   	
GEN: 443   BEST FITNESS: 8.043047371934735e+32    	BEST SCORE: 97   	BEST RATIO: 0.05075876504447933      WON: 56   	
GEN: 444   BEST FITNESS: 8.417449905677591e+32    	BEST SCORE: 97   	BEST RATIO: 0.05312157721796276      WON: 47   	
GEN: 445   BEST FITNESS: 8.777991734875661e+32    	BEST SCORE: 97   	BEST RATIO: 0.05539691604797259      WON: 51   	
GEN: 446   BEST FITNESS: 9.446996636611728e+32    	BEST SCORE: 97   	BEST RATIO: 0.059618930547019056     WON: 45   	
GEN: 447   BEST FITNESS: 9.057314983952435e+32    	BEST SCORE: 97   	BEST RATIO: 0.057159693576900414     WON: 54   	
GEN: 448   BEST FITNESS: 8.82334301249557e+32     	BEST SCORE: 97   	BEST RATIO: 0.05568312284730195      WON: 59   	
GEN: 449   BEST FITNESS: 9.225848456042786e+32    	BEST SCORE: 97   	BEST RATIO: 0.05822328931572629      WON: 69   	
GEN: 450   BEST FITNESS: 8.52482724779106e+32     	BEST SCORE: 97   	BEST RATIO: 0.05379922351636162      WON: 48   	
GEN: 451   BEST FITNESS: 9.148966385575763e+32    	BEST SCORE: 97   	BEST RATIO: 0.05773809523809524      WON: 57   	
GEN: 452   BEST FITNESS: 8.435929488346477e+32    	BEST SCORE: 97   	BEST RATIO: 0.05323819978046103      WON: 62   	
GEN: 453   BEST FITNESS: 8.858941514563275e+32    	BEST SCORE: 97   	BEST RATIO: 0.05590778097982709      WON: 79   	
GEN: 454   BEST FITNESS: 8.803129168251593e+32    	BEST SCORE: 97   	BEST RATIO: 0.05555555555555555      WON: 67   	
GEN: 455   BEST FITNESS: 8.905135299981043e+32    	BEST SCORE: 97   	BEST RATIO: 0.05619930475086906      WON: 62   	
GEN: 456   BEST FITNESS: 9.80246398454546e+32     	BEST SCORE: 97   	BEST RATIO: 0.06186224489795918      WON: 81   	
GEN: 457   BEST FITNESS: 8.708364604967299e+32    	BEST SCORE: 97   	BEST RATIO: 0.054957507082152975     WON: 77   	
GEN: 458   BEST FITNESS: 9.025404302858063e+32    	BEST SCORE: 97   	BEST RATIO: 0.05695830886670581      WON: 76   	
GEN: 459   BEST FITNESS: 8.894828430420881e+32    	BEST SCORE: 97   	BEST RATIO: 0.05613425925925926      WON: 73   	
GEN: 460   BEST FITNESS: 8.426679565661887e+32    	BEST SCORE: 97   	BEST RATIO: 0.05317982456140351      WON: 92   	
GEN: 461   BEST FITNESS: 9.073355093132988e+32    	BEST SCORE: 97   	BEST RATIO: 0.05726092089728453      WON: 81   	
GEN: 462   BEST FITNESS: 8.858941514563275e+32    	BEST SCORE: 97   	BEST RATIO: 0.05590778097982709      WON: 64   	
GEN: 463   BEST FITNESS: 9.078714428687112e+32    	BEST SCORE: 97   	BEST RATIO: 0.05729474305965741      WON: 69   	
GEN: 464   BEST FITNESS: 9.170801627546111e+32    	BEST SCORE: 97   	BEST RATIO: 0.05787589498806683      WON: 62   	
GEN: 465   BEST FITNESS: 9.111003869453042e+32    	BEST SCORE: 97   	BEST RATIO: 0.05749851807943094      WON: 89   	
GEN: 466   BEST FITNESS: 8.97271659531073e+32     	BEST SCORE: 97   	BEST RATIO: 0.056625802685347344     WON: 82   	
GEN: 467   BEST FITNESS: 9.04133148692193e+32     	BEST SCORE: 97   	BEST RATIO: 0.057058823529411766     WON: 66   	
GEN: 468   BEST FITNESS: 9.612422468897612e+32    	BEST SCORE: 97   	BEST RATIO: 0.060662914321450906     WON: 75   	
GEN: 469   BEST FITNESS: 9.036016183284704e+32    	BEST SCORE: 97   	BEST RATIO: 0.05702527924750147      WON: 65   	
GEN: 470   BEST FITNESS: 8.884545391772995e+32    	BEST SCORE: 97   	BEST RATIO: 0.05606936416184971      WON: 79   	
GEN: 471   BEST FITNESS: 9.062655381938256e+32    	BEST SCORE: 97   	BEST RATIO: 0.057193396226415096     WON: 63   	
GEN: 472   BEST FITNESS: 8.649557415738482e+32    	BEST SCORE: 97   	BEST RATIO: 0.05458638154192459      WON: 70   	
GEN: 473   BEST FITNESS: 9.458623709395249e+32    	BEST SCORE: 97   	BEST RATIO: 0.05969230769230769      WON: 62   	
GEN: 474   BEST FITNESS: 9.198242685677607e+32    	BEST SCORE: 97   	BEST RATIO: 0.058049072411729505     WON: 60   	
GEN: 475   BEST FITNESS: 8.496552530551288e+32    	BEST SCORE: 97   	BEST RATIO: 0.053620784964068545     WON: 73   	
GEN: 476   BEST FITNESS: 8.654427662031126e+32    	BEST SCORE: 97   	BEST RATIO: 0.054617117117117114     WON: 73   	
GEN: 477   BEST FITNESS: 8.417449905677591e+32    	BEST SCORE: 97   	BEST RATIO: 0.05312157721796276      WON: 76   	
GEN: 478   BEST FITNESS: 8.39446396928852e+32     	BEST SCORE: 97   	BEST RATIO: 0.052976515565264885     WON: 63   	

