GEN: 95    AVG FITNESS: 3751.738612421395        	AVG SCORE: 4.024     	AVG RATIO: 0.04987605354486861      	BEST FITNESS: 21651.520266544972       	BEST SCORE: 27   	BEST RATIO: 0.054878048780487805     TOO_OLD: 198     	WON: 0    	
GEN: 96    AVG FITNESS: 3565.4500571943413       	AVG SCORE: 3.836     	AVG RATIO: 0.04910394265232974      	BEST FITNESS: 22282.55164925781        	BEST SCORE: 28   	BEST RATIO: 0.06278026905829596      TOO_OLD: 199     	WON: 0    	
GEN: 97    AVG FITNESS: 3563.2318357813087       	AVG SCORE: 3.823     	AVG RATIO: 0.04972425992404141      	BEST FITNESS: 22908.833473621064       	BEST SCORE: 29   	BEST RATIO: 0.07512953367875648      TOO_OLD: 199     	WON: 0    	
GEN: 98    AVG FITNESS: 3522.053440766068        	AVG SCORE: 3.775     	AVG RATIO: 0.04916516891979891      	BEST FITNESS: 21061.171783076134       	BEST SCORE: 26   	BEST RATIO: 0.07878787878787878      TOO_OLD: 205     	WON: 0    	
GEN: 99    AVG FITNESS: 3790.786188358482        	AVG SCORE: 4.11      	AVG RATIO: 0.05070255733336623      	BEST FITNESS: 24655.67238192592        	BEST SCORE: 32   	BEST RATIO: 0.06866952789699571      TOO_OLD: 187     	WON: 0    	
GEN: 100   AVG FITNESS: 3700.2987119695285       	AVG SCORE: 3.993     	AVG RATIO: 0.0511850892822807       	BEST FITNESS: 22256.71106285296        	BEST SCORE: 28   	BEST RATIO: 0.05166051660516605      TOO_OLD: 169     	WON: 0    	
GEN: 101   AVG FITNESS: 3753.6392359383217       	AVG SCORE: 4.056     	AVG RATIO: 0.04996920044351361      	BEST FITNESS: 21648.211523732134       	BEST SCORE: 27   	BEST RATIO: 0.053465346534653464     TOO_OLD: 198     	WON: 0    	
GEN: 102   AVG FITNESS: 4016.079026469962        	AVG SCORE: 4.346     	AVG RATIO: 0.04976525821596244      	BEST FITNESS: 21668.77002561248        	BEST SCORE: 27   	BEST RATIO: 0.06367924528301887      TOO_OLD: 206     	WON: 0    	
GEN: 103   AVG FITNESS: 4066.097054451703        	AVG SCORE: 4.387     	AVG RATIO: 0.05090744522836984      	BEST FITNESS: 22322.525506116126       	BEST SCORE: 28   	BEST RATIO: 0.0945945945945946       TOO_OLD: 221     	WON: 0    	
GEN: 104   AVG FITNESS: 3859.4573937503333       	AVG SCORE: 4.166     	AVG RATIO: 0.05159324804636705      	BEST FITNESS: 25170.51085601021        	BEST SCORE: 33   	BEST RATIO: 0.05246422893481717      TOO_OLD: 183     	WON: 0    	
GEN: 105   AVG FITNESS: 4215.890207822831        	AVG SCORE: 4.572     	AVG RATIO: 0.05213821416353062      	BEST FITNESS: 22278.795822515727       	BEST SCORE: 28   	BEST RATIO: 0.06086956521739131      TOO_OLD: 191     	WON: 0    	
GEN: 106   AVG FITNESS: 4019.341767935787        	AVG SCORE: 4.341     	AVG RATIO: 0.05125631700750957      	BEST FITNESS: 22866.048770414884       	BEST SCORE: 29   	BEST RATIO: 0.054003724394785846     TOO_OLD: 197     	WON: 0    	
GEN: 107   AVG FITNESS: 4050.085926095016        	AVG SCORE: 4.395     	AVG RATIO: 0.05244817833573994      	BEST FITNESS: 20426.94714655736        	BEST SCORE: 25   	BEST RATIO: 0.08445945945945946      TOO_OLD: 179     	WON: 0    	
GEN: 108   AVG FITNESS: 4310.938593611564        	AVG SCORE: 4.67      	AVG RATIO: 0.05197898579760474      	BEST FITNESS: 21035.740509793664       	BEST SCORE: 26   	BEST RATIO: 0.059496567505720827     TOO_OLD: 188     	WON: 0    	
GEN: 109   AVG FITNESS: 4249.85704371601         	AVG SCORE: 4.638     	AVG RATIO: 0.051199399472330466     	BEST FITNESS: 25224.250834604867       	BEST SCORE: 33   	BEST RATIO: 0.06962025316455696      TOO_OLD: 195     	WON: 0    	
