GEN: 53    AVG SCORE: 3.1627272727272726    	AVG RATIO: 0.036367463231617415  	BEST SCORE: 30   	BEST RATIO: 0.06550218340611354   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 54    AVG SCORE: 3.4063636363636363    	AVG RATIO: 0.03553220750539649   	BEST SCORE: 35   	BEST RATIO: 0.06044905008635579   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 55    AVG SCORE: 4.279090909090909     	AVG RATIO: 0.04231187834554736   	BEST SCORE: 33   	BEST RATIO: 0.06976744186046512   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 56    AVG SCORE: 4.122727272727273     	AVG RATIO: 0.03930741065942328   	BEST SCORE: 34   	BEST RATIO: 0.05492730210016155   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 57    AVG SCORE: 3.8172727272727274    	AVG RATIO: 0.042091667243554     	BEST SCORE: 28   	BEST RATIO: 0.06047516198704104   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 58    AVG SCORE: 3.771818181818182     	AVG RATIO: 0.040729055577712156  	BEST SCORE: 31   	BEST RATIO: 0.054385964912280704  WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 59    AVG SCORE: 3.5436363636363635    	AVG RATIO: 0.04106213249240809   	BEST SCORE: 32   	BEST RATIO: 0.06490872210953347   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 60    AVG SCORE: 3.958181818181818     	AVG RATIO: 0.042795343157128324  	BEST SCORE: 33   	BEST RATIO: 0.0582010582010582    WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 61    AVG SCORE: 4.5172727272727276    	AVG RATIO: 0.04249560618825033   	BEST SCORE: 33   	BEST RATIO: 0.052132701421800945  WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 62    AVG SCORE: 4.474545454545455     	AVG RATIO: 0.040616258923817435  	BEST SCORE: 31   	BEST RATIO: 0.06391752577319587   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 63    AVG SCORE: 4.308181818181819     	AVG RATIO: 0.041834356474755995  	BEST SCORE: 34   	BEST RATIO: 0.053125              WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 64    AVG SCORE: 4.497272727272727     	AVG RATIO: 0.03862177568785547   	BEST SCORE: 32   	BEST RATIO: 0.053156146179401995  WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 65    AVG SCORE: 4.47                  	AVG RATIO: 0.03934028568990444   	BEST SCORE: 36   	BEST RATIO: 0.05950413223140496   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 66    AVG SCORE: 5.401818181818181     	AVG RATIO: 0.042012643389503564  	BEST SCORE: 34   	BEST RATIO: 0.06126126126126126   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 67    AVG SCORE: 5.030909090909091     	AVG RATIO: 0.04156771291732929   	BEST SCORE: 33   	BEST RATIO: 0.08048780487804878   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 68    AVG SCORE: 5.0227272727272725    	AVG RATIO: 0.04125485554925202   	BEST SCORE: 34   	BEST RATIO: 0.07456140350877193   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 69    AVG SCORE: 4.796363636363636     	AVG RATIO: 0.042197614743836064  	BEST SCORE: 35   	BEST RATIO: 0.0660377358490566    WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 70    AVG SCORE: 5.027272727272727     	AVG RATIO: 0.041411260903565596  	BEST SCORE: 36   	BEST RATIO: 0.06428571428571428   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 71    AVG SCORE: 5.003636363636364     	AVG RATIO: 0.040176741721390415  	BEST SCORE: 36   	BEST RATIO: 0.0683111954459203    WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 72    AVG SCORE: 5.374545454545455     	AVG RATIO: 0.04095415334101176   	BEST SCORE: 35   	BEST RATIO: 0.06958250497017893   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 73    AVG SCORE: 5.4781818181818185    	AVG RATIO: 0.0432422470084734    	BEST SCORE: 34   	BEST RATIO: 0.06126126126126126   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 74    AVG SCORE: 5.011818181818182     	AVG RATIO: 0.042289227309438064  	BEST SCORE: 33   	BEST RATIO: 0.06613226452905811   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
