GEN: 41    AVG FITNESS: 549.4438184899063     	AVG SCORE: 0.4954545454545455    	AVG RATIO: 0.041720036018356596  	BEST FITNESS: 50378.152089968855    	BEST SCORE: 9    	BEST RATIO: 0.11538461538461539   WON: 0    	WON AVG RATIO: 0                     	
GEN: 42    AVG FITNESS: 978.2328288943088     	AVG SCORE: 0.6327272727272727    	AVG RATIO: 0.04575871935199374   	BEST FITNESS: 115093.88499143357    	BEST SCORE: 13   	BEST RATIO: 0.08552631578947369   WON: 0    	WON AVG RATIO: 0                     	
GEN: 43    AVG FITNESS: 1585.364264310133     	AVG SCORE: 0.8454545454545455    	AVG RATIO: 0.04654288155685758   	BEST FITNESS: 114240.33926689465    	BEST SCORE: 13   	BEST RATIO: 0.06735751295336788   WON: 0    	WON AVG RATIO: 0                     	
GEN: 44    AVG FITNESS: 2155.813386054819     	AVG SCORE: 1.0618181818181818    	AVG RATIO: 0.05344538979281423   	BEST FITNESS: 141224.8040381488     	BEST SCORE: 14   	BEST RATIO: 0.08641975308641975   WON: 0    	WON AVG RATIO: 0                     	
GEN: 45    AVG FITNESS: 5863.854140899279     	AVG SCORE: 1.2163636363636363    	AVG RATIO: 0.051725837872086004  	BEST FITNESS: 2383881.5901006754    	BEST SCORE: 21   	BEST RATIO: 0.061224489795918366  WON: 0    	WON AVG RATIO: 0                     	
GEN: 46    AVG FITNESS: 42733.32110096484     	AVG SCORE: 1.7145454545454546    	AVG RATIO: 0.04874508620275518   	BEST FITNESS: 33969903.93684087     	BEST SCORE: 25   	BEST RATIO: 0.07102272727272728   WON: 0    	WON AVG RATIO: 0                     	
GEN: 47    AVG FITNESS: 108830.55442336408    	AVG SCORE: 3.0236363636363635    	AVG RATIO: 0.047376589150665546  	BEST FITNESS: 33966320.848179534    	BEST SCORE: 25   	BEST RATIO: 0.06067961165048544   WON: 0    	WON AVG RATIO: 0                     	
GEN: 48    AVG FITNESS: 201371.4260216314     	AVG SCORE: 3.1763636363636363    	AVG RATIO: 0.04065127468757314   	BEST FITNESS: 67560210.81201234     	BEST SCORE: 26   	BEST RATIO: 0.07262569832402235   WON: 0    	WON AVG RATIO: 0                     	
GEN: 49    AVG FITNESS: 126520.57820974708    	AVG SCORE: 2.9754545454545456    	AVG RATIO: 0.04473919725424404   	BEST FITNESS: 67561609.66744266     	BEST SCORE: 26   	BEST RATIO: 0.07761194029850746   WON: 0    	WON AVG RATIO: 0                     	
GEN: 50    AVG FITNESS: 126578.18834261195    	AVG SCORE: 3.71                  	AVG RATIO: 0.048449408916246724  	BEST FITNESS: 33971287.37509299     	BEST SCORE: 25   	BEST RATIO: 0.07621951219512195   WON: 0    	WON AVG RATIO: 0                     	
