GEN: 34    AVG FITNESS: 97.20490630678178     	AVG SCORE: 0.1390909090909091    	AVG RATIO: 0.018885900434275037  	BEST FITNESS: 5021.224242470099     	BEST SCORE: 3    	BEST RATIO: 0.15789473684210525   WON: 0    	WON AVG RATIO: 0                     	
GEN: 35    AVG FITNESS: 105.9749654903026     	AVG SCORE: 0.1509090909090909    	AVG RATIO: 0.024637368424801576  	BEST FITNESS: 5026.96582588445      	BEST SCORE: 3    	BEST RATIO: 0.25                  WON: 0    	WON AVG RATIO: 0                     	
GEN: 36    AVG FITNESS: 96.15949516159036     	AVG SCORE: 0.1481818181818182    	AVG RATIO: 0.019600108353978317  	BEST FITNESS: 2149.79154254127      	BEST SCORE: 2    	BEST RATIO: 0.2857142857142857    WON: 0    	WON AVG RATIO: 0                     	
GEN: 37    AVG FITNESS: 100.68151905390941    	AVG SCORE: 0.15272727272727274   	AVG RATIO: 0.024209483437719812  	BEST FITNESS: 5029.81866597788      	BEST SCORE: 3    	BEST RATIO: 0.42857142857142855   WON: 0    	WON AVG RATIO: 0                     	
GEN: 38    AVG FITNESS: 111.34951840513885    	AVG SCORE: 0.17181818181818181   	AVG RATIO: 0.024127246432305537  	BEST FITNESS: 5023.896182881493     	BEST SCORE: 3    	BEST RATIO: 0.1875                WON: 0    	WON AVG RATIO: 0                     	
GEN: 39    AVG FITNESS: 123.5642591647218     	AVG SCORE: 0.16454545454545455   	AVG RATIO: 0.02125441538362952   	BEST FITNESS: 9181.016834159147     	BEST SCORE: 4    	BEST RATIO: 0.19047619047619047   WON: 0    	WON AVG RATIO: 0                     	
GEN: 40    AVG FITNESS: 109.45223856563443    	AVG SCORE: 0.15454545454545454   	AVG RATIO: 0.023098492268278353  	BEST FITNESS: 5023.896182881493     	BEST SCORE: 3    	BEST RATIO: 0.1875                WON: 0    	WON AVG RATIO: 0                     	
GEN: 41    AVG FITNESS: 141.50516802437417    	AVG SCORE: 0.18727272727272729   	AVG RATIO: 0.028848842927719918  	BEST FITNESS: 14693.576497433873    	BEST SCORE: 5    	BEST RATIO: 0.35714285714285715   WON: 0    	WON AVG RATIO: 0                     	
GEN: 42    AVG FITNESS: 115.99428969854948    	AVG SCORE: 0.17                  	AVG RATIO: 0.0245572199911413    	BEST FITNESS: 5028.255347850331     	BEST SCORE: 3    	BEST RATIO: 0.3                   WON: 0    	WON AVG RATIO: 0                     	
GEN: 43    AVG FITNESS: 122.42646486538366    	AVG SCORE: 0.17454545454545456   	AVG RATIO: 0.02211976330343203   	BEST FITNESS: 5026.256363523016     	BEST SCORE: 3    	BEST RATIO: 0.23076923076923078   WON: 0    	WON AVG RATIO: 0                     	
GEN: 44    AVG FITNESS: 129.93665159292547    	AVG SCORE: 0.19545454545454546   	AVG RATIO: 0.028268951026047973  	BEST FITNESS: 2149.6550881716457    	BEST SCORE: 2    	BEST RATIO: 0.3333333333333333    WON: 0    	WON AVG RATIO: 0                     	
GEN: 45    AVG FITNESS: 146.31195972291783    	AVG SCORE: 0.1990909090909091    	AVG RATIO: 0.025365243561742374  	BEST FITNESS: 9191.162099733898     	BEST SCORE: 4    	BEST RATIO: 0.26666666666666666   WON: 0    	WON AVG RATIO: 0                     	
GEN: 46    AVG FITNESS: 152.01523734106618    	AVG SCORE: 0.2009090909090909    	AVG RATIO: 0.022948612585550615  	BEST FITNESS: 5028.255347850331     	BEST SCORE: 3    	BEST RATIO: 0.3                   WON: 0    	WON AVG RATIO: 0                     	
GEN: 47    AVG FITNESS: 147.06814895935307    	AVG SCORE: 0.19636363636363635   	AVG RATIO: 0.025932404419703865  	BEST FITNESS: 9191.162099733898     	BEST SCORE: 4    	BEST RATIO: 0.26666666666666666   WON: 0    	WON AVG RATIO: 0                     	
GEN: 48    AVG FITNESS: 133.21073589901917    	AVG SCORE: 0.18727272727272729   	AVG RATIO: 0.023850525367099928  	BEST FITNESS: 5025.506959415782     	BEST SCORE: 3    	BEST RATIO: 0.21428571428571427   WON: 0    	WON AVG RATIO: 0                     	
GEN: 49    AVG FITNESS: 150.32431354505752    	AVG SCORE: 0.21636363636363637   	AVG RATIO: 0.026726821471823828  	BEST FITNESS: 5024.719635813122     	BEST SCORE: 3    	BEST RATIO: 0.2                   WON: 0    	WON AVG RATIO: 0                     	
GEN: 50    AVG FITNESS: 169.21935134135833    	AVG SCORE: 0.2190909090909091    	AVG RATIO: 0.028029961626995715  	BEST FITNESS: 5026.96582588445      	BEST SCORE: 3    	BEST RATIO: 0.25                  WON: 0    	WON AVG RATIO: 0                     	
GEN: 51    AVG FITNESS: 160.12999994868042    	AVG SCORE: 0.21818181818181817   	AVG RATIO: 0.025357292847319992  	BEST FITNESS: 5029.81866597788      	BEST SCORE: 3    	BEST RATIO: 0.42857142857142855   WON: 0    	WON AVG RATIO: 0                     	
GEN: 52    AVG FITNESS: 161.10778986382638    	AVG SCORE: 0.22727272727272727   	AVG RATIO: 0.02784312672616955   	BEST FITNESS: 5017.2369705907395    	BEST SCORE: 3    	BEST RATIO: 0.13043478260869565   WON: 0    	WON AVG RATIO: 0                     	
GEN: 53    AVG FITNESS: 186.53173284179732    	AVG SCORE: 0.21272727272727274   	AVG RATIO: 0.024437940948427564  	BEST FITNESS: 21543.03250194069     	BEST SCORE: 6    	BEST RATIO: 0.2857142857142857    WON: 0    	WON AVG RATIO: 0                     	
GEN: 54    AVG FITNESS: 178.48729223110604    	AVG SCORE: 0.2390909090909091    	AVG RATIO: 0.027806218265542047  	BEST FITNESS: 9035.851167349705     	BEST SCORE: 4    	BEST RATIO: 0.05194805194805195   WON: 0    	WON AVG RATIO: 0                     	
GEN: 55    AVG FITNESS: 200.76798383650794    	AVG SCORE: 0.26                  	AVG RATIO: 0.027176626681832357  	BEST FITNESS: 9057.604428430363     	BEST SCORE: 4    	BEST RATIO: 0.05714285714285714   WON: 0    	WON AVG RATIO: 0                     	
GEN: 56    AVG FITNESS: 247.49840740462105    	AVG SCORE: 0.28909090909090907   	AVG RATIO: 0.027345272780912432  	BEST FITNESS: 14606.521741618839    	BEST SCORE: 5    	BEST RATIO: 0.11627906976744186   WON: 0    	WON AVG RATIO: 0                     	
GEN: 57    AVG FITNESS: 183.29421007577147    	AVG SCORE: 0.23727272727272727   	AVG RATIO: 0.026947016549906454  	BEST FITNESS: 9171.433554439702     	BEST SCORE: 4    	BEST RATIO: 0.15384615384615385   WON: 0    	WON AVG RATIO: 0                     	
GEN: 58    AVG FITNESS: 177.83047107859127    	AVG SCORE: 0.23545454545454544   	AVG RATIO: 0.025644800867199967  	BEST FITNESS: 5024.719635813122     	BEST SCORE: 3    	BEST RATIO: 0.2                   WON: 0    	WON AVG RATIO: 0                     	
GEN: 59    AVG FITNESS: 224.2840821622889     	AVG SCORE: 0.28909090909090907   	AVG RATIO: 0.029587261084435948  	BEST FITNESS: 5026.96582588445      	BEST SCORE: 3    	BEST RATIO: 0.25                  WON: 0    	WON AVG RATIO: 0                     	
GEN: 60    AVG FITNESS: 227.72636751816523    	AVG SCORE: 0.26636363636363636   	AVG RATIO: 0.027986494821200372  	BEST FITNESS: 14086.039482448583    	BEST SCORE: 5    	BEST RATIO: 0.03289473684210526   WON: 0    	WON AVG RATIO: 0                     	
GEN: 61    AVG FITNESS: 278.8609290782259     	AVG SCORE: 0.31636363636363635   	AVG RATIO: 0.029835854147422937  	BEST FITNESS: 9106.758574227595     	BEST SCORE: 4    	BEST RATIO: 0.07547169811320754   WON: 0    	WON AVG RATIO: 0                     	
GEN: 62    AVG FITNESS: 308.2184565689858     	AVG SCORE: 0.32727272727272727   	AVG RATIO: 0.027702529482155347  	BEST FITNESS: 14557.564645383476    	BEST SCORE: 5    	BEST RATIO: 0.08928571428571429   WON: 0    	WON AVG RATIO: 0                     	
GEN: 63    AVG FITNESS: 348.70009863833815    	AVG SCORE: 0.3409090909090909    	AVG RATIO: 0.025624665518451238  	BEST FITNESS: 21294.686234036628    	BEST SCORE: 6    	BEST RATIO: 0.0821917808219178    WON: 0    	WON AVG RATIO: 0                     	
GEN: 64    AVG FITNESS: 405.30423620731705    	AVG SCORE: 0.36363636363636365   	AVG RATIO: 0.02642644619640858   	BEST FITNESS: 76055.32866142501     	BEST SCORE: 11   	BEST RATIO: 0.05188679245283019   WON: 0    	WON AVG RATIO: 0                     	
GEN: 65    AVG FITNESS: 7849662.62356227      	AVG SCORE: 0.5427272727272727    	AVG RATIO: 0.02983031929685111   	BEST FITNESS: 8590672985.495071     	BEST SCORE: 33   	BEST RATIO: 0.06720977596741344   WON: 0    	WON AVG RATIO: 0                     	
GEN: 66    AVG FITNESS: 9068218.298539476     	AVG SCORE: 2.150909090909091     	AVG RATIO: 0.03292456925774276   	BEST FITNESS: 8590660694.777832     	BEST SCORE: 33   	BEST RATIO: 0.05305466237942122   WON: 0    	WON AVG RATIO: 0                     	
GEN: 67    AVG FITNESS: 2495878.618402605     	AVG SCORE: 2.6163636363636362    	AVG RATIO: 0.032988470062637186  	BEST FITNESS: 1074347719.8419998    	BEST SCORE: 30   	BEST RATIO: 0.06787330316742081   WON: 0    	WON AVG RATIO: 0                     	
GEN: 68    AVG FITNESS: 5112587.316543502     	AVG SCORE: 3.0263636363636364    	AVG RATIO: 0.033051269041023984  	BEST FITNESS: 2148135311.170185     	BEST SCORE: 31   	BEST RATIO: 0.07380952380952381   WON: 0    	WON AVG RATIO: 0                     	
GEN: 69    AVG FITNESS: 5516371.102086336     	AVG SCORE: 3.100909090909091     	AVG RATIO: 0.03303128932400928   	BEST FITNESS: 4295648626.509575     	BEST SCORE: 32   	BEST RATIO: 0.053156146179401995  WON: 0    	WON AVG RATIO: 0                     	
GEN: 70    AVG FITNESS: 34008483.609490596    	AVG SCORE: 3.571818181818182     	AVG RATIO: 0.03641238971955547   	BEST FITNESS: 17180642438.32451     	BEST SCORE: 34   	BEST RATIO: 0.053712480252764615  WON: 0    	WON AVG RATIO: 0                     	
GEN: 71    AVG FITNESS: 522720922.781634      	AVG SCORE: 3.9472727272727273    	AVG RATIO: 0.034551093763193735  	BEST FITNESS: 549756844346.4742     	BEST SCORE: 39   	BEST RATIO: 0.05547652916073969   WON: 0    	WON AVG RATIO: 0                     	
GEN: 72    AVG FITNESS: 419702588.37188184    	AVG SCORE: 4.4763636363636365    	AVG RATIO: 0.03236637184205354   	BEST FITNESS: 274878869276.06757    	BEST SCORE: 38   	BEST RATIO: 0.04744069912609238   WON: 0    	WON AVG RATIO: 0                     	
GEN: 73    AVG FITNESS: 4374604709.888354     	AVG SCORE: 4.1854545454545455    	AVG RATIO: 0.02913789162351364   	BEST FITNESS: 4398047703157.812     	BEST SCORE: 42   	BEST RATIO: 0.05090909090909091   WON: 0    	WON AVG RATIO: 0                     	
GEN: 74    AVG FITNESS: 2192310475.9368033    	AVG SCORE: 4.513636363636364     	AVG RATIO: 0.02996856937870492   	BEST FITNESS: 2199024374786.395     	BEST SCORE: 41   	BEST RATIO: 0.044956140350877194  WON: 0    	WON AVG RATIO: 0                     	
GEN: 75    AVG FITNESS: 219630153.11618727    	AVG SCORE: 4.666363636363636     	AVG RATIO: 0.032268025017286824  	BEST FITNESS: 34360564805.95938     	BEST SCORE: 35   	BEST RATIO: 0.05823627287853577   WON: 0    	WON AVG RATIO: 0                     	
GEN: 76    AVG FITNESS: 243566268.74273652    	AVG SCORE: 4.322727272727272     	AVG RATIO: 0.032024725958136886  	BEST FITNESS: 68720342388.60168     	BEST SCORE: 36   	BEST RATIO: 0.05042016806722689   WON: 0    	WON AVG RATIO: 0                     	
GEN: 77    AVG FITNESS: 290622429.1245524     	AVG SCORE: 3.6618181818181816    	AVG RATIO: 0.02871803273904864   	BEST FITNESS: 274878877257.15967    	BEST SCORE: 38   	BEST RATIO: 0.051630434782608696  WON: 0    	WON AVG RATIO: 0                     	
