GEN: 57    BEST FITNESS: 549756832268.1757        	BEST SCORE: 39   	BEST RATIO: 0.04881101376720901      WON: 0    	WON AVG RATIO: 0                        	
GEN: 58    BEST FITNESS: 68720368480.07718        	BEST SCORE: 36   	BEST RATIO: 0.07692307692307693      WON: 0    	WON AVG RATIO: 0                        	
GEN: 59    BEST FITNESS: 4295658082.125698        	BEST SCORE: 32   	BEST RATIO: 0.06438631790744467      WON: 0    	WON AVG RATIO: 0                        	
GEN: 60    BEST FITNESS: 17180654691.134056       	BEST SCORE: 34   	BEST RATIO: 0.06692913385826772      WON: 0    	WON AVG RATIO: 0                        	
GEN: 61    BEST FITNESS: 68720359218.90881        	BEST SCORE: 36   	BEST RATIO: 0.06440071556350627      WON: 0    	WON AVG RATIO: 0                        	
GEN: 62    BEST FITNESS: 1099512723840.8965       	BEST SCORE: 40   	BEST RATIO: 0.062402496099843996     WON: 0    	WON AVG RATIO: 0                        	
GEN: 63    BEST FITNESS: 1099512716063.0518       	BEST SCORE: 40   	BEST RATIO: 0.05689900426742532      WON: 0    	WON AVG RATIO: 0                        	
GEN: 64    BEST FITNESS: 140737489849801.3        	BEST SCORE: 47   	BEST RATIO: 0.047910295616717634     WON: 0    	WON AVG RATIO: 0                        	
GEN: 65    BEST FITNESS: 70368745626557.22        	BEST SCORE: 46   	BEST RATIO: 0.054696789536266346     WON: 0    	WON AVG RATIO: 0                        	
GEN: 66    BEST FITNESS: 2199024401487.497        	BEST SCORE: 41   	BEST RATIO: 0.05718270571827057      WON: 0    	WON AVG RATIO: 0                        	
GEN: 67    BEST FITNESS: 1099512709636.7236       	BEST SCORE: 40   	BEST RATIO: 0.05312084993359894      WON: 0    	WON AVG RATIO: 0                        	
GEN: 68    BEST FITNESS: 140737489838060.28       	BEST SCORE: 47   	BEST RATIO: 0.044804575786463297     WON: 0    	WON AVG RATIO: 0                        	
GEN: 69    BEST FITNESS: 8796094273818.69         	BEST SCORE: 43   	BEST RATIO: 0.0509478672985782       WON: 0    	WON AVG RATIO: 0                        	
GEN: 70    BEST FITNESS: 2199024386111.527        	BEST SCORE: 41   	BEST RATIO: 0.049338146811071        WON: 0    	WON AVG RATIO: 0                        	
GEN: 71    BEST FITNESS: 35184373458194.49        	BEST SCORE: 45   	BEST RATIO: 0.04896626768226333      WON: 0    	WON AVG RATIO: 0                        	
GEN: 72    BEST FITNESS: 17592187363257.87        	BEST SCORE: 44   	BEST RATIO: 0.0535279805352798       WON: 0    	WON AVG RATIO: 0                        	
GEN: 73    BEST FITNESS: 35184373458353.47        	BEST SCORE: 45   	BEST RATIO: 0.049019607843137254     WON: 0    	WON AVG RATIO: 0                        	
GEN: 74    BEST FITNESS: 35184373466390.83        	BEST SCORE: 45   	BEST RATIO: 0.05190311418685121      WON: 0    	WON AVG RATIO: 0                        	
GEN: 75    BEST FITNESS: 35184373463727.15        	BEST SCORE: 45   	BEST RATIO: 0.05090497737556561      WON: 0    	WON AVG RATIO: 0                        	
GEN: 76    BEST FITNESS: 2199024391584.2095       	BEST SCORE: 41   	BEST RATIO: 0.051833122629582805     WON: 0    	WON AVG RATIO: 0                        	
GEN: 77    BEST FITNESS: 8796094280942.256        	BEST SCORE: 43   	BEST RATIO: 0.05408805031446541      WON: 0    	WON AVG RATIO: 0                        	
GEN: 78    BEST FITNESS: 35184373471052.945       	BEST SCORE: 45   	BEST RATIO: 0.053763440860215055     WON: 0    	WON AVG RATIO: 0                        	
GEN: 79    BEST FITNESS: 17592187375626.816       	BEST SCORE: 44   	BEST RATIO: 0.05962059620596206      WON: 0    	WON AVG RATIO: 0                        	
GEN: 80    BEST FITNESS: 4398047707101.949        	BEST SCORE: 42   	BEST RATIO: 0.05269761606022585      WON: 0    	WON AVG RATIO: 0                        	
GEN: 81    BEST FITNESS: 70368745613825.02        	BEST SCORE: 46   	BEST RATIO: 0.05                     WON: 0    	WON AVG RATIO: 0                        	
GEN: 82    BEST FITNESS: 70368745596556.42        	BEST SCORE: 46   	BEST RATIO: 0.044921875              WON: 0    	WON AVG RATIO: 0                        	
GEN: 83    BEST FITNESS: 140737489866125.62       	BEST SCORE: 47   	BEST RATIO: 0.053167420814479636     WON: 0    	WON AVG RATIO: 0                        	
GEN: 84    BEST FITNESS: 1125899908550673.2       	BEST SCORE: 50   	BEST RATIO: 0.050505050505050504     WON: 0    	WON AVG RATIO: 0                        	
GEN: 85    BEST FITNESS: 281474978288350.44       	BEST SCORE: 48   	BEST RATIO: 0.05303867403314917      WON: 0    	WON AVG RATIO: 0                        	
GEN: 86    BEST FITNESS: 281474978291420.7        	BEST SCORE: 48   	BEST RATIO: 0.05411499436302142      WON: 0    	WON AVG RATIO: 0                        	
GEN: 87    BEST FITNESS: 562949955065439.6        	BEST SCORE: 49   	BEST RATIO: 0.052294557097118465     WON: 0    	WON AVG RATIO: 0                        	
GEN: 88    BEST FITNESS: 2251799815477025.0       	BEST SCORE: 51   	BEST RATIO: 0.05402542372881356      WON: 0    	WON AVG RATIO: 0                        	
