GEN: 52    BEST FITNESS: 20.87962962962963        	BEST SCORE: 22   	BEST RATIO: 0.05365853658536585      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 53    BEST FITNESS: 17.965616045845273       	BEST SCORE: 19   	BEST RATIO: 0.05757575757575758      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 54    BEST FITNESS: 16.368995633187772       	BEST SCORE: 17   	BEST RATIO: 0.03854875283446712      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 55    BEST FITNESS: 12.735483870967743       	BEST SCORE: 14   	BEST RATIO: 0.09929078014184398      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 56    BEST FITNESS: 15.248484848484848       	BEST SCORE: 17   	BEST RATIO: 0.11486486486486487      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 57    BEST FITNESS: 16.35532994923858        	BEST SCORE: 18   	BEST RATIO: 0.1005586592178771       WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 58    BEST FITNESS: 19.824                   	BEST SCORE: 21   	BEST RATIO: 0.059322033898305086     WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 59    BEST FITNESS: 24.47747747747748        	BEST SCORE: 26   	BEST RATIO: 0.06220095693779904      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 60    BEST FITNESS: 18.0                     	BEST SCORE: 19   	BEST RATIO: 0.05555555555555555      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 61    BEST FITNESS: 22.86836935166994        	BEST SCORE: 24   	BEST RATIO: 0.049484536082474224     WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 62    BEST FITNESS: 16.388059701492537       	BEST SCORE: 18   	BEST RATIO: 0.09836065573770492      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 63    BEST FITNESS: 21.23076923076923        	BEST SCORE: 23   	BEST RATIO: 0.08333333333333333      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
