GEN: 38    AVG FITNESS: 6998.666666666676        	AVG SCORE: 0.173     	AVG RATIO: 0.0403828197945845       	BEST FITNESS: 38000.0                  	BEST SCORE: 3    	BEST RATIO: 0.3333333333333333       TOO_OLD: 1       	WON: 0    	
GEN: 39    AVG FITNESS: 6730.500000000007        	AVG SCORE: 0.15      	AVG RATIO: 0.033068783068783074     	BEST FITNESS: 48333.33333333333        	BEST SCORE: 4    	BEST RATIO: 0.15384615384615385      TOO_OLD: 3       	WON: 0    	
GEN: 40    AVG FITNESS: 6894.000000000012        	AVG SCORE: 0.164     	AVG RATIO: 0.03567544050467696      	BEST FITNESS: 38000.0                  	BEST SCORE: 3    	BEST RATIO: 0.25                     TOO_OLD: 4       	WON: 0    	
GEN: 41    AVG FITNESS: 7010.833333333344        	AVG SCORE: 0.174     	AVG RATIO: 0.03940217391304347      	BEST FITNESS: 27500.0                  	BEST SCORE: 2    	BEST RATIO: 0.2857142857142857       TOO_OLD: 0       	WON: 0    	
GEN: 42    AVG FITNESS: 7261.666666666685        	AVG SCORE: 0.195     	AVG RATIO: 0.03840094525403702      	BEST FITNESS: 27500.0                  	BEST SCORE: 2    	BEST RATIO: 0.4                      TOO_OLD: 5       	WON: 0    	
GEN: 43    AVG FITNESS: 7322.5000000000155       	AVG SCORE: 0.201     	AVG RATIO: 0.040353342702268626     	BEST FITNESS: 27500.0                  	BEST SCORE: 2    	BEST RATIO: 0.2857142857142857       TOO_OLD: 4       	WON: 0    	
GEN: 44    AVG FITNESS: 7131.3333333333485       	AVG SCORE: 0.184     	AVG RATIO: 0.036836836836836834     	BEST FITNESS: 38000.0                  	BEST SCORE: 3    	BEST RATIO: 0.3                      TOO_OLD: 7       	WON: 0    	
GEN: 45    AVG FITNESS: 7021.833333333343        	AVG SCORE: 0.175     	AVG RATIO: 0.03580928995293636      	BEST FITNESS: 38000.0                  	BEST SCORE: 3    	BEST RATIO: 0.42857142857142855      TOO_OLD: 5       	WON: 0    	
GEN: 46    AVG FITNESS: 7495.166666666684        	AVG SCORE: 0.216     	AVG RATIO: 0.04259514888582134      	BEST FITNESS: 38000.0                  	BEST SCORE: 3    	BEST RATIO: 0.2727272727272727       TOO_OLD: 2       	WON: 0    	
GEN: 47    AVG FITNESS: 7345.1666666666815       	AVG SCORE: 0.203     	AVG RATIO: 0.03747461694664944      	BEST FITNESS: 38000.0                  	BEST SCORE: 3    	BEST RATIO: 0.2                      TOO_OLD: 6       	WON: 0    	
