GEN: 41    AVG FITNESS: 0.16915587933566256      	AVG SCORE: 0.19      	AVG RATIO: 0.030443839128344818     	BEST FITNESS: 2.357142857142857        	BEST SCORE: 3    	BEST RATIO: 0.2727272727272727       TOO_OLD: 0       	WON: 0    	
GEN: 42    AVG FITNESS: 0.17182497437259345      	AVG SCORE: 0.195     	AVG RATIO: 0.030957294808699794     	BEST FITNESS: 2.4705882352941178       	BEST SCORE: 3    	BEST RATIO: 0.21428571428571427      TOO_OLD: 1       	WON: 0    	
GEN: 43    AVG FITNESS: 0.1563064147597664       	AVG SCORE: 0.176     	AVG RATIO: 0.02913424929647409      	BEST FITNESS: 1.2                      	BEST SCORE: 2    	BEST RATIO: 0.6666666666666666       TOO_OLD: 0       	WON: 0    	
GEN: 44    AVG FITNESS: 0.17191069634158032      	AVG SCORE: 0.194     	AVG RATIO: 0.032193826750746765     	BEST FITNESS: 3.4285714285714284       	BEST SCORE: 4    	BEST RATIO: 0.16666666666666666      TOO_OLD: 0       	WON: 0    	
GEN: 45    AVG FITNESS: 0.1800277428992164       	AVG SCORE: 0.205     	AVG RATIO: 0.03544260027662517      	BEST FITNESS: 2.4                      	BEST SCORE: 3    	BEST RATIO: 0.25                     TOO_OLD: 0       	WON: 0    	
GEN: 46    AVG FITNESS: 0.15179419839511976      	AVG SCORE: 0.171     	AVG RATIO: 0.028753993610223644     	BEST FITNESS: 2.4705882352941178       	BEST SCORE: 3    	BEST RATIO: 0.21428571428571427      TOO_OLD: 0       	WON: 0    	
GEN: 47    AVG FITNESS: 0.1571642632432667       	AVG SCORE: 0.178     	AVG RATIO: 0.029051738207932103     	BEST FITNESS: 1.6                      	BEST SCORE: 2    	BEST RATIO: 0.25                     TOO_OLD: 0       	WON: 0    	
GEN: 48    AVG FITNESS: 0.15065902504787956      	AVG SCORE: 0.169     	AVG RATIO: 0.02919329763344274      	BEST FITNESS: 1.0                      	BEST SCORE: 2    	BEST RATIO: 1.0                      TOO_OLD: 0       	WON: 0    	
GEN: 49    AVG FITNESS: 0.1794066477328477       	AVG SCORE: 0.205     	AVG RATIO: 0.03525971792225662      	BEST FITNESS: 2.5714285714285716       	BEST SCORE: 3    	BEST RATIO: 0.16666666666666666      TOO_OLD: 2       	WON: 0    	
GEN: 50    AVG FITNESS: 0.1808965275781536       	AVG SCORE: 0.205     	AVG RATIO: 0.03337675024422012      	BEST FITNESS: 2.4                      	BEST SCORE: 3    	BEST RATIO: 0.25                     TOO_OLD: 0       	WON: 0    	
GEN: 51    AVG FITNESS: 0.16911047759505884      	AVG SCORE: 0.192     	AVG RATIO: 0.030818619582664526     	BEST FITNESS: 2.4                      	BEST SCORE: 3    	BEST RATIO: 0.25                     TOO_OLD: 1       	WON: 0    	
GEN: 52    AVG FITNESS: 0.14542985437932932      	AVG SCORE: 0.166     	AVG RATIO: 0.027253324577245115     	BEST FITNESS: 2.769230769230769        	BEST SCORE: 4    	BEST RATIO: 0.4444444444444444       TOO_OLD: 0       	WON: 0    	
GEN: 53    AVG FITNESS: 0.1773975125132863       	AVG SCORE: 0.204     	AVG RATIO: 0.03477075166183739      	BEST FITNESS: 2.25                     	BEST SCORE: 3    	BEST RATIO: 0.3333333333333333       TOO_OLD: 0       	WON: 0    	
GEN: 54    AVG FITNESS: 0.1623967797799858       	AVG SCORE: 0.186     	AVG RATIO: 0.03178400546821599      	BEST FITNESS: 2.4705882352941178       	BEST SCORE: 3    	BEST RATIO: 0.21428571428571427      TOO_OLD: 0       	WON: 0    	
GEN: 55    AVG FITNESS: 0.1756404945031038       	AVG SCORE: 0.199     	AVG RATIO: 0.03395325029858386      	BEST FITNESS: 2.4                      	BEST SCORE: 3    	BEST RATIO: 0.25                     TOO_OLD: 0       	WON: 0    	
GEN: 56    AVG FITNESS: 0.17462669483200477      	AVG SCORE: 0.198     	AVG RATIO: 0.02945551919071705      	BEST FITNESS: 3.2                      	BEST SCORE: 4    	BEST RATIO: 0.25                     TOO_OLD: 4       	WON: 0    	
GEN: 57    AVG FITNESS: 0.19160049387288564      	AVG SCORE: 0.22      	AVG RATIO: 0.036807763091852096     	BEST FITNESS: 2.6785714285714284       	BEST SCORE: 3    	BEST RATIO: 0.12                     TOO_OLD: 1       	WON: 0    	
GEN: 58    AVG FITNESS: 0.18760072278083123      	AVG SCORE: 0.212     	AVG RATIO: 0.03281225816437084      	BEST FITNESS: 2.4375                   	BEST SCORE: 3    	BEST RATIO: 0.23076923076923078      TOO_OLD: 1       	WON: 0    	
GEN: 59    AVG FITNESS: 0.17137390730614413      	AVG SCORE: 0.194     	AVG RATIO: 0.03301003913561341      	BEST FITNESS: 2.4705882352941178       	BEST SCORE: 3    	BEST RATIO: 0.21428571428571427      TOO_OLD: 0       	WON: 0    	
GEN: 60    AVG FITNESS: 0.19951570799055313      	AVG SCORE: 0.225     	AVG RATIO: 0.03546099290780142      	BEST FITNESS: 2.4                      	BEST SCORE: 3    	BEST RATIO: 0.25                     TOO_OLD: 0       	WON: 0    	
GEN: 61    AVG FITNESS: 0.17574820906217967      	AVG SCORE: 0.201     	AVG RATIO: 0.03276283618581907      	BEST FITNESS: 2.5                      	BEST SCORE: 3    	BEST RATIO: 0.2                      TOO_OLD: 0       	WON: 0    	
GEN: 62    AVG FITNESS: 0.2045178790796979       	AVG SCORE: 0.231     	AVG RATIO: 0.03690095846645368      	BEST FITNESS: 2.357142857142857        	BEST SCORE: 3    	BEST RATIO: 0.2727272727272727       TOO_OLD: 0       	WON: 0    	
GEN: 63    AVG FITNESS: 0.2231048958196572       	AVG SCORE: 0.252     	AVG RATIO: 0.04028132992327366      	BEST FITNESS: 2.4705882352941178       	BEST SCORE: 3    	BEST RATIO: 0.21428571428571427      TOO_OLD: 1       	WON: 0    	
GEN: 64    AVG FITNESS: 0.21483899525547553      	AVG SCORE: 0.243     	AVG RATIO: 0.038861346553654245     	BEST FITNESS: 3.36                     	BEST SCORE: 4    	BEST RATIO: 0.19047619047619047      TOO_OLD: 0       	WON: 0    	
GEN: 65    AVG FITNESS: 0.2028887027100342       	AVG SCORE: 0.229     	AVG RATIO: 0.03564757160647571      	BEST FITNESS: 1.3333333333333333       	BEST SCORE: 2    	BEST RATIO: 0.5                      TOO_OLD: 0       	WON: 0    	
GEN: 66    AVG FITNESS: 0.18666119616705676      	AVG SCORE: 0.211     	AVG RATIO: 0.0324515533681944       	BEST FITNESS: 2.3076923076923075       	BEST SCORE: 3    	BEST RATIO: 0.3                      TOO_OLD: 1       	WON: 0    	
GEN: 67    AVG FITNESS: 0.2193154952515212       	AVG SCORE: 0.25      	AVG RATIO: 0.036043829296424454     	BEST FITNESS: 2.3076923076923075       	BEST SCORE: 3    	BEST RATIO: 0.3                      TOO_OLD: 3       	WON: 0    	
GEN: 68    AVG FITNESS: 0.20644588671980588      	AVG SCORE: 0.232     	AVG RATIO: 0.030631106416688675     	BEST FITNESS: 1.6                      	BEST SCORE: 2    	BEST RATIO: 0.25                     TOO_OLD: 5       	WON: 0    	
GEN: 69    AVG FITNESS: 0.21016308635070277      	AVG SCORE: 0.238     	AVG RATIO: 0.03296398891966759      	BEST FITNESS: 2.357142857142857        	BEST SCORE: 3    	BEST RATIO: 0.2727272727272727       TOO_OLD: 3       	WON: 0    	
GEN: 70    AVG FITNESS: 0.23049721585656058      	AVG SCORE: 0.259     	AVG RATIO: 0.035128170351281705     	BEST FITNESS: 2.590909090909091        	BEST SCORE: 3    	BEST RATIO: 0.15789473684210525      TOO_OLD: 1       	WON: 0    	
GEN: 71    AVG FITNESS: 0.24638675385417425      	AVG SCORE: 0.276     	AVG RATIO: 0.034725717161550075     	BEST FITNESS: 2.3076923076923075       	BEST SCORE: 3    	BEST RATIO: 0.3                      TOO_OLD: 5       	WON: 0    	
