GEN: 68    AVG FITNESS: 27377508.94397496        	AVG SCORE: 2.868     	AVG RATIO: 0.035218704717931086     	BEST SCORE: 21   	BEST RATIO: 0.03074670571010249      TOO_OLD: 199     	WON: 0    	
GEN: 69    AVG FITNESS: 34513004.06453346        	AVG SCORE: 3.038     	AVG RATIO: 0.035348599087778085     	BEST SCORE: 28   	BEST RATIO: 0.03748326639892905      TOO_OLD: 213     	WON: 0    	
GEN: 70    AVG FITNESS: 31387040.661332928       	AVG SCORE: 2.966     	AVG RATIO: 0.03553840808061443      	BEST SCORE: 26   	BEST RATIO: 0.04220779220779221      TOO_OLD: 175     	WON: 0    	
GEN: 71    AVG FITNESS: 44038099.043221675       	AVG SCORE: 3.16      	AVG RATIO: 0.03523286021697199      	BEST SCORE: 26   	BEST RATIO: 0.03939393939393939      TOO_OLD: 206     	WON: 0    	
GEN: 72    AVG FITNESS: 46619491.26476259        	AVG SCORE: 3.222     	AVG RATIO: 0.03470262585356396      	BEST SCORE: 25   	BEST RATIO: 0.03355704697986577      TOO_OLD: 229     	WON: 0    	
GEN: 73    AVG FITNESS: 95706008.33110838        	AVG SCORE: 2.857     	AVG RATIO: 0.031871576622304526     	BEST SCORE: 35   	BEST RATIO: 0.03604531410916581      TOO_OLD: 223     	WON: 0    	
GEN: 74    AVG FITNESS: 33667211.73743287        	AVG SCORE: 2.741     	AVG RATIO: 0.03105421174871127      	BEST SCORE: 26   	BEST RATIO: 0.04452054794520548      TOO_OLD: 231     	WON: 0    	
GEN: 75    AVG FITNESS: 35856862.48073442        	AVG SCORE: 2.851     	AVG RATIO: 0.03181919642857143      	BEST SCORE: 25   	BEST RATIO: 0.03692762186115214      TOO_OLD: 233     	WON: 0    	
GEN: 76    AVG FITNESS: 59482090.14909715        	AVG SCORE: 3.189     	AVG RATIO: 0.03226067515756037      	BEST SCORE: 30   	BEST RATIO: 0.03937007874015748      TOO_OLD: 232     	WON: 0    	
GEN: 77    AVG FITNESS: 65065879.474151805       	AVG SCORE: 3.082     	AVG RATIO: 0.032178243665104043     	BEST SCORE: 30   	BEST RATIO: 0.04504504504504504      TOO_OLD: 227     	WON: 0    	
GEN: 78    AVG FITNESS: 56687060.12434806        	AVG SCORE: 2.965     	AVG RATIO: 0.03213116885931641      	BEST SCORE: 25   	BEST RATIO: 0.03387533875338753      TOO_OLD: 218     	WON: 0    	
GEN: 79    AVG FITNESS: 62027224.275009796       	AVG SCORE: 3.1       	AVG RATIO: 0.033110107127217576     	BEST SCORE: 29   	BEST RATIO: 0.0444104134762634       TOO_OLD: 198     	WON: 0    	
GEN: 80    AVG FITNESS: 81955340.19096021        	AVG SCORE: 3.204     	AVG RATIO: 0.03257256137853912      	BEST SCORE: 27   	BEST RATIO: 0.03534031413612566      TOO_OLD: 235     	WON: 0    	
GEN: 81    AVG FITNESS: 88635207.46649833        	AVG SCORE: 3.188     	AVG RATIO: 0.032900236328548285     	BEST SCORE: 32   	BEST RATIO: 0.03965303593556382      TOO_OLD: 191     	WON: 0    	
GEN: 82    AVG FITNESS: 88982308.29875223        	AVG SCORE: 3.569     	AVG RATIO: 0.033781673276604605     	BEST SCORE: 22   	BEST RATIO: 0.030942334739803096     TOO_OLD: 200     	WON: 0    	
GEN: 83    AVG FITNESS: 116854975.01843826       	AVG SCORE: 3.325     	AVG RATIO: 0.031060252218589445     	BEST SCORE: 26   	BEST RATIO: 0.029115341545352745     TOO_OLD: 214     	WON: 0    	
GEN: 84    AVG FITNESS: 124637751.01564682       	AVG SCORE: 3.329     	AVG RATIO: 0.0301999419406343       	BEST SCORE: 28   	BEST RATIO: 0.03156708004509583      TOO_OLD: 200     	WON: 0    	
GEN: 85    AVG FITNESS: 102165416.98109165       	AVG SCORE: 3.581     	AVG RATIO: 0.030536629458765743     	BEST SCORE: 28   	BEST RATIO: 0.03867403314917127      TOO_OLD: 232     	WON: 0    	
GEN: 86    AVG FITNESS: 117407392.79129128       	AVG SCORE: 3.637     	AVG RATIO: 0.030090926390164394     	BEST SCORE: 17   	BEST RATIO: 0.018518518518518517     TOO_OLD: 252     	WON: 0    	
GEN: 87    AVG FITNESS: 142804558.5095444        	AVG SCORE: 4.123     	AVG RATIO: 0.03149107129218032      	BEST SCORE: 24   	BEST RATIO: 0.02536997885835095      TOO_OLD: 236     	WON: 0    	
GEN: 88    AVG FITNESS: 130966596.44492492       	AVG SCORE: 3.704     	AVG RATIO: 0.0292058285498013       	BEST SCORE: 26   	BEST RATIO: 0.035961272475795295     TOO_OLD: 238     	WON: 0    	
GEN: 89    AVG FITNESS: 108019182.92587343       	AVG SCORE: 3.64      	AVG RATIO: 0.029448170411060865     	BEST SCORE: 26   	BEST RATIO: 0.03927492447129909      TOO_OLD: 245     	WON: 0    	
GEN: 90    AVG FITNESS: 122197645.65653887       	AVG SCORE: 4.089     	AVG RATIO: 0.03185249234652147      	BEST SCORE: 25   	BEST RATIO: 0.03342245989304813      TOO_OLD: 238     	WON: 0    	
GEN: 91    AVG FITNESS: 146301100.50294042       	AVG SCORE: 3.669     	AVG RATIO: 0.0305393707341435       	BEST SCORE: 25   	BEST RATIO: 0.028538812785388126     TOO_OLD: 237     	WON: 0    	
GEN: 92    AVG FITNESS: 101408390.2009611        	AVG SCORE: 3.527     	AVG RATIO: 0.030721123276455268     	BEST SCORE: 28   	BEST RATIO: 0.04081632653061224      TOO_OLD: 229     	WON: 0    	
GEN: 93    AVG FITNESS: 170995650.9428506        	AVG SCORE: 3.814     	AVG RATIO: 0.031984301360213345     	BEST SCORE: 25   	BEST RATIO: 0.03109452736318408      TOO_OLD: 197     	WON: 0    	
GEN: 94    AVG FITNESS: 243694326.48858288       	AVG SCORE: 3.983     	AVG RATIO: 0.031091925310685067     	BEST SCORE: 29   	BEST RATIO: 0.0338389731621937       TOO_OLD: 228     	WON: 0    	
GEN: 95    AVG FITNESS: 261993014.05648026       	AVG SCORE: 4.017     	AVG RATIO: 0.030243256062579525     	BEST SCORE: 28   	BEST RATIO: 0.03305785123966942      TOO_OLD: 216     	WON: 0    	
GEN: 96    AVG FITNESS: 277808668.3568909        	AVG SCORE: 4.093     	AVG RATIO: 0.0299259345913973       	BEST SCORE: 27   	BEST RATIO: 0.03260869565217391      TOO_OLD: 210     	WON: 0    	
GEN: 97    AVG FITNESS: 321269954.73202074       	AVG SCORE: 4.415     	AVG RATIO: 0.030324884950889485     	BEST SCORE: 30   	BEST RATIO: 0.03476245654692932      TOO_OLD: 208     	WON: 0    	
GEN: 98    AVG FITNESS: 337390033.58461535       	AVG SCORE: 4.501     	AVG RATIO: 0.029620611365206804     	BEST SCORE: 25   	BEST RATIO: 0.028604118993135013     TOO_OLD: 215     	WON: 0    	
GEN: 99    AVG FITNESS: 378109380.15848976       	AVG SCORE: 4.724     	AVG RATIO: 0.030115643049304485     	BEST SCORE: 28   	BEST RATIO: 0.03146067415730337      TOO_OLD: 227     	WON: 0    	
GEN: 100   AVG FITNESS: 406521193.7192324        	AVG SCORE: 4.691     	AVG RATIO: 0.030172441517176612     	BEST SCORE: 26   	BEST RATIO: 0.025440313111545987     TOO_OLD: 194     	WON: 0    	
GEN: 101   AVG FITNESS: 573495790.629517         	AVG SCORE: 4.98      	AVG RATIO: 0.030112286175558257     	BEST SCORE: 36   	BEST RATIO: 0.03305785123966942      TOO_OLD: 177     	WON: 0    	
GEN: 102   AVG FITNESS: 569329699.2573047        	AVG SCORE: 4.945     	AVG RATIO: 0.02982886855391817      	BEST SCORE: 37   	BEST RATIO: 0.03631010794896958      TOO_OLD: 178     	WON: 0    	
GEN: 103   AVG FITNESS: 583551188.4737915        	AVG SCORE: 5.549     	AVG RATIO: 0.030598796781860192     	BEST SCORE: 34   	BEST RATIO: 0.03304178814382896      TOO_OLD: 189     	WON: 0    	
