GEN: 83    BEST FITNESS: 2148126107.6658115       	BEST SCORE: 31   	BEST RATIO: 0.0583804143126177       WON: 0    	
GEN: 84    BEST FITNESS: 2148134509.435747        	BEST SCORE: 31   	BEST RATIO: 0.07209302325581396      WON: 0    	
GEN: 85    BEST FITNESS: 2148136739.6659226       	BEST SCORE: 31   	BEST RATIO: 0.07711442786069651      WON: 0    	
GEN: 86    BEST FITNESS: 1074327446.986019        	BEST SCORE: 30   	BEST RATIO: 0.043859649122807015     WON: 0    	
GEN: 87    BEST FITNESS: 2148111236.0504923       	BEST SCORE: 31   	BEST RATIO: 0.04447632711621234      WON: 0    	
GEN: 88    BEST FITNESS: 2148119986.3324776       	BEST SCORE: 31   	BEST RATIO: 0.051580698835274545     WON: 0    	
GEN: 89    BEST FITNESS: 4295660507.561706        	BEST SCORE: 32   	BEST RATIO: 0.06823027718550106      WON: 0    	
GEN: 90    BEST FITNESS: 2148125936.0045996       	BEST SCORE: 31   	BEST RATIO: 0.058161350844277676     WON: 0    	
GEN: 91    BEST FITNESS: 4295643178.334503        	BEST SCORE: 32   	BEST RATIO: 0.048484848484848485     WON: 0    	
GEN: 92    BEST FITNESS: 4295650010.387237        	BEST SCORE: 32   	BEST RATIO: 0.054514480408858604     WON: 0    	
GEN: 93    BEST FITNESS: 4295638070.847227        	BEST SCORE: 32   	BEST RATIO: 0.04488078541374474      WON: 0    	
GEN: 94    BEST FITNESS: 2148121228.828894        	BEST SCORE: 31   	BEST RATIO: 0.05281090289608177      WON: 0    	
GEN: 95    BEST FITNESS: 4295649918.459002        	BEST SCORE: 32   	BEST RATIO: 0.05442176870748299      WON: 0    	
GEN: 96    BEST FITNESS: 4295645451.1381445       	BEST SCORE: 32   	BEST RATIO: 0.050314465408805034     WON: 0    	
GEN: 97    BEST FITNESS: 4295653737.893637        	BEST SCORE: 32   	BEST RATIO: 0.05860805860805861      WON: 0    	
GEN: 98    BEST FITNESS: 2148105861.272499        	BEST SCORE: 31   	BEST RATIO: 0.04111405835543767      WON: 0    	
GEN: 99    BEST FITNESS: 8590641553.273           	BEST SCORE: 33   	BEST RATIO: 0.040690505548705305     WON: 0    	
GEN: 100   BEST FITNESS: 4295630645.630097        	BEST SCORE: 32   	BEST RATIO: 0.04060913705583756      WON: 0    	
GEN: 101   BEST FITNESS: 2148120786.1008787       	BEST SCORE: 31   	BEST RATIO: 0.052364864864864864     WON: 0    	
GEN: 102   BEST FITNESS: 8590651771.28566         	BEST SCORE: 33   	BEST RATIO: 0.046348314606741575     WON: 0    	
GEN: 103   BEST FITNESS: 4295652745.895409        	BEST SCORE: 32   	BEST RATIO: 0.05745062836624776      WON: 0    	
GEN: 104   BEST FITNESS: 4295651018.451515        	BEST SCORE: 32   	BEST RATIO: 0.05555555555555555      WON: 0    	
GEN: 105   BEST FITNESS: 34360566040.42931        	BEST SCORE: 35   	BEST RATIO: 0.059422750424448216     WON: 0    	
GEN: 106   BEST FITNESS: 2148124382.312407        	BEST SCORE: 31   	BEST RATIO: 0.056261343012704176     WON: 0    	
GEN: 107   BEST FITNESS: 8590663298.75178         	BEST SCORE: 33   	BEST RATIO: 0.05546218487394958      WON: 0    	
GEN: 108   BEST FITNESS: 2148130334.0570226       	BEST SCORE: 31   	BEST RATIO: 0.06444906444906445      WON: 0    	
GEN: 109   BEST FITNESS: 2148128152.1524415       	BEST SCORE: 31   	BEST RATIO: 0.0611439842209073       WON: 0    	
GEN: 110   BEST FITNESS: 2148123686.792342        	BEST SCORE: 31   	BEST RATIO: 0.055456171735241505     WON: 0    	
GEN: 111   BEST FITNESS: 17180645950.349392       	BEST SCORE: 34   	BEST RATIO: 0.056856187290969896     WON: 0    	
GEN: 112   BEST FITNESS: 8590652579.081657        	BEST SCORE: 33   	BEST RATIO: 0.046875                 WON: 0    	
GEN: 113   BEST FITNESS: 4295644696.376717        	BEST SCORE: 32   	BEST RATIO: 0.049689440993788817     WON: 0    	
GEN: 114   BEST FITNESS: 4295657732.181133        	BEST SCORE: 32   	BEST RATIO: 0.06387225548902195      WON: 0    	
GEN: 115   BEST FITNESS: 17180649693.385784       	BEST SCORE: 34   	BEST RATIO: 0.060714285714285714     WON: 0    	
GEN: 116   BEST FITNESS: 34360550205.14025        	BEST SCORE: 35   	BEST RATIO: 0.04742547425474255      WON: 0    	
GEN: 117   BEST FITNESS: 17180648813.633373       	BEST SCORE: 34   	BEST RATIO: 0.05975395430579965      WON: 0    	
GEN: 118   BEST FITNESS: 17180640404.65916        	BEST SCORE: 34   	BEST RATIO: 0.05206738131699847      WON: 0    	
GEN: 119   BEST FITNESS: 17180644953.1065         	BEST SCORE: 34   	BEST RATIO: 0.05592105263157895      WON: 0    	
GEN: 120   BEST FITNESS: 17180644753.058197       	BEST SCORE: 34   	BEST RATIO: 0.05573770491803279      WON: 0    	
GEN: 121   BEST FITNESS: 34360553044.74889        	BEST SCORE: 35   	BEST RATIO: 0.04915730337078652      WON: 0    	
GEN: 122   BEST FITNESS: 34360552174.31227        	BEST SCORE: 35   	BEST RATIO: 0.04861111111111111      WON: 0    	
GEN: 123   BEST FITNESS: 68720346296.02403        	BEST SCORE: 36   	BEST RATIO: 0.053019145802650956     WON: 0    	
GEN: 124   BEST FITNESS: 17180639175.33367        	BEST SCORE: 34   	BEST RATIO: 0.05112781954887218      WON: 0    	
GEN: 125   BEST FITNESS: 34360537175.00432        	BEST SCORE: 35   	BEST RATIO: 0.040983606557377046     WON: 0    	
GEN: 126   BEST FITNESS: 68720331493.70164        	BEST SCORE: 36   	BEST RATIO: 0.04449938195302843      WON: 0    	
GEN: 127   BEST FITNESS: 34360539689.97461        	BEST SCORE: 35   	BEST RATIO: 0.042067307692307696     WON: 0    	
GEN: 128   BEST FITNESS: 17180639893.264606       	BEST SCORE: 34   	BEST RATIO: 0.05167173252279635      WON: 0    	
GEN: 129   BEST FITNESS: 34360551410.273415       	BEST SCORE: 35   	BEST RATIO: 0.048143053645116916     WON: 0    	
GEN: 130   BEST FITNESS: 68720347511.67589        	BEST SCORE: 36   	BEST RATIO: 0.05389221556886228      WON: 0    	
GEN: 131   BEST FITNESS: 34360545888.85765        	BEST SCORE: 35   	BEST RATIO: 0.04504504504504504      WON: 0    	
GEN: 132   BEST FITNESS: 34360549215.06568        	BEST SCORE: 35   	BEST RATIO: 0.04685408299866131      WON: 0    	
GEN: 133   BEST FITNESS: 34360550644.004105       	BEST SCORE: 35   	BEST RATIO: 0.047683923705722074     WON: 0    	
GEN: 134   BEST FITNESS: 68720340809.16231        	BEST SCORE: 36   	BEST RATIO: 0.04945054945054945      WON: 0    	
GEN: 135   BEST FITNESS: 137439866203.1412        	BEST SCORE: 37   	BEST RATIO: 0.04849279161205767      WON: 0    	
GEN: 136   BEST FITNESS: 34360563252.35241        	BEST SCORE: 35   	BEST RATIO: 0.056818181818181816     WON: 0    	
GEN: 137   BEST FITNESS: 137439870326.3031        	BEST SCORE: 37   	BEST RATIO: 0.050824175824175824     WON: 0    	
GEN: 138   BEST FITNESS: 549756827491.4298        	BEST SCORE: 39   	BEST RATIO: 0.04665071770334928      WON: 0    	
GEN: 139   BEST FITNESS: 137439880650.12387       	BEST SCORE: 37   	BEST RATIO: 0.05799373040752351      WON: 0    	
GEN: 140   BEST FITNESS: 549756829694.2643        	BEST SCORE: 39   	BEST RATIO: 0.047619047619047616     WON: 0    	
GEN: 141   BEST FITNESS: 1099512712609.4          	BEST SCORE: 40   	BEST RATIO: 0.0547945205479452       WON: 0    	
GEN: 142   BEST FITNESS: 4398047709754.67         	BEST SCORE: 42   	BEST RATIO: 0.05398457583547558      WON: 0    	
GEN: 143   BEST FITNESS: 2199024401223.747        	BEST SCORE: 41   	BEST RATIO: 0.05702364394993046      WON: 0    	
GEN: 144   BEST FITNESS: 549756846435.6334        	BEST SCORE: 39   	BEST RATIO: 0.056851311953352766     WON: 0    	
GEN: 145   BEST FITNESS: 35184373479014.305       	BEST SCORE: 45   	BEST RATIO: 0.05732484076433121      WON: 0    	
GEN: 146   BEST FITNESS: 17592187373010.457       	BEST SCORE: 44   	BEST RATIO: 0.0582010582010582       WON: 0    	
GEN: 147   BEST FITNESS: 562949955083385.1        	BEST SCORE: 49   	BEST RATIO: 0.05875299760191847      WON: 0    	
GEN: 148   BEST FITNESS: 8796094247381.168        	BEST SCORE: 43   	BEST RATIO: 0.042198233562315994     WON: 0    	
GEN: 149   BEST FITNESS: 2199024396840.157        	BEST SCORE: 41   	BEST RATIO: 0.05452127659574468      WON: 0    	
GEN: 150   BEST FITNESS: 8796094272937.648        	BEST SCORE: 43   	BEST RATIO: 0.05058823529411765      WON: 0    	
GEN: 151   BEST FITNESS: 2251799815474783.5       	BEST SCORE: 51   	BEST RATIO: 0.053347280334728034     WON: 0    	
