GEN: 77    BEST FITNESS: 537444020.3544765        	BEST SCORE: 29   	BEST RATIO: 0.09446254071661238      WON: 0    	
GEN: 78    BEST FITNESS: 537439817.22346          	BEST SCORE: 29   	BEST RATIO: 0.07880434782608696      WON: 0    	
GEN: 79    BEST FITNESS: 2148137133.0700603       	BEST SCORE: 31   	BEST RATIO: 0.07808564231738035      WON: 0    	
GEN: 80    BEST FITNESS: 4295660077.591586        	BEST SCORE: 32   	BEST RATIO: 0.06751054852320675      WON: 0    	
GEN: 81    BEST FITNESS: 8590676466.677717        	BEST SCORE: 33   	BEST RATIO: 0.07300884955752213      WON: 0    	
GEN: 82    BEST FITNESS: 34360574560.430336       	BEST SCORE: 35   	BEST RATIO: 0.06944444444444445      WON: 0    	
GEN: 83    BEST FITNESS: 17180647831.17459        	BEST SCORE: 34   	BEST RATIO: 0.05872193436960276      WON: 0    	
GEN: 84    BEST FITNESS: 137439873350.7788        	BEST SCORE: 37   	BEST RATIO: 0.05270655270655271      WON: 0    	
GEN: 85    BEST FITNESS: 34360554236.767746       	BEST SCORE: 35   	BEST RATIO: 0.04992867332382311      WON: 0    	
GEN: 86    BEST FITNESS: 8590670157.565992        	BEST SCORE: 33   	BEST RATIO: 0.06321839080459771      WON: 0    	
GEN: 87    BEST FITNESS: 34360563978.81233        	BEST SCORE: 35   	BEST RATIO: 0.05747126436781609      WON: 0    	
GEN: 88    BEST FITNESS: 17180647338.00788        	BEST SCORE: 34   	BEST RATIO: 0.05821917808219178      WON: 0    	
GEN: 89    BEST FITNESS: 34360567267.30354        	BEST SCORE: 35   	BEST RATIO: 0.060658578856152515     WON: 0    	
GEN: 90    BEST FITNESS: 68720350796.15701        	BEST SCORE: 36   	BEST RATIO: 0.05642633228840126      WON: 0    	
GEN: 91    BEST FITNESS: 34360567369.19677        	BEST SCORE: 35   	BEST RATIO: 0.06076388888888889      WON: 0    	
GEN: 92    BEST FITNESS: 549756855698.7385        	BEST SCORE: 39   	BEST RATIO: 0.06403940886699508      WON: 0    	
GEN: 93    BEST FITNESS: 34360557138.54761        	BEST SCORE: 35   	BEST RATIO: 0.05192878338278932      WON: 0    	
GEN: 94    BEST FITNESS: 34360568992.157265       	BEST SCORE: 35   	BEST RATIO: 0.0625                   WON: 0    	
GEN: 95    BEST FITNESS: 549756849237.2592        	BEST SCORE: 39   	BEST RATIO: 0.058823529411764705     WON: 0    	
GEN: 96    BEST FITNESS: 274878880750.8011        	BEST SCORE: 38   	BEST RATIO: 0.05374823196605375      WON: 0    	
GEN: 97    BEST FITNESS: 1099512721729.966        	BEST SCORE: 40   	BEST RATIO: 0.060790273556231005     WON: 0    	
GEN: 98    BEST FITNESS: 17592187376927.816       	BEST SCORE: 44   	BEST RATIO: 0.06035665294924554      WON: 0    	
GEN: 99    BEST FITNESS: 274878901855.2482        	BEST SCORE: 38   	BEST RATIO: 0.07265774378585087      WON: 0    	
GEN: 100   BEST FITNESS: 17592187378080.19        	BEST SCORE: 44   	BEST RATIO: 0.06102635228848821      WON: 0    	
GEN: 101   BEST FITNESS: 8796094300005.914        	BEST SCORE: 43   	BEST RATIO: 0.06525037936267071      WON: 0    	
GEN: 102   BEST FITNESS: 8796094298368.027        	BEST SCORE: 43   	BEST RATIO: 0.06408345752608048      WON: 0    	
GEN: 103   BEST FITNESS: 549756853444.2393        	BEST SCORE: 39   	BEST RATIO: 0.06210191082802548      WON: 0    	
GEN: 104   BEST FITNESS: 2199024400431.1675       	BEST SCORE: 41   	BEST RATIO: 0.05655172413793103      WON: 0    	
GEN: 105   BEST FITNESS: 35184373470434.2         	BEST SCORE: 45   	BEST RATIO: 0.0535077288941736       WON: 0    	
GEN: 106   BEST FITNESS: 2199024391719.975        	BEST SCORE: 41   	BEST RATIO: 0.05189873417721519      WON: 0    	
