GEN: 47    AVG FITNESS: 555.9929954987213        	AVG SCORE: 0.478     	AVG RATIO: 0.02625219683655536      	BEST SCORE: 10   	BEST RATIO: 0.06622516556291391      TOO_OLD: 57      	WON: 0    	
GEN: 48    AVG FITNESS: 475.3140603414945        	AVG SCORE: 0.441     	AVG RATIO: 0.026223464351549028     	BEST SCORE: 6    	BEST RATIO: 0.061855670103092786     TOO_OLD: 46      	WON: 0    	
GEN: 49    AVG FITNESS: 553.9904881863448        	AVG SCORE: 0.451     	AVG RATIO: 0.024687978979636524     	BEST SCORE: 9    	BEST RATIO: 0.07142857142857142      TOO_OLD: 60      	WON: 0    	
GEN: 50    AVG FITNESS: 696.8349022262726        	AVG SCORE: 0.514     	AVG RATIO: 0.02569357660584854      	BEST SCORE: 9    	BEST RATIO: 0.11392405063291139      TOO_OLD: 78      	WON: 0    	
GEN: 51    AVG FITNESS: 677.1437233376656        	AVG SCORE: 0.469     	AVG RATIO: 0.022274994063167894     	BEST SCORE: 12   	BEST RATIO: 0.0594059405940594       TOO_OLD: 85      	WON: 0    	
GEN: 52    AVG FITNESS: 847.6345947743883        	AVG SCORE: 0.573     	AVG RATIO: 0.02997645827883861      	BEST SCORE: 8    	BEST RATIO: 0.05925925925925926      TOO_OLD: 60      	WON: 0    	
GEN: 53    AVG FITNESS: 748.0327589326438        	AVG SCORE: 0.495     	AVG RATIO: 0.028616024973985434     	BEST SCORE: 9    	BEST RATIO: 0.046632124352331605     TOO_OLD: 49      	WON: 0    	
GEN: 54    AVG FITNESS: 881.5349201479617        	AVG SCORE: 0.539     	AVG RATIO: 0.026373733913979548     	BEST SCORE: 12   	BEST RATIO: 0.06936416184971098      TOO_OLD: 82      	WON: 0    	
GEN: 55    AVG FITNESS: 727.3532780134487        	AVG SCORE: 0.548     	AVG RATIO: 0.026486225229579507     	BEST SCORE: 7    	BEST RATIO: 0.08333333333333333      TOO_OLD: 77      	WON: 0    	
GEN: 56    AVG FITNESS: 870.0071784590315        	AVG SCORE: 0.588     	AVG RATIO: 0.02704691812327507      	BEST SCORE: 9    	BEST RATIO: 0.06716417910447761      TOO_OLD: 87      	WON: 0    	
GEN: 57    AVG FITNESS: 940.6421677422069        	AVG SCORE: 0.607     	AVG RATIO: 0.027756184553477524     	BEST SCORE: 12   	BEST RATIO: 0.05741626794258373      TOO_OLD: 85      	WON: 0    	
GEN: 58    AVG FITNESS: 1150.6819385352014       	AVG SCORE: 0.644     	AVG RATIO: 0.027677496991576414     	BEST SCORE: 10   	BEST RATIO: 0.08333333333333333      TOO_OLD: 90      	WON: 0    	
