GEN: 57    AVG FITNESS: 0.2375985381242401       	AVG SCORE: 0.262     	AVG RATIO: 0.022113436866981768     	BEST FITNESS: 4.603174603174603        	BEST SCORE: 5    	BEST RATIO: 0.08620689655172414      TOO_OLD: 30      	WON: 0    	
GEN: 58    AVG FITNESS: 0.25023472063774604      	AVG SCORE: 0.276     	AVG RATIO: 0.024238166330025467     	BEST FITNESS: 3.3043478260869565       	BEST SCORE: 4    	BEST RATIO: 0.21052631578947367      TOO_OLD: 22      	WON: 0    	
GEN: 59    AVG FITNESS: 0.27931491241070044      	AVG SCORE: 0.308     	AVG RATIO: 0.025998142989786446     	BEST FITNESS: 11.283582089552239       	BEST SCORE: 12   	BEST RATIO: 0.06349206349206349      TOO_OLD: 26      	WON: 0    	
GEN: 60    AVG FITNESS: 0.33023603652699585      	AVG SCORE: 0.36      	AVG RATIO: 0.025910464948898804     	BEST FITNESS: 9.537037037037036        	BEST SCORE: 10   	BEST RATIO: 0.04854368932038835      TOO_OLD: 27      	WON: 0    	
GEN: 61    AVG FITNESS: 0.36726634693099985      	AVG SCORE: 0.4       	AVG RATIO: 0.02541942043721403      	BEST FITNESS: 10.335164835164836       	BEST SCORE: 11   	BEST RATIO: 0.06432748538011696      TOO_OLD: 34      	WON: 0    	
GEN: 62    AVG FITNESS: 0.38548945780541927      	AVG SCORE: 0.419     	AVG RATIO: 0.024325108853410736     	BEST FITNESS: 6.6141732283464565       	BEST SCORE: 7    	BEST RATIO: 0.058333333333333334     TOO_OLD: 44      	WON: 0    	
GEN: 63    AVG FITNESS: 0.43139804105160334      	AVG SCORE: 0.466     	AVG RATIO: 0.024183922362343666     	BEST FITNESS: 8.714788732394366        	BEST SCORE: 9    	BEST RATIO: 0.03272727272727273      TOO_OLD: 58      	WON: 0    	
GEN: 64    AVG FITNESS: 0.5429194934408504       	AVG SCORE: 0.583     	AVG RATIO: 0.026168140401274742     	BEST FITNESS: 13.219123505976096       	BEST SCORE: 14   	BEST RATIO: 0.05907172995780591      TOO_OLD: 66      	WON: 0    	
GEN: 65    AVG FITNESS: 0.6794934307101177       	AVG SCORE: 0.725     	AVG RATIO: 0.026967713137925904     	BEST FITNESS: 22.69090909090909        	BEST SCORE: 24   	BEST RATIO: 0.057692307692307696     TOO_OLD: 87      	WON: 0    	
GEN: 66    AVG FITNESS: 0.8773164262308393       	AVG SCORE: 0.93      	AVG RATIO: 0.02622673434856176      	BEST FITNESS: 24.44954128440367        	BEST SCORE: 26   	BEST RATIO: 0.06341463414634146      TOO_OLD: 134     	WON: 0    	
