GEN: 37    AVG FITNESS: 3204.1239962236646       	AVG SCORE: 1.22      	AVG RATIO: 0.05140305047611022      	BEST FITNESS: 177775.89469430945       	BEST SCORE: 15   	BEST RATIO: 0.10714285714285714      TOO_OLD: 38      	WON: 0    	
GEN: 38    AVG FITNESS: 2734.4911853700496       	AVG SCORE: 1.209     	AVG RATIO: 0.04854251987472898      	BEST FITNESS: 114912.08356011439       	BEST SCORE: 13   	BEST RATIO: 0.08074534161490683      TOO_OLD: 52      	WON: 0    	
GEN: 39    AVG FITNESS: 4517.569293076578        	AVG SCORE: 1.353     	AVG RATIO: 0.05545309233984999      	BEST FITNESS: 759885.2568343589        	BEST SCORE: 19   	BEST RATIO: 0.07983193277310924      TOO_OLD: 36      	WON: 0    	
GEN: 40    AVG FITNESS: 4667.7771400966          	AVG SCORE: 1.466     	AVG RATIO: 0.05180761211435841      	BEST FITNESS: 473284.80957058695       	BEST SCORE: 18   	BEST RATIO: 0.08780487804878048      TOO_OLD: 59      	WON: 0    	
GEN: 41    AVG FITNESS: 5300.235715538652        	AVG SCORE: 1.442     	AVG RATIO: 0.05567782539866404      	BEST FITNESS: 761076.3410005718        	BEST SCORE: 19   	BEST RATIO: 0.09268292682926829      TOO_OLD: 35      	WON: 0    	
GEN: 42    AVG FITNESS: 7578.370976395596        	AVG SCORE: 1.851     	AVG RATIO: 0.05774450163781002      	BEST FITNESS: 760433.43541072          	BEST SCORE: 19   	BEST RATIO: 0.08520179372197309      TOO_OLD: 56      	WON: 0    	
GEN: 43    AVG FITNESS: 5278.268989973048        	AVG SCORE: 1.628     	AVG RATIO: 0.05632633290661869      	BEST FITNESS: 230353.73704772003       	BEST SCORE: 16   	BEST RATIO: 0.08333333333333333      TOO_OLD: 52      	WON: 0    	
GEN: 44    AVG FITNESS: 5554.506714680996        	AVG SCORE: 1.688     	AVG RATIO: 0.059085022226889286     	BEST FITNESS: 318974.02921223594       	BEST SCORE: 17   	BEST RATIO: 0.09659090909090909      TOO_OLD: 43      	WON: 0    	
GEN: 45    AVG FITNESS: 12447.460464252688       	AVG SCORE: 1.736     	AVG RATIO: 0.05730507691292005      	BEST FITNESS: 4513875.879416908        	BEST SCORE: 22   	BEST RATIO: 0.07773851590106007      TOO_OLD: 53      	WON: 0    	
GEN: 46    AVG FITNESS: 12262.828839093056       	AVG SCORE: 2.052     	AVG RATIO: 0.060568493757194725     	BEST FITNESS: 4512790.71852476         	BEST SCORE: 22   	BEST RATIO: 0.0718954248366013       TOO_OLD: 42      	WON: 0    	
GEN: 47    AVG FITNESS: 10243.84268937586        	AVG SCORE: 2.017     	AVG RATIO: 0.056246514221974346     	BEST FITNESS: 1310734.3575457295       	BEST SCORE: 20   	BEST RATIO: 0.07936507936507936      TOO_OLD: 73      	WON: 0    	
GEN: 48    AVG FITNESS: 75152.47588537213        	AVG SCORE: 1.843     	AVG RATIO: 0.053057346844772        	BEST FITNESS: 67563390.44962339        	BEST SCORE: 26   	BEST RATIO: 0.08524590163934426      TOO_OLD: 76      	WON: 0    	
GEN: 49    AVG FITNESS: 27247.45840635803        	AVG SCORE: 2.077     	AVG RATIO: 0.05233715509638402      	BEST FITNESS: 17158529.706116095       	BEST SCORE: 24   	BEST RATIO: 0.06997084548104957      TOO_OLD: 114     	WON: 0    	
GEN: 50    AVG FITNESS: 56759.54589991085        	AVG SCORE: 2.136     	AVG RATIO: 0.04732469258889997      	BEST FITNESS: 33970657.00208887        	BEST SCORE: 25   	BEST RATIO: 0.07374631268436578      TOO_OLD: 159     	WON: 0    	
GEN: 51    AVG FITNESS: 14006.505415323376       	AVG SCORE: 2.209     	AVG RATIO: 0.048995253515503705     	BEST FITNESS: 1308164.598984107        	BEST SCORE: 20   	BEST RATIO: 0.06369426751592357      TOO_OLD: 134     	WON: 0    	
GEN: 52    AVG FITNESS: 44640.86381910882        	AVG SCORE: 2.062     	AVG RATIO: 0.045959078143805995     	BEST FITNESS: 33970310.50844799        	BEST SCORE: 25   	BEST RATIO: 0.07246376811594203      TOO_OLD: 131     	WON: 0    	
GEN: 53    AVG FITNESS: 11526.109984924757       	AVG SCORE: 2.02      	AVG RATIO: 0.04177264925450297      	BEST FITNESS: 1310372.2793811436       	BEST SCORE: 20   	BEST RATIO: 0.07662835249042145      TOO_OLD: 163     	WON: 0    	
GEN: 54    AVG FITNESS: 101081.07858919691       	AVG SCORE: 2.127     	AVG RATIO: 0.043782548733043776     	BEST FITNESS: 67557331.2233642         	BEST SCORE: 26   	BEST RATIO: 0.06435643564356436      TOO_OLD: 156     	WON: 0    	
GEN: 55    AVG FITNESS: 41355.6038675671         	AVG SCORE: 2.171     	AVG RATIO: 0.03985241207137088      	BEST FITNESS: 17159565.551652465       	BEST SCORE: 24   	BEST RATIO: 0.07407407407407407      TOO_OLD: 219     	WON: 0    	
GEN: 56    AVG FITNESS: 63556.337748146056       	AVG SCORE: 2.517     	AVG RATIO: 0.046972977008062106     	BEST FITNESS: 17160529.914917666       	BEST SCORE: 24   	BEST RATIO: 0.0784313725490196       TOO_OLD: 162     	WON: 0    	
GEN: 57    AVG FITNESS: 261395.56181018826       	AVG SCORE: 2.834     	AVG RATIO: 0.0484204411488322       	BEST FITNESS: 134707979.3690428        	BEST SCORE: 27   	BEST RATIO: 0.07917888563049853      TOO_OLD: 141     	WON: 0    	
GEN: 58    AVG FITNESS: 1763228.9934891383       	AVG SCORE: 3.194     	AVG RATIO: 0.05306264848072035      	BEST FITNESS: 1074354581.076285        	BEST SCORE: 30   	BEST RATIO: 0.08547008547008547      TOO_OLD: 102     	WON: 0    	
GEN: 59    AVG FITNESS: 164687.35392726117       	AVG SCORE: 3.769     	AVG RATIO: 0.05474537373267873      	BEST FITNESS: 67550797.98491777        	BEST SCORE: 26   	BEST RATIO: 0.05168986083499006      TOO_OLD: 110     	WON: 0    	
GEN: 60    AVG FITNESS: 3088793.129477211        	AVG SCORE: 3.47      	AVG RATIO: 0.048722269025554626     	BEST FITNESS: 2148133052.052431        	BEST SCORE: 31   	BEST RATIO: 0.06919642857142858      TOO_OLD: 141     	WON: 0    	
GEN: 61    AVG FITNESS: 373969.17572658526       	AVG SCORE: 2.857     	AVG RATIO: 0.052402787967718266     	BEST FITNESS: 268963704.00169647       	BEST SCORE: 28   	BEST RATIO: 0.07713498622589532      TOO_OLD: 90      	WON: 0    	
GEN: 62    AVG FITNESS: 989805.4122539132        	AVG SCORE: 3.146     	AVG RATIO: 0.05208178130949424      	BEST FITNESS: 537435691.9527524        	BEST SCORE: 29   	BEST RATIO: 0.06823529411764706      TOO_OLD: 96      	WON: 0    	
GEN: 63    AVG FITNESS: 307608.57688252913       	AVG SCORE: 2.827     	AVG RATIO: 0.0478495624650903       	BEST FITNESS: 134704940.01494414       	BEST SCORE: 27   	BEST RATIO: 0.06958762886597938      TOO_OLD: 130     	WON: 0    	
GEN: 64    AVG FITNESS: 779363.4223567112        	AVG SCORE: 3.034     	AVG RATIO: 0.04721517608428391      	BEST FITNESS: 537435543.9857354        	BEST SCORE: 29   	BEST RATIO: 0.06791569086651054      TOO_OLD: 124     	WON: 0    	
GEN: 65    AVG FITNESS: 1434973.4360967744       	AVG SCORE: 2.776     	AVG RATIO: 0.046820711755776685     	BEST FITNESS: 1074346937.520895        	BEST SCORE: 30   	BEST RATIO: 0.06637168141592921      TOO_OLD: 131     	WON: 0    	
GEN: 66    AVG FITNESS: 130595.16775380753       	AVG SCORE: 3.317     	AVG RATIO: 0.046767052984801064     	BEST FITNESS: 17157196.076735493       	BEST SCORE: 24   	BEST RATIO: 0.0653950953678474       TOO_OLD: 166     	WON: 0    	
GEN: 67    AVG FITNESS: 142363.06603189037       	AVG SCORE: 2.851     	AVG RATIO: 0.04367942884282453      	BEST FITNESS: 33962319.39296441        	BEST SCORE: 25   	BEST RATIO: 0.052521008403361345     TOO_OLD: 171     	WON: 0    	
GEN: 68    AVG FITNESS: 91683.08858174704        	AVG SCORE: 2.779     	AVG RATIO: 0.04339407567027373      	BEST FITNESS: 33966990.4630622         	BEST SCORE: 25   	BEST RATIO: 0.06234413965087282      TOO_OLD: 172     	WON: 0    	
