GEN: 74    AVG FITNESS: 22776.530240399457       	AVG SCORE: 1.658     	AVG RATIO: 0.04123557500994827      	BEST SCORE: 20   	BEST RATIO: 0.05333333333333334      TOO_OLD: 55      	WON: 0    	
GEN: 75    AVG FITNESS: 22822.52075031956        	AVG SCORE: 1.658     	AVG RATIO: 0.0416572447928444       	BEST SCORE: 20   	BEST RATIO: 0.06153846153846154      TOO_OLD: 52      	WON: 0    	
GEN: 76    AVG FITNESS: 23172.05327203533        	AVG SCORE: 1.694     	AVG RATIO: 0.03992364073436874      	BEST SCORE: 22   	BEST RATIO: 0.03900709219858156      TOO_OLD: 64      	WON: 0    	
GEN: 77    AVG FITNESS: 24281.748397856707       	AVG SCORE: 1.801     	AVG RATIO: 0.040575857252286754     	BEST SCORE: 24   	BEST RATIO: 0.05491990846681922      TOO_OLD: 62      	WON: 0    	
GEN: 78    AVG FITNESS: 25457.50206289019        	AVG SCORE: 1.914     	AVG RATIO: 0.043518792205725194     	BEST SCORE: 23   	BEST RATIO: 0.04554455445544554      TOO_OLD: 43      	WON: 0    	
GEN: 79    AVG FITNESS: 25366.545176057207       	AVG SCORE: 1.903     	AVG RATIO: 0.04096084719860522      	BEST SCORE: 22   	BEST RATIO: 0.04198473282442748      TOO_OLD: 71      	WON: 0    	
GEN: 80    AVG FITNESS: 29429.71900940672        	AVG SCORE: 2.297     	AVG RATIO: 0.0431507363991584       	BEST SCORE: 21   	BEST RATIO: 0.04708520179372197      TOO_OLD: 66      	WON: 0    	
GEN: 81    AVG FITNESS: 29465.44532653231        	AVG SCORE: 2.301     	AVG RATIO: 0.04269254318422176      	BEST SCORE: 22   	BEST RATIO: 0.04143126177024482      TOO_OLD: 56      	WON: 0    	
GEN: 82    AVG FITNESS: 29977.55482028198        	AVG SCORE: 2.349     	AVG RATIO: 0.042844635756757746     	BEST SCORE: 25   	BEST RATIO: 0.04604051565377532      TOO_OLD: 54      	WON: 0    	
GEN: 83    AVG FITNESS: 30365.367560131333       	AVG SCORE: 2.392     	AVG RATIO: 0.04308124560992741      	BEST SCORE: 22   	BEST RATIO: 0.05699481865284974      TOO_OLD: 55      	WON: 0    	
GEN: 84    AVG FITNESS: 31040.806740988308       	AVG SCORE: 2.457     	AVG RATIO: 0.042991373729243575     	BEST SCORE: 23   	BEST RATIO: 0.04801670146137787      TOO_OLD: 71      	WON: 0    	
GEN: 85    AVG FITNESS: 33953.548360611036       	AVG SCORE: 2.738     	AVG RATIO: 0.04229616584793154      	BEST SCORE: 22   	BEST RATIO: 0.04932735426008968      TOO_OLD: 88      	WON: 0    	
GEN: 86    AVG FITNESS: 35340.2317477799         	AVG SCORE: 2.875     	AVG RATIO: 0.04273186682520808      	BEST SCORE: 23   	BEST RATIO: 0.04956896551724138      TOO_OLD: 82      	WON: 0    	
GEN: 87    AVG FITNESS: 35601.98716340957        	AVG SCORE: 2.897     	AVG RATIO: 0.04044225426828417      	BEST SCORE: 25   	BEST RATIO: 0.041390728476821195     TOO_OLD: 99      	WON: 0    	
GEN: 88    AVG FITNESS: 37413.35745390846        	AVG SCORE: 3.077     	AVG RATIO: 0.04121460526668274      	BEST SCORE: 22   	BEST RATIO: 0.05339805825242718      TOO_OLD: 88      	WON: 0    	
GEN: 89    AVG FITNESS: 39938.92803788871        	AVG SCORE: 3.321     	AVG RATIO: 0.0423732057416268       	BEST SCORE: 24   	BEST RATIO: 0.047524752475247525     TOO_OLD: 82      	WON: 0    	
GEN: 90    AVG FITNESS: 39344.061582253475       	AVG SCORE: 3.27      	AVG RATIO: 0.04151748305020187      	BEST SCORE: 24   	BEST RATIO: 0.042105263157894736     TOO_OLD: 80      	WON: 0    	
GEN: 91    AVG FITNESS: 40167.10210748732        	AVG SCORE: 3.347     	AVG RATIO: 0.04130416003356657      	BEST SCORE: 26   	BEST RATIO: 0.04180064308681672      TOO_OLD: 74      	WON: 0    	
GEN: 92    AVG FITNESS: 41203.855632814826       	AVG SCORE: 3.445     	AVG RATIO: 0.04244544928107635      	BEST SCORE: 23   	BEST RATIO: 0.05133928571428571      TOO_OLD: 71      	WON: 0    	
GEN: 93    AVG FITNESS: 43164.80478195104        	AVG SCORE: 3.64      	AVG RATIO: 0.04271849217805631      	BEST SCORE: 25   	BEST RATIO: 0.04604051565377532      TOO_OLD: 70      	WON: 0    	
GEN: 94    AVG FITNESS: 44498.02706397857        	AVG SCORE: 3.77      	AVG RATIO: 0.04277189081255248      	BEST SCORE: 24   	BEST RATIO: 0.03877221324717286      TOO_OLD: 77      	WON: 0    	
GEN: 95    AVG FITNESS: 42906.76656851361        	AVG SCORE: 3.62      	AVG RATIO: 0.04106077448333749      	BEST SCORE: 25   	BEST RATIO: 0.04664179104477612      TOO_OLD: 91      	WON: 0    	
GEN: 96    AVG FITNESS: 41738.930393674746       	AVG SCORE: 3.499     	AVG RATIO: 0.04268218302471395      	BEST SCORE: 27   	BEST RATIO: 0.042993630573248405     TOO_OLD: 62      	WON: 0    	
GEN: 97    AVG FITNESS: 45993.824931219395       	AVG SCORE: 3.917     	AVG RATIO: 0.04274987448977364      	BEST SCORE: 25   	BEST RATIO: 0.043706293706293704     TOO_OLD: 68      	WON: 0    	
GEN: 98    AVG FITNESS: 46986.19058972357        	AVG SCORE: 4.014     	AVG RATIO: 0.04282422225067213      	BEST SCORE: 25   	BEST RATIO: 0.043782837127845885     TOO_OLD: 73      	WON: 0    	
GEN: 99    AVG FITNESS: 49229.02873077611        	AVG SCORE: 4.238     	AVG RATIO: 0.04283577262068408      	BEST SCORE: 24   	BEST RATIO: 0.04428044280442804      TOO_OLD: 86      	WON: 0    	
GEN: 100   AVG FITNESS: 49254.89600845714        	AVG SCORE: 4.24      	AVG RATIO: 0.04184802455610498      	BEST SCORE: 25   	BEST RATIO: 0.0499001996007984       TOO_OLD: 113     	WON: 0    	
GEN: 101   AVG FITNESS: 53742.83446908593        	AVG SCORE: 4.674     	AVG RATIO: 0.04285557104085675      	BEST SCORE: 24   	BEST RATIO: 0.05150214592274678      TOO_OLD: 102     	WON: 0    	
GEN: 102   AVG FITNESS: 54405.75680951563        	AVG SCORE: 4.744     	AVG RATIO: 0.043670373370645846     	BEST SCORE: 23   	BEST RATIO: 0.05088495575221239      TOO_OLD: 93      	WON: 0    	
GEN: 103   AVG FITNESS: 55961.643954598694       	AVG SCORE: 4.892     	AVG RATIO: 0.04378804153240244      	BEST SCORE: 26   	BEST RATIO: 0.05108055009823183      TOO_OLD: 116     	WON: 0    	
GEN: 104   AVG FITNESS: 53328.67143405141        	AVG SCORE: 4.634     	AVG RATIO: 0.04259465222946329      	BEST SCORE: 25   	BEST RATIO: 0.05091649694501019      TOO_OLD: 144     	WON: 0    	
GEN: 105   AVG FITNESS: 56130.52985927518        	AVG SCORE: 4.913     	AVG RATIO: 0.043848453746262665     	BEST SCORE: 26   	BEST RATIO: 0.05263157894736842      TOO_OLD: 117     	WON: 0    	
GEN: 106   AVG FITNESS: 59739.94529343778        	AVG SCORE: 5.265     	AVG RATIO: 0.04450963318651776      	BEST SCORE: 27   	BEST RATIO: 0.0432                   TOO_OLD: 143     	WON: 0    	
GEN: 107   AVG FITNESS: 53871.54407277381        	AVG SCORE: 4.688     	AVG RATIO: 0.04366942395111409      	BEST SCORE: 25   	BEST RATIO: 0.048638132295719845     TOO_OLD: 134     	WON: 0    	
GEN: 108   AVG FITNESS: 58815.211541062665       	AVG SCORE: 5.168     	AVG RATIO: 0.04345120987405203      	BEST SCORE: 24   	BEST RATIO: 0.05183585313174946      TOO_OLD: 162     	WON: 0    	
GEN: 109   AVG FITNESS: 58991.1138852567         	AVG SCORE: 5.186     	AVG RATIO: 0.044697648762325036     	BEST SCORE: 27   	BEST RATIO: 0.05075187969924812      TOO_OLD: 128     	WON: 0    	
GEN: 110   AVG FITNESS: 61304.82689804359        	AVG SCORE: 5.414     	AVG RATIO: 0.04449960547080484      	BEST SCORE: 26   	BEST RATIO: 0.06770833333333333      TOO_OLD: 125     	WON: 0    	
