GEN: 71    AVG FITNESS: 139804985.86480245       	AVG SCORE: 2.449     	AVG RATIO: 0.0228153530836594       	BEST SCORE: 33   	BEST RATIO: 0.03360488798370672      TOO_OLD: 258     	WON: 0    	
GEN: 72    AVG FITNESS: 144450935.08711782       	AVG SCORE: 2.179     	AVG RATIO: 0.02255156639723461      	BEST SCORE: 36   	BEST RATIO: 0.0316622691292876       TOO_OLD: 245     	WON: 0    	
GEN: 73    AVG FITNESS: 159048293.33474454       	AVG SCORE: 2.556     	AVG RATIO: 0.02339780851511795      	BEST SCORE: 35   	BEST RATIO: 0.0364963503649635       TOO_OLD: 224     	WON: 0    	
GEN: 74    AVG FITNESS: 136791850.9923301        	AVG SCORE: 2.444     	AVG RATIO: 0.023664743018707152     	BEST SCORE: 25   	BEST RATIO: 0.02870264064293915      TOO_OLD: 230     	WON: 0    	
GEN: 75    AVG FITNESS: 230320893.4463539        	AVG SCORE: 2.39      	AVG RATIO: 0.023699972234342156     	BEST SCORE: 37   	BEST RATIO: 0.02765321375186846      TOO_OLD: 221     	WON: 0    	
GEN: 76    AVG FITNESS: 133012480.45277315       	AVG SCORE: 2.482     	AVG RATIO: 0.024305929589188664     	BEST SCORE: 23   	BEST RATIO: 0.024261603375527425     TOO_OLD: 194     	WON: 0    	
GEN: 77    AVG FITNESS: 122573592.21033835       	AVG SCORE: 2.727     	AVG RATIO: 0.024590607415957293     	BEST SCORE: 24   	BEST RATIO: 0.025974025974025976     TOO_OLD: 210     	WON: 0    	
GEN: 78    AVG FITNESS: 186226763.9242074        	AVG SCORE: 2.689     	AVG RATIO: 0.024764465892450935     	BEST SCORE: 34   	BEST RATIO: 0.035789473684210524     TOO_OLD: 189     	WON: 0    	
GEN: 79    AVG FITNESS: 134451271.01917028       	AVG SCORE: 2.751     	AVG RATIO: 0.02389493524654952      	BEST SCORE: 23   	BEST RATIO: 0.02832512315270936      TOO_OLD: 248     	WON: 0    	
GEN: 80    AVG FITNESS: 157264036.00242943       	AVG SCORE: 2.825     	AVG RATIO: 0.023311081221583176     	BEST SCORE: 19   	BEST RATIO: 0.018393030009680542     TOO_OLD: 260     	WON: 0    	
GEN: 81    AVG FITNESS: 134507419.5193381        	AVG SCORE: 2.596     	AVG RATIO: 0.023828537335352704     	BEST SCORE: 30   	BEST RATIO: 0.037359900373599        TOO_OLD: 238     	WON: 0    	
GEN: 82    AVG FITNESS: 316379240.06939745       	AVG SCORE: 3.135     	AVG RATIO: 0.02474622294491893      	BEST SCORE: 33   	BEST RATIO: 0.02756892230576441      TOO_OLD: 262     	WON: 0    	
GEN: 83    AVG FITNESS: 210251138.70159316       	AVG SCORE: 2.723     	AVG RATIO: 0.023937830211071355     	BEST SCORE: 28   	BEST RATIO: 0.026540284360189573     TOO_OLD: 276     	WON: 0    	
GEN: 84    AVG FITNESS: 210877755.43877167       	AVG SCORE: 3.256     	AVG RATIO: 0.025534651368880033     	BEST SCORE: 30   	BEST RATIO: 0.032119914346895075     TOO_OLD: 272     	WON: 0    	
GEN: 85    AVG FITNESS: 249531781.40811917       	AVG SCORE: 3.375     	AVG RATIO: 0.02649053404916643      	BEST SCORE: 28   	BEST RATIO: 0.029661016949152543     TOO_OLD: 295     	WON: 0    	
GEN: 86    AVG FITNESS: 241476764.40312758       	AVG SCORE: 3.397     	AVG RATIO: 0.02724553059407608      	BEST SCORE: 27   	BEST RATIO: 0.026264591439688716     TOO_OLD: 306     	WON: 0    	
GEN: 87    AVG FITNESS: 234693971.26982185       	AVG SCORE: 3.586     	AVG RATIO: 0.02850216587847236      	BEST SCORE: 35   	BEST RATIO: 0.04539559014267185      TOO_OLD: 271     	WON: 0    	
GEN: 88    AVG FITNESS: 312892913.83157575       	AVG SCORE: 3.837     	AVG RATIO: 0.02817656432437196      	BEST SCORE: 31   	BEST RATIO: 0.039141414141414144     TOO_OLD: 267     	WON: 0    	
GEN: 89    AVG FITNESS: 315314907.50057          	AVG SCORE: 3.955     	AVG RATIO: 0.029860550098528487     	BEST SCORE: 32   	BEST RATIO: 0.04221635883905013      TOO_OLD: 258     	WON: 0    	
GEN: 90    AVG FITNESS: 342207842.65505964       	AVG SCORE: 4.014     	AVG RATIO: 0.02961793309032953      	BEST SCORE: 29   	BEST RATIO: 0.030430220356768102     TOO_OLD: 315     	WON: 0    	
GEN: 91    AVG FITNESS: 442376328.32875687       	AVG SCORE: 3.828     	AVG RATIO: 0.029007911248522325     	BEST SCORE: 33   	BEST RATIO: 0.03277060575968222      TOO_OLD: 291     	WON: 0    	
GEN: 92    AVG FITNESS: 398619152.6428865        	AVG SCORE: 4.176     	AVG RATIO: 0.03021095581213647      	BEST SCORE: 33   	BEST RATIO: 0.0375                   TOO_OLD: 261     	WON: 0    	
GEN: 93    AVG FITNESS: 557838080.0532453        	AVG SCORE: 4.491     	AVG RATIO: 0.03017415141498024      	BEST SCORE: 41   	BEST RATIO: 0.040553907022749754     TOO_OLD: 290     	WON: 0    	
GEN: 94    AVG FITNESS: 475406712.6230497        	AVG SCORE: 4.02      	AVG RATIO: 0.03020921005170133      	BEST SCORE: 34   	BEST RATIO: 0.03222748815165877      TOO_OLD: 234     	WON: 0    	
GEN: 95    AVG FITNESS: 542402548.3290718        	AVG SCORE: 3.918     	AVG RATIO: 0.02962033355005519      	BEST SCORE: 32   	BEST RATIO: 0.029934518241347054     TOO_OLD: 224     	WON: 0    	
GEN: 96    AVG FITNESS: 539061610.6575667        	AVG SCORE: 4.387     	AVG RATIO: 0.030334670170100952     	BEST SCORE: 36   	BEST RATIO: 0.041666666666666664     TOO_OLD: 228     	WON: 0    	
GEN: 97    AVG FITNESS: 467251155.1068556        	AVG SCORE: 4.245     	AVG RATIO: 0.03114956192488883      	BEST SCORE: 29   	BEST RATIO: 0.03046218487394958      TOO_OLD: 240     	WON: 0    	
GEN: 98    AVG FITNESS: 420943819.92912656       	AVG SCORE: 4.261     	AVG RATIO: 0.030984809371795898     	BEST SCORE: 34   	BEST RATIO: 0.04004711425206125      TOO_OLD: 229     	WON: 0    	
GEN: 99    AVG FITNESS: 832143434.4909642        	AVG SCORE: 4.894     	AVG RATIO: 0.032395792651040256     	BEST SCORE: 42   	BEST RATIO: 0.03763440860215054      TOO_OLD: 230     	WON: 0    	
GEN: 100   AVG FITNESS: 627484815.3580133        	AVG SCORE: 4.49      	AVG RATIO: 0.03262749429563853      	BEST SCORE: 33   	BEST RATIO: 0.025404157043879907     TOO_OLD: 200     	WON: 0    	
GEN: 101   AVG FITNESS: 1521044355.118238        	AVG SCORE: 4.725     	AVG RATIO: 0.031978396816372934     	BEST SCORE: 50   	BEST RATIO: 0.031055900621118012     TOO_OLD: 208     	WON: 0    	
GEN: 102   AVG FITNESS: 1172871874.4762385       	AVG SCORE: 4.373     	AVG RATIO: 0.030246439662744935     	BEST SCORE: 39   	BEST RATIO: 0.027936962750716332     TOO_OLD: 205     	WON: 0    	
GEN: 103   AVG FITNESS: 1126157761.5937877       	AVG SCORE: 4.216     	AVG RATIO: 0.02927940441135619      	BEST SCORE: 49   	BEST RATIO: 0.03783783783783784      TOO_OLD: 217     	WON: 0    	
GEN: 104   AVG FITNESS: 843835800.0825838        	AVG SCORE: 3.824     	AVG RATIO: 0.02824412257831023      	BEST SCORE: 36   	BEST RATIO: 0.0326975476839237       TOO_OLD: 198     	WON: 0    	
GEN: 105   AVG FITNESS: 1892046410.112768        	AVG SCORE: 3.771     	AVG RATIO: 0.02744581434955385      	BEST SCORE: 57   	BEST RATIO: 0.0322215941209723       TOO_OLD: 221     	WON: 0    	
GEN: 106   AVG FITNESS: 2904711076.137055        	AVG SCORE: 4.044     	AVG RATIO: 0.02649301643038704      	BEST SCORE: 48   	BEST RATIO: 0.027226318774815655     TOO_OLD: 235     	WON: 0    	
GEN: 107   AVG FITNESS: 4625876775.285993        	AVG SCORE: 3.954     	AVG RATIO: 0.025729791636841626     	BEST SCORE: 61   	BEST RATIO: 0.02798165137614679      TOO_OLD: 220     	WON: 0    	
