GEN: 34    AVG FITNESS: 3437.634662233348     	AVG SCORE: 1.19                  	AVG RATIO: 0.0578034064495162    	BEST FITNESS: 473350.65350886       	BEST SCORE: 18   	BEST RATIO: 0.08866995073891626   WON: 0    	WON AVG RATIO: 0                     	
GEN: 35    AVG FITNESS: 3269.9550338206427    	AVG SCORE: 1.2145454545454546    	AVG RATIO: 0.05401364376096052   	BEST FITNESS: 231117.142795885      	BEST SCORE: 16   	BEST RATIO: 0.0975609756097561    WON: 0    	WON AVG RATIO: 0                     	
GEN: 36    AVG FITNESS: 4614.721563661077     	AVG SCORE: 1.2836363636363637    	AVG RATIO: 0.05698766294995397   	BEST FITNESS: 761005.7371777471     	BEST SCORE: 19   	BEST RATIO: 0.09178743961352658   WON: 0    	WON AVG RATIO: 0                     	
GEN: 37    AVG FITNESS: 3842.6860358741133    	AVG SCORE: 1.2763636363636364    	AVG RATIO: 0.05263277895840807   	BEST FITNESS: 472513.6374111067     	BEST SCORE: 18   	BEST RATIO: 0.07894736842105263   WON: 0    	WON AVG RATIO: 0                     	
GEN: 38    AVG FITNESS: 5225.489259895376     	AVG SCORE: 1.4363636363636363    	AVG RATIO: 0.05533129131304371   	BEST FITNESS: 318103.36101059604    	BEST SCORE: 17   	BEST RATIO: 0.08292682926829269   WON: 0    	WON AVG RATIO: 0                     	
GEN: 39    AVG FITNESS: 6197.084436683419     	AVG SCORE: 1.479090909090909     	AVG RATIO: 0.054221383124689264  	BEST FITNESS: 1309179.778731524     	BEST SCORE: 20   	BEST RATIO: 0.06896551724137931   WON: 0    	WON AVG RATIO: 0                     	
GEN: 40    AVG FITNESS: 4755.071049834883     	AVG SCORE: 1.420909090909091     	AVG RATIO: 0.05555063191537286   	BEST FITNESS: 317257.4998169029     	BEST SCORE: 17   	BEST RATIO: 0.07327586206896551   WON: 0    	WON AVG RATIO: 0                     	
GEN: 41    AVG FITNESS: 5162.334115758214     	AVG SCORE: 1.3772727272727272    	AVG RATIO: 0.04709753622682009   	BEST FITNESS: 472342.6985141647     	BEST SCORE: 18   	BEST RATIO: 0.07725321888412018   WON: 0    	WON AVG RATIO: 0                     	
GEN: 42    AVG FITNESS: 68549.45133104491     	AVG SCORE: 1.449090909090909     	AVG RATIO: 0.04718590950782346   	BEST FITNESS: 67561489.15928032     	BEST SCORE: 26   	BEST RATIO: 0.0771513353115727    WON: 0    	WON AVG RATIO: 0                     	
GEN: 43    AVG FITNESS: 531374.8040451285     	AVG SCORE: 2.632727272727273     	AVG RATIO: 0.05449829151016768   	BEST FITNESS: 537435173.1471189     	BEST SCORE: 29   	BEST RATIO: 0.06712962962962964   WON: 0    	WON AVG RATIO: 0                     	
GEN: 44    AVG FITNESS: 36766.150808676815    	AVG SCORE: 2.888181818181818     	AVG RATIO: 0.05637865970233482   	BEST FITNESS: 8740599.00508555      	BEST SCORE: 23   	BEST RATIO: 0.08582089552238806   WON: 0    	WON AVG RATIO: 0                     	
GEN: 45    AVG FITNESS: 33143.14291709528     	AVG SCORE: 2.963636363636364     	AVG RATIO: 0.052863103136194585  	BEST FITNESS: 8739570.501304658     	BEST SCORE: 23   	BEST RATIO: 0.07958477508650519   WON: 0    	WON AVG RATIO: 0                     	
GEN: 46    AVG FITNESS: 86220.97529826638     	AVG SCORE: 2.828181818181818     	AVG RATIO: 0.04896227888634146   	BEST FITNESS: 33975929.046774454    	BEST SCORE: 25   	BEST RATIO: 0.102880658436214     WON: 0    	WON AVG RATIO: 0                     	
GEN: 47    AVG FITNESS: 43082.704244057226    	AVG SCORE: 3.0036363636363634    	AVG RATIO: 0.053785439442761304  	BEST FITNESS: 8739520.938251298     	BEST SCORE: 23   	BEST RATIO: 0.07931034482758621   WON: 0    	WON AVG RATIO: 0                     	
GEN: 48    AVG FITNESS: 44906.23185188792     	AVG SCORE: 3.3845454545454547    	AVG RATIO: 0.053171398764534826  	BEST FITNESS: 8738670.459868947     	BEST SCORE: 23   	BEST RATIO: 0.0749185667752443    WON: 0    	WON AVG RATIO: 0                     	
GEN: 49    AVG FITNESS: 106251.53377089139    	AVG SCORE: 3.3654545454545453    	AVG RATIO: 0.05354357347419162   	BEST FITNESS: 67560639.53935276     	BEST SCORE: 26   	BEST RATIO: 0.07407407407407407   WON: 0    	WON AVG RATIO: 0                     	
GEN: 50    AVG FITNESS: 146047.50538587978    	AVG SCORE: 2.9718181818181817    	AVG RATIO: 0.05366051090631958   	BEST FITNESS: 67560087.8460916      	BEST SCORE: 26   	BEST RATIO: 0.07222222222222222   WON: 0    	WON AVG RATIO: 0                     	
GEN: 51    AVG FITNESS: 128722.99234878147    	AVG SCORE: 3.670909090909091     	AVG RATIO: 0.05530809599459897   	BEST FITNESS: 33972472.852403514    	BEST SCORE: 25   	BEST RATIO: 0.08143322475570032   WON: 0    	WON AVG RATIO: 0                     	
GEN: 52    AVG FITNESS: 122082.18453138605    	AVG SCORE: 3.8045454545454547    	AVG RATIO: 0.05658530357926422   	BEST FITNESS: 33972416.94786969     	BEST SCORE: 25   	BEST RATIO: 0.08116883116883117   WON: 0    	WON AVG RATIO: 0                     	
GEN: 53    AVG FITNESS: 250260.22288251898    	AVG SCORE: 3.7409090909090907    	AVG RATIO: 0.05722675092755298   	BEST FITNESS: 67562684.26337397     	BEST SCORE: 26   	BEST RATIO: 0.08201892744479496   WON: 0    	WON AVG RATIO: 0                     	
GEN: 54    AVG FITNESS: 472705.95787538006    	AVG SCORE: 3.199090909090909     	AVG RATIO: 0.0536572756959011    	BEST FITNESS: 268960679.7129813     	BEST SCORE: 28   	BEST RATIO: 0.0687960687960688    WON: 0    	WON AVG RATIO: 0                     	
GEN: 55    AVG FITNESS: 614730.0988346225     	AVG SCORE: 3.8854545454545453    	AVG RATIO: 0.05524495883926014   	BEST FITNESS: 134709110.85756347    	BEST SCORE: 27   	BEST RATIO: 0.08359133126934984   WON: 0    	WON AVG RATIO: 0                     	
GEN: 56    AVG FITNESS: 572103.0581778036     	AVG SCORE: 3.131818181818182     	AVG RATIO: 0.05380435409256746   	BEST FITNESS: 268965374.0499956     	BEST SCORE: 28   	BEST RATIO: 0.08284023668639054   WON: 0    	WON AVG RATIO: 0                     	
GEN: 57    AVG FITNESS: 3472732.7072917745    	AVG SCORE: 3.57                  	AVG RATIO: 0.0556247521051677    	BEST FITNESS: 1074353262.5896413    	BEST SCORE: 30   	BEST RATIO: 0.08130081300813008   WON: 0    	WON AVG RATIO: 0                     	
GEN: 58    AVG FITNESS: 1258669.0857396894    	AVG SCORE: 3.7172727272727273    	AVG RATIO: 0.05007585210193404   	BEST FITNESS: 268962067.4207361     	BEST SCORE: 28   	BEST RATIO: 0.07235142118863049   WON: 0    	WON AVG RATIO: 0                     	
GEN: 59    AVG FITNESS: 2268411.4097911585    	AVG SCORE: 3.351818181818182     	AVG RATIO: 0.046644372708873186  	BEST FITNESS: 2148127473.8512993    	BEST SCORE: 31   	BEST RATIO: 0.06019417475728155   WON: 0    	WON AVG RATIO: 0                     	
GEN: 60    AVG FITNESS: 4033902.506317368     	AVG SCORE: 4.861818181818182     	AVG RATIO: 0.04978040273996296   	BEST FITNESS: 2148132644.0264506    	BEST SCORE: 31   	BEST RATIO: 0.0684326710816777    WON: 0    	WON AVG RATIO: 0                     	
GEN: 61    AVG FITNESS: 2609983.057354212     	AVG SCORE: 4.990909090909091     	AVG RATIO: 0.04946162613675988   	BEST FITNESS: 1074344479.145836     	BEST SCORE: 30   	BEST RATIO: 0.062111801242236024  WON: 0    	WON AVG RATIO: 0                     	
GEN: 62    AVG FITNESS: 5324516.655837596     	AVG SCORE: 5.590909090909091     	AVG RATIO: 0.05293429008507554   	BEST FITNESS: 2148127558.8149786    	BEST SCORE: 31   	BEST RATIO: 0.06031128404669261   WON: 0    	WON AVG RATIO: 0                     	
GEN: 63    AVG FITNESS: 7486154.176456964     	AVG SCORE: 5.424545454545455     	AVG RATIO: 0.056281737942984515  	BEST FITNESS: 2148127643.7284994    	BEST SCORE: 31   	BEST RATIO: 0.06042884990253411   WON: 0    	WON AVG RATIO: 0                     	
GEN: 64    AVG FITNESS: 17085142.431198575    	AVG SCORE: 5.789090909090909     	AVG RATIO: 0.05206033529485826   	BEST FITNESS: 8590674155.566162     	BEST SCORE: 33   	BEST RATIO: 0.06903765690376569   WON: 0    	WON AVG RATIO: 0                     	
GEN: 65    AVG FITNESS: 268306265.45002753    	AVG SCORE: 6.175454545454546     	AVG RATIO: 0.05334813878240823   	BEST FITNESS: 274878897991.7576     	BEST SCORE: 38   	BEST RATIO: 0.06810035842293907   WON: 0    	WON AVG RATIO: 0                     	
GEN: 66    AVG FITNESS: 77715350.05909117     	AVG SCORE: 8.091818181818182     	AVG RATIO: 0.052946788216103026  	BEST FITNESS: 17180655823.145195    	BEST SCORE: 34   	BEST RATIO: 0.06854838709677419   WON: 0    	WON AVG RATIO: 0                     	
GEN: 67    AVG FITNESS: 33794514.098412484    	AVG SCORE: 7.397272727272727     	AVG RATIO: 0.0506221017439288    	BEST FITNESS: 8590680797.224365     	BEST SCORE: 33   	BEST RATIO: 0.08208955223880597   WON: 0    	WON AVG RATIO: 0                     	
GEN: 68    AVG FITNESS: 45372918.856203966    	AVG SCORE: 7.055454545454546     	AVG RATIO: 0.055829896574155685  	BEST FITNESS: 17180645152.95551     	BEST SCORE: 34   	BEST RATIO: 0.056105610561056105  WON: 0    	WON AVG RATIO: 0                     	
GEN: 69    AVG FITNESS: 20315777.377633546    	AVG SCORE: 5.746363636363636     	AVG RATIO: 0.045592146160161995  	BEST FITNESS: 8590660403.298923     	BEST SCORE: 33   	BEST RATIO: 0.0528                WON: 0    	WON AVG RATIO: 0                     	
GEN: 70    AVG FITNESS: 77142713.26509254     	AVG SCORE: 7.002727272727273     	AVG RATIO: 0.0464888360541359    	BEST FITNESS: 17180658893.07952     	BEST SCORE: 34   	BEST RATIO: 0.0734341252699784    WON: 0    	WON AVG RATIO: 0                     	
GEN: 71    AVG FITNESS: 111785916.47300264    	AVG SCORE: 7.077272727272727     	AVG RATIO: 0.049936167800927155  	BEST FITNESS: 68720336246.08821     	BEST SCORE: 36   	BEST RATIO: 0.046875              WON: 0    	WON AVG RATIO: 0                     	
GEN: 72    AVG FITNESS: 119613062.84691265    	AVG SCORE: 6.031818181818182     	AVG RATIO: 0.048264984790169004  	BEST FITNESS: 34360559477.13222     	BEST SCORE: 35   	BEST RATIO: 0.05368098159509203   WON: 0    	WON AVG RATIO: 0                     	
GEN: 73    AVG FITNESS: 178332098.32986128    	AVG SCORE: 5.904545454545454     	AVG RATIO: 0.042931230889773436  	BEST FITNESS: 34360576311.70825     	BEST SCORE: 35   	BEST RATIO: 0.0720164609053498    WON: 0    	WON AVG RATIO: 0                     	
GEN: 74    AVG FITNESS: 3439333676.4084616    	AVG SCORE: 5.867272727272727     	AVG RATIO: 0.04423004172780496   	BEST FITNESS: 2199024388584.323     	BEST SCORE: 41   	BEST RATIO: 0.05043050430504305   WON: 0    	WON AVG RATIO: 0                     	
GEN: 75    AVG FITNESS: 388861098.66203576    	AVG SCORE: 5.779090909090909     	AVG RATIO: 0.036818754604245184  	BEST FITNESS: 274878876164.35364    	BEST SCORE: 38   	BEST RATIO: 0.05100671140939597   WON: 0    	WON AVG RATIO: 0                     	
GEN: 76    AVG FITNESS: 4824585866.899522     	AVG SCORE: 7.38                  	AVG RATIO: 0.04649364940955455   	BEST FITNESS: 2199024425219.556     	BEST SCORE: 41   	BEST RATIO: 0.07750472589792061   WON: 0    	WON AVG RATIO: 0                     	
GEN: 77    AVG FITNESS: 2386597590.211285     	AVG SCORE: 5.515454545454546     	AVG RATIO: 0.039868363050369414  	BEST FITNESS: 1099512716951.976     	BEST SCORE: 40   	BEST RATIO: 0.05747126436781609   WON: 0    	WON AVG RATIO: 0                     	
GEN: 78    AVG FITNESS: 1088504056.3204265    	AVG SCORE: 6.699090909090909     	AVG RATIO: 0.04300071834587123   	BEST FITNESS: 274878885027.6433     	BEST SCORE: 38   	BEST RATIO: 0.05663189269746647   WON: 0    	WON AVG RATIO: 0                     	
