GEN: 70    AVG FITNESS: 9258.416666666679        	AVG SCORE: 0.372     	AVG RATIO: 0.052342760658505696     	BEST SCORE: 6    	BEST RATIO: 0.06818181818181818      TOO_OLD: 5       	WON: 0    	
GEN: 71    AVG FITNESS: 9873.448412698413        	AVG SCORE: 0.427     	AVG RATIO: 0.05507545466271121      	BEST SCORE: 7    	BEST RATIO: 0.07446808510638298      TOO_OLD: 7       	WON: 0    	
GEN: 72    AVG FITNESS: 9774.238095238092        	AVG SCORE: 0.418     	AVG RATIO: 0.05375514403292181      	BEST SCORE: 5    	BEST RATIO: 0.18518518518518517      TOO_OLD: 5       	WON: 0    	
GEN: 73    AVG FITNESS: 9991.809523809521        	AVG SCORE: 0.438     	AVG RATIO: 0.05195729537366548      	BEST SCORE: 5    	BEST RATIO: 0.08928571428571429      TOO_OLD: 10      	WON: 0    	
GEN: 74    AVG FITNESS: 10087.924242424242       	AVG SCORE: 0.446     	AVG RATIO: 0.05681528662420383      	BEST SCORE: 9    	BEST RATIO: 0.10112359550561797      TOO_OLD: 4       	WON: 0    	
GEN: 75    AVG FITNESS: 9911.4880952381          	AVG SCORE: 0.432     	AVG RATIO: 0.05105779458692826      	BEST SCORE: 6    	BEST RATIO: 0.09090909090909091      TOO_OLD: 7       	WON: 0    	
GEN: 76    AVG FITNESS: 10021.400793650799       	AVG SCORE: 0.443     	AVG RATIO: 0.04914577324162414      	BEST SCORE: 7    	BEST RATIO: 0.07216494845360824      TOO_OLD: 13      	WON: 0    	
GEN: 77    AVG FITNESS: 10183.642857142857       	AVG SCORE: 0.456     	AVG RATIO: 0.0462803207145032       	BEST SCORE: 5    	BEST RATIO: 0.0847457627118644       TOO_OLD: 18      	WON: 0    	
GEN: 78    AVG FITNESS: 10697.007936507931       	AVG SCORE: 0.504     	AVG RATIO: 0.05067363764327368      	BEST SCORE: 7    	BEST RATIO: 0.07954545454545454      TOO_OLD: 18      	WON: 0    	
GEN: 79    AVG FITNESS: 10634.301587301567       	AVG SCORE: 0.497     	AVG RATIO: 0.053138030578424034     	BEST SCORE: 7    	BEST RATIO: 0.1044776119402985       TOO_OLD: 6       	WON: 0    	
GEN: 80    AVG FITNESS: 10923.686507936492       	AVG SCORE: 0.522     	AVG RATIO: 0.0498472116119175       	BEST SCORE: 7    	BEST RATIO: 0.07692307692307693      TOO_OLD: 15      	WON: 0    	
GEN: 81    AVG FITNESS: 11606.519841269825       	AVG SCORE: 0.584     	AVG RATIO: 0.053612411640503066     	BEST SCORE: 8    	BEST RATIO: 0.15384615384615385      TOO_OLD: 11      	WON: 0    	
GEN: 82    AVG FITNESS: 11188.996031746025       	AVG SCORE: 0.548     	AVG RATIO: 0.052535710861854094     	BEST SCORE: 7    	BEST RATIO: 0.08045977011494253      TOO_OLD: 8       	WON: 0    	
GEN: 83    AVG FITNESS: 12501.142857142822       	AVG SCORE: 0.666     	AVG RATIO: 0.05488257107540173      	BEST SCORE: 8    	BEST RATIO: 0.10810810810810811      TOO_OLD: 10      	WON: 0    	
GEN: 84    AVG FITNESS: 13218.626623376593       	AVG SCORE: 0.736     	AVG RATIO: 0.05562273276904474      	BEST SCORE: 10   	BEST RATIO: 0.08196721311475409      TOO_OLD: 13      	WON: 0    	
