GEN: 40    AVG FITNESS: 289.19122000000004       	AVG SCORE: 2.142     	AVG RATIO: 0.048321602598808876     	BEST SCORE: 22   	BEST RATIO: 0.06303724928366762      TOO_OLD: 133     	WON: 0    	
GEN: 41    AVG FITNESS: 305.43549999999976       	AVG SCORE: 2.23      	AVG RATIO: 0.04921216401112239      	BEST SCORE: 23   	BEST RATIO: 0.0465587044534413       TOO_OLD: 129     	WON: 0    	
GEN: 42    AVG FITNESS: 344.8133600000003        	AVG SCORE: 2.496     	AVG RATIO: 0.04825239715434581      	BEST SCORE: 23   	BEST RATIO: 0.062162162162162166     TOO_OLD: 153     	WON: 0    	
GEN: 43    AVG FITNESS: 343.27168000000063       	AVG SCORE: 2.515     	AVG RATIO: 0.0520359182322271       	BEST SCORE: 25   	BEST RATIO: 0.056818181818181816     TOO_OLD: 118     	WON: 0    	
GEN: 44    AVG FITNESS: 336.3559999999997        	AVG SCORE: 2.417     	AVG RATIO: 0.04686106479506766      	BEST SCORE: 25   	BEST RATIO: 0.06082725060827251      TOO_OLD: 168     	WON: 0    	
GEN: 45    AVG FITNESS: 362.1924799999998        	AVG SCORE: 2.559     	AVG RATIO: 0.04841456031481762      	BEST SCORE: 22   	BEST RATIO: 0.052884615384615384     TOO_OLD: 143     	WON: 0    	
GEN: 46    AVG FITNESS: 330.10822999999993       	AVG SCORE: 2.407     	AVG RATIO: 0.04881065844706264      	BEST SCORE: 20   	BEST RATIO: 0.055710306406685235     TOO_OLD: 143     	WON: 0    	
GEN: 47    AVG FITNESS: 351.92877000000027       	AVG SCORE: 2.506     	AVG RATIO: 0.04757836380550967      	BEST SCORE: 26   	BEST RATIO: 0.05652173913043478      TOO_OLD: 157     	WON: 0    	
GEN: 48    AVG FITNESS: 364.2020800000001        	AVG SCORE: 2.616     	AVG RATIO: 0.04889902426258926      	BEST SCORE: 25   	BEST RATIO: 0.0625                   TOO_OLD: 155     	WON: 0    	
GEN: 49    AVG FITNESS: 424.81172                	AVG SCORE: 2.973     	AVG RATIO: 0.05019754837402492      	BEST SCORE: 27   	BEST RATIO: 0.0645933014354067       TOO_OLD: 152     	WON: 0    	
GEN: 50    AVG FITNESS: 395.78910999999994       	AVG SCORE: 2.76      	AVG RATIO: 0.04758866837939893      	BEST SCORE: 21   	BEST RATIO: 0.04468085106382979      TOO_OLD: 160     	WON: 0    	
GEN: 51    AVG FITNESS: 402.2872199999996        	AVG SCORE: 2.838     	AVG RATIO: 0.04918544194107452      	BEST SCORE: 26   	BEST RATIO: 0.057649667405764965     TOO_OLD: 148     	WON: 0    	
GEN: 52    AVG FITNESS: 447.24752999999976       	AVG SCORE: 3.031     	AVG RATIO: 0.046529835280391764     	BEST SCORE: 28   	BEST RATIO: 0.06278026905829596      TOO_OLD: 196     	WON: 0    	
GEN: 53    AVG FITNESS: 443.94232000000005       	AVG SCORE: 3.026     	AVG RATIO: 0.04598644418102792      	BEST SCORE: 25   	BEST RATIO: 0.05070993914807302      TOO_OLD: 200     	WON: 0    	
GEN: 54    AVG FITNESS: 452.6336700000002        	AVG SCORE: 3.057     	AVG RATIO: 0.046985229700444185     	BEST SCORE: 25   	BEST RATIO: 0.052083333333333336     TOO_OLD: 187     	WON: 0    	
GEN: 55    AVG FITNESS: 430.7020299999999        	AVG SCORE: 2.92      	AVG RATIO: 0.04677013758749379      	BEST SCORE: 23   	BEST RATIO: 0.04151624548736462      TOO_OLD: 175     	WON: 0    	
GEN: 56    AVG FITNESS: 527.2058800000005        	AVG SCORE: 3.507     	AVG RATIO: 0.04938184685572672      	BEST SCORE: 25   	BEST RATIO: 0.04789272030651341      TOO_OLD: 174     	WON: 0    	
GEN: 57    AVG FITNESS: 552.9309599999989        	AVG SCORE: 3.686     	AVG RATIO: 0.04937841603257957      	BEST SCORE: 25   	BEST RATIO: 0.04734848484848485      TOO_OLD: 168     	WON: 0    	
GEN: 58    AVG FITNESS: 549.2129399999995        	AVG SCORE: 3.548     	AVG RATIO: 0.04742681459697901      	BEST SCORE: 24   	BEST RATIO: 0.0446927374301676       TOO_OLD: 194     	WON: 0    	
GEN: 59    AVG FITNESS: 525.6442699999996        	AVG SCORE: 3.453     	AVG RATIO: 0.047662429086090516     	BEST SCORE: 27   	BEST RATIO: 0.05625                  TOO_OLD: 175     	WON: 0    	
GEN: 60    AVG FITNESS: 516.8556499999996        	AVG SCORE: 3.409     	AVG RATIO: 0.04806621265315906      	BEST SCORE: 33   	BEST RATIO: 0.07127429805615551      TOO_OLD: 172     	WON: 0    	
GEN: 61    AVG FITNESS: 546.9691999999994        	AVG SCORE: 3.52      	AVG RATIO: 0.04649565424140755      	BEST SCORE: 22   	BEST RATIO: 0.03421461897356143      TOO_OLD: 195     	WON: 0    	
GEN: 62    AVG FITNESS: 522.0291100000003        	AVG SCORE: 3.395     	AVG RATIO: 0.046564895966204445     	BEST SCORE: 21   	BEST RATIO: 0.03677758318739054      TOO_OLD: 187     	WON: 0    	
GEN: 63    AVG FITNESS: 523.6831500000001        	AVG SCORE: 3.377     	AVG RATIO: 0.045907478147387874     	BEST SCORE: 25   	BEST RATIO: 0.045454545454545456     TOO_OLD: 172     	WON: 0    	
GEN: 64    AVG FITNESS: 542.3046000000003        	AVG SCORE: 3.493     	AVG RATIO: 0.045835082930925884     	BEST SCORE: 22   	BEST RATIO: 0.03600654664484452      TOO_OLD: 185     	WON: 0    	
