GEN: 52    BEST FITNESS: 15.50259067357513        	BEST SCORE: 17   	BEST RATIO: 0.09659090909090909      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 53    BEST FITNESS: 17.611538461538462       	BEST SCORE: 19   	BEST RATIO: 0.07883817427385892      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 54    BEST FITNESS: 15.674311926605505       	BEST SCORE: 17   	BEST RATIO: 0.0845771144278607       WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 55    BEST FITNESS: 15.662037037037036       	BEST SCORE: 17   	BEST RATIO: 0.08542713567839195      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 56    BEST FITNESS: 17.50826446280992        	BEST SCORE: 19   	BEST RATIO: 0.08520179372197309      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 57    BEST FITNESS: 19.419354838709676       	BEST SCORE: 21   	BEST RATIO: 0.08139534883720931      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 58    BEST FITNESS: 17.701438848920862       	BEST SCORE: 19   	BEST RATIO: 0.07335907335907337      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 59    BEST FITNESS: 22.88135593220339        	BEST SCORE: 25   	BEST RATIO: 0.09259259259259259      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 60    BEST FITNESS: 23.14540059347181        	BEST SCORE: 25   	BEST RATIO: 0.08012820512820513      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 61    BEST FITNESS: 20.506172839506174       	BEST SCORE: 22   	BEST RATIO: 0.0728476821192053       WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 62    BEST FITNESS: 21.076363636363638       	BEST SCORE: 23   	BEST RATIO: 0.09126984126984126      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 63    BEST FITNESS: 20.669603524229075       	BEST SCORE: 23   	BEST RATIO: 0.11274509803921569      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 64    BEST FITNESS: 25.487179487179485       	BEST SCORE: 28   	BEST RATIO: 0.09859154929577464      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 65    BEST FITNESS: 25.288732394366196       	BEST SCORE: 27   	BEST RATIO: 0.06766917293233082      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 66    BEST FITNESS: 28.367123287671234       	BEST SCORE: 31   	BEST RATIO: 0.09281437125748503      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 67    BEST FITNESS: 26.097087378640776       	BEST SCORE: 28   	BEST RATIO: 0.07291666666666667      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 68    BEST FITNESS: 23.134328358208954       	BEST SCORE: 25   	BEST RATIO: 0.08064516129032258      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 69    BEST FITNESS: 24.2257217847769         	BEST SCORE: 26   	BEST RATIO: 0.07323943661971831      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 70    BEST FITNESS: 24.257731958762886       	BEST SCORE: 26   	BEST RATIO: 0.0718232044198895       WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 71    BEST FITNESS: 25.339407744874716       	BEST SCORE: 27   	BEST RATIO: 0.06553398058252427      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 72    BEST FITNESS: 25.1775                  	BEST SCORE: 27   	BEST RATIO: 0.07238605898123325      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 73    BEST FITNESS: 22.50996015936255        	BEST SCORE: 25   	BEST RATIO: 0.11061946902654868      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 74    BEST FITNESS: 29.070281124497992       	BEST SCORE: 31   	BEST RATIO: 0.06638115631691649      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 75    BEST FITNESS: 25.714285714285715       	BEST SCORE: 28   	BEST RATIO: 0.08888888888888889      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 76    BEST FITNESS: 25.97938144329897        	BEST SCORE: 28   	BEST RATIO: 0.07777777777777778      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 77    BEST FITNESS: 27.057736720554274       	BEST SCORE: 29   	BEST RATIO: 0.07178217821782178      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 78    BEST FITNESS: 29.811965811965813       	BEST SCORE: 32   	BEST RATIO: 0.07339449541284404      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 79    BEST FITNESS: 27.959183673469386       	BEST SCORE: 30   	BEST RATIO: 0.072992700729927        WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 80    BEST FITNESS: 26.12887828162291        	BEST SCORE: 28   	BEST RATIO: 0.07161125319693094      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 81    BEST FITNESS: 30.045801526717558       	BEST SCORE: 32   	BEST RATIO: 0.06504065040650407      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 82    BEST FITNESS: 31.78967495219885        	BEST SCORE: 34   	BEST RATIO: 0.06952965235173825      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 83    BEST FITNESS: 28.047722342733188       	BEST SCORE: 30   	BEST RATIO: 0.06960556844547564      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 84    BEST FITNESS: 27.114349775784753       	BEST SCORE: 29   	BEST RATIO: 0.06954436450839328      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 85    BEST FITNESS: 29.532530120481926       	BEST SCORE: 32   	BEST RATIO: 0.0835509138381201       WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 86    BEST FITNESS: 31.141638225255974       	BEST SCORE: 33   	BEST RATIO: 0.059674502712477394     WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 87    BEST FITNESS: 28.5484693877551         	BEST SCORE: 31   	BEST RATIO: 0.08587257617728532      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 88    BEST FITNESS: 28.072805139186297       	BEST SCORE: 30   	BEST RATIO: 0.06864988558352403      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
