GEN: 70    AVG FITNESS: 4683175.232231902        	AVG SCORE: 3.667     	AVG RATIO: 0.06041783372326753      	BEST SCORE: 32   	BEST RATIO: 0.08247422680412371      TOO_OLD: 91      	WON: 0    	
GEN: 71    AVG FITNESS: 876166.6948391759        	AVG SCORE: 4.01      	AVG RATIO: 0.06874207151918263      	BEST SCORE: 29   	BEST RATIO: 0.08430232558139535      TOO_OLD: 28      	WON: 0    	
GEN: 72    AVG FITNESS: 698030.8783710185        	AVG SCORE: 3.583     	AVG RATIO: 0.06678098149218124      	BEST SCORE: 28   	BEST RATIO: 0.0877742946708464       TOO_OLD: 49      	WON: 0    	
GEN: 73    AVG FITNESS: 4671984.648299666        	AVG SCORE: 3.538     	AVG RATIO: 0.062183633295838016     	BEST SCORE: 32   	BEST RATIO: 0.07048458149779736      TOO_OLD: 77      	WON: 0    	
GEN: 74    AVG FITNESS: 2069079.3655067065       	AVG SCORE: 4.122     	AVG RATIO: 0.055748657677274514     	BEST SCORE: 30   	BEST RATIO: 0.061224489795918366     TOO_OLD: 159     	WON: 0    	
GEN: 75    AVG FITNESS: 3357197.4881992727       	AVG SCORE: 3.736     	AVG RATIO: 0.05802864154577366      	BEST SCORE: 31   	BEST RATIO: 0.07524271844660194      TOO_OLD: 98      	WON: 0    	
GEN: 76    AVG FITNESS: 8048554.491925447        	AVG SCORE: 5.378     	AVG RATIO: 0.060361856873484776     	BEST SCORE: 31   	BEST RATIO: 0.06638115631691649      TOO_OLD: 114     	WON: 0    	
GEN: 77    AVG FITNESS: 40875331.03068775        	AVG SCORE: 4.984     	AVG RATIO: 0.058819364127740935     	BEST SCORE: 35   	BEST RATIO: 0.089058524173028        TOO_OLD: 138     	WON: 0    	
GEN: 78    AVG FITNESS: 709868.386005117         	AVG SCORE: 4.872     	AVG RATIO: 0.06246634356488961      	BEST SCORE: 27   	BEST RATIO: 0.07317073170731707      TOO_OLD: 98      	WON: 0    	
GEN: 79    AVG FITNESS: 1633996.4979928532       	AVG SCORE: 4.209     	AVG RATIO: 0.056587792417316485     	BEST SCORE: 28   	BEST RATIO: 0.08045977011494253      TOO_OLD: 151     	WON: 0    	
GEN: 80    AVG FITNESS: 8015601.280732047        	AVG SCORE: 4.398     	AVG RATIO: 0.05462132690826895      	BEST SCORE: 32   	BEST RATIO: 0.06130268199233716      TOO_OLD: 180     	WON: 0    	
GEN: 81    AVG FITNESS: 5593860.258940233        	AVG SCORE: 4.796     	AVG RATIO: 0.05886684996072271      	BEST SCORE: 31   	BEST RATIO: 0.06567796610169492      TOO_OLD: 134     	WON: 0    	
GEN: 82    AVG FITNESS: 6510458.792291802        	AVG SCORE: 4.616     	AVG RATIO: 0.05913854510979578      	BEST SCORE: 31   	BEST RATIO: 0.0670995670995671       TOO_OLD: 117     	WON: 0    	
GEN: 83    AVG FITNESS: 21678389.45276245        	AVG SCORE: 4.609     	AVG RATIO: 0.05992562929061784      	BEST SCORE: 34   	BEST RATIO: 0.07555555555555556      TOO_OLD: 118     	WON: 0    	
GEN: 84    AVG FITNESS: 1859776.8275633678       	AVG SCORE: 4.154     	AVG RATIO: 0.05998642579676241      	BEST SCORE: 29   	BEST RATIO: 0.06807511737089202      TOO_OLD: 98      	WON: 0    	
GEN: 85    AVG FITNESS: 1812402.086577885        	AVG SCORE: 4.468     	AVG RATIO: 0.05864594544929514      	BEST SCORE: 29   	BEST RATIO: 0.0703883495145631       TOO_OLD: 135     	WON: 0    	
GEN: 86    AVG FITNESS: 3241643.5499739577       	AVG SCORE: 4.491     	AVG RATIO: 0.05519300962282933      	BEST SCORE: 30   	BEST RATIO: 0.06564551422319474      TOO_OLD: 165     	WON: 0    	
GEN: 87    AVG FITNESS: 10273455.61646247        	AVG SCORE: 5.23      	AVG RATIO: 0.058243128869882844     	BEST SCORE: 32   	BEST RATIO: 0.07692307692307693      TOO_OLD: 141     	WON: 0    	
GEN: 88    AVG FITNESS: 66400994.1188133         	AVG SCORE: 6.363     	AVG RATIO: 0.060060031714868234     	BEST SCORE: 35   	BEST RATIO: 0.07113821138211382      TOO_OLD: 140     	WON: 0    	
GEN: 89    AVG FITNESS: 23742108.858905744       	AVG SCORE: 6.317     	AVG RATIO: 0.060012160133761476     	BEST SCORE: 32   	BEST RATIO: 0.07785888077858881      TOO_OLD: 142     	WON: 0    	
GEN: 90    AVG FITNESS: 31447589.15054217        	AVG SCORE: 6.126     	AVG RATIO: 0.06212603695515487      	BEST SCORE: 34   	BEST RATIO: 0.0757238307349666       TOO_OLD: 113     	WON: 0    	
GEN: 91    AVG FITNESS: 142206031.3148447        	AVG SCORE: 6.839     	AVG RATIO: 0.05801367422764366      	BEST SCORE: 35   	BEST RATIO: 0.07337526205450734      TOO_OLD: 181     	WON: 0    	
GEN: 92    AVG FITNESS: 25767702.908580475       	AVG SCORE: 6.224     	AVG RATIO: 0.054654501707953176     	BEST SCORE: 32   	BEST RATIO: 0.07373271889400922      TOO_OLD: 213     	WON: 0    	
GEN: 93    AVG FITNESS: 118854676.1865246        	AVG SCORE: 6.788     	AVG RATIO: 0.0586314716603037       	BEST SCORE: 35   	BEST RATIO: 0.06782945736434108      TOO_OLD: 161     	WON: 0    	
GEN: 94    AVG FITNESS: 17743395720.117146       	AVG SCORE: 5.564     	AVG RATIO: 0.05396963965274747      	BEST SCORE: 44   	BEST RATIO: 0.05612244897959184      TOO_OLD: 157     	WON: 0    	
