GEN: 55    AVG FITNESS: 239.40185138356335       	AVG SCORE: 0.292     	AVG RATIO: 0.017356157869709937     	BEST FITNESS: 9127.851319459178        	BEST SCORE: 4    	BEST RATIO: 0.08888888888888889      TOO_OLD: 57      	WON: 0    	
GEN: 56    AVG FITNESS: 249.8014905577979        	AVG SCORE: 0.286     	AVG RATIO: 0.014295711286614015     	BEST FITNESS: 9140.276263629541        	BEST SCORE: 4    	BEST RATIO: 0.1                      TOO_OLD: 84      	WON: 0    	
GEN: 57    AVG FITNESS: 336.1216706489882        	AVG SCORE: 0.325     	AVG RATIO: 0.0161162352474462       	BEST FITNESS: 60489.427669273115       	BEST SCORE: 10   	BEST RATIO: 0.03731343283582089      TOO_OLD: 83      	WON: 0    	
GEN: 58    AVG FITNESS: 369.22854363666744       	AVG SCORE: 0.36      	AVG RATIO: 0.013034033309196233     	BEST FITNESS: 20791.120288564663       	BEST SCORE: 6    	BEST RATIO: 0.04                     TOO_OLD: 159     	WON: 0    	
GEN: 59    AVG FITNESS: 358.45114733439226       	AVG SCORE: 0.335     	AVG RATIO: 0.013358854727439487     	BEST FITNESS: 29513.377081988154       	BEST SCORE: 7    	BEST RATIO: 0.0958904109589041       TOO_OLD: 140     	WON: 0    	
GEN: 60    AVG FITNESS: 332.2580872228129        	AVG SCORE: 0.329     	AVG RATIO: 0.012588482877367515     	BEST FITNESS: 37013.640760236136       	BEST SCORE: 8    	BEST RATIO: 0.02952029520295203      TOO_OLD: 153     	WON: 0    	
GEN: 61    AVG FITNESS: 466.6959455745199        	AVG SCORE: 0.388     	AVG RATIO: 0.013477369828754037     	BEST FITNESS: 37155.2493106201         	BEST SCORE: 8    	BEST RATIO: 0.03076923076923077      TOO_OLD: 169     	WON: 0    	
GEN: 62    AVG FITNESS: 595.6822451846563        	AVG SCORE: 0.447     	AVG RATIO: 0.014989436973944534     	BEST FITNESS: 37445.0491571846         	BEST SCORE: 8    	BEST RATIO: 0.03375527426160337      TOO_OLD: 182     	WON: 0    	
GEN: 63    AVG FITNESS: 17964.21940436941        	AVG SCORE: 0.531     	AVG RATIO: 0.017421259842519687     	BEST FITNESS: 17152024.400955234       	BEST SCORE: 24   	BEST RATIO: 0.05263157894736842      TOO_OLD: 170     	WON: 0    	
GEN: 64    AVG FITNESS: 39822.47188938897        	AVG SCORE: 1.099     	AVG RATIO: 0.02179431245785904      	BEST FITNESS: 33968431.92663563        	BEST SCORE: 25   	BEST RATIO: 0.06631299734748011      TOO_OLD: 294     	WON: 0    	
GEN: 65    AVG FITNESS: 3097.1006366476836       	AVG SCORE: 0.943     	AVG RATIO: 0.021969061597241636     	BEST FITNESS: 310803.42765592306       	BEST SCORE: 17   	BEST RATIO: 0.04096385542168675      TOO_OLD: 230     	WON: 0    	
GEN: 66    AVG FITNESS: 150462.35738885246       	AVG SCORE: 1.057     	AVG RATIO: 0.0223921701550716       	BEST FITNESS: 134699018.59187606       	BEST SCORE: 27   	BEST RATIO: 0.056842105263157895     TOO_OLD: 255     	WON: 0    	
GEN: 67    AVG FITNESS: 39357.292687521964       	AVG SCORE: 1.386     	AVG RATIO: 0.0229212145266918       	BEST FITNESS: 33961227.66308658        	BEST SCORE: 25   	BEST RATIO: 0.05070993914807302      TOO_OLD: 332     	WON: 0    	
