GEN: 135   BEST FITNESS: 2.4758800785707605e+27   	BEST SCORE: 91   	BEST RATIO: 0.035463756819953236     WON: 0    	
GEN: 136   BEST FITNESS: 6.044629098073146e+23    	BEST SCORE: 79   	BEST RATIO: 0.033460398136382886     WON: 0    	
GEN: 137   BEST FITNESS: 2.4758800785707605e+27   	BEST SCORE: 91   	BEST RATIO: 0.04199353945546839      WON: 0    	
GEN: 138   BEST FITNESS: 6.65379373496419e+32     	BEST SCORE: 97   	BEST RATIO: 0.04199134199134199      WON: 1    	
GEN: 139   BEST FITNESS: 6.205193188440566e+32    	BEST SCORE: 97   	BEST RATIO: 0.03916027452563585      WON: 1    	
GEN: 140   BEST FITNESS: 4.835703278458517e+24    	BEST SCORE: 82   	BEST RATIO: 0.04630152456239413      WON: 0    	
GEN: 141   BEST FITNESS: 2.4758800785707605e+27   	BEST SCORE: 91   	BEST RATIO: 0.0398947829899167       WON: 0    	
GEN: 142   BEST FITNESS: 2.4178516392292583e+24   	BEST SCORE: 81   	BEST RATIO: 0.036618444846292945     WON: 0    	
GEN: 143   BEST FITNESS: 1.9807040628566084e+28   	BEST SCORE: 94   	BEST RATIO: 0.040188114578879865     WON: 0    	
GEN: 144   BEST FITNESS: 6.901779761009107e+32    	BEST SCORE: 97   	BEST RATIO: 0.04355635383924562      WON: 1    	
GEN: 145   BEST FITNESS: 1.9807040628566084e+28   	BEST SCORE: 94   	BEST RATIO: 0.040068201193520885     WON: 0    	
GEN: 146   BEST FITNESS: 1.2379400392853803e+27   	BEST SCORE: 90   	BEST RATIO: 0.04573170731707317      WON: 0    	
GEN: 147   BEST FITNESS: 3.961408125713217e+28    	BEST SCORE: 95   	BEST RATIO: 0.04269662921348315      WON: 0    	
GEN: 148   BEST FITNESS: 6.189700196426902e+26    	BEST SCORE: 89   	BEST RATIO: 0.03647540983606557      WON: 0    	
GEN: 149   BEST FITNESS: 3.961408125713217e+28    	BEST SCORE: 95   	BEST RATIO: 0.04513064133016627      WON: 0    	
GEN: 150   BEST FITNESS: 1.2379400392853803e+27   	BEST SCORE: 90   	BEST RATIO: 0.03938730853391685      WON: 0    	
GEN: 151   BEST FITNESS: 6.67112132281566e+32     	BEST SCORE: 97   	BEST RATIO: 0.04210069444444445      WON: 1    	
GEN: 152   BEST FITNESS: 7.519698399103366e+32    	BEST SCORE: 97   	BEST RATIO: 0.0474559686888454       WON: 4    	
GEN: 153   BEST FITNESS: 6.523880954060816e+32    	BEST SCORE: 97   	BEST RATIO: 0.041171477079796265     WON: 1    	
GEN: 154   BEST FITNESS: 6.936039498089928e+32    	BEST SCORE: 97   	BEST RATIO: 0.043772563176895304     WON: 2    	
GEN: 155   BEST FITNESS: 7.005589575099034e+32    	BEST SCORE: 97   	BEST RATIO: 0.04421148587055606      WON: 1    	
GEN: 156   BEST FITNESS: 7.135684089028449e+32    	BEST SCORE: 97   	BEST RATIO: 0.04503249767873723      WON: 1    	
GEN: 157   BEST FITNESS: 2.4758800785707605e+27   	BEST SCORE: 91   	BEST RATIO: 0.03786933000416146      WON: 0    	
GEN: 158   BEST FITNESS: 6.973803778478803e+32    	BEST SCORE: 97   	BEST RATIO: 0.04401088929219601      WON: 3    	
GEN: 159   BEST FITNESS: 1.9807040628566084e+28   	BEST SCORE: 94   	BEST RATIO: 0.0432183908045977       WON: 0    	
GEN: 160   BEST FITNESS: 6.828193481904613e+32    	BEST SCORE: 97   	BEST RATIO: 0.04309195912927588      WON: 3    	
GEN: 161   BEST FITNESS: 5.7416001224382826e+32   	BEST SCORE: 97   	BEST RATIO: 0.036234590960029886     WON: 1    	
GEN: 162   BEST FITNESS: 7.239879193484353e+32    	BEST SCORE: 97   	BEST RATIO: 0.045690061234102686     WON: 2    	
GEN: 163   BEST FITNESS: 6.3539741743560486e+32   	BEST SCORE: 97   	BEST RATIO: 0.040099214551467546     WON: 1    	
GEN: 164   BEST FITNESS: 5.9574664836307294e+32   	BEST SCORE: 97   	BEST RATIO: 0.037596899224806204     WON: 2    	
GEN: 165   BEST FITNESS: 6.593849647261811e+32    	BEST SCORE: 97   	BEST RATIO: 0.041613041613041614     WON: 4    	
GEN: 166   BEST FITNESS: 6.36449835518314e+32     	BEST SCORE: 97   	BEST RATIO: 0.0401656314699793       WON: 1    	
GEN: 167   BEST FITNESS: 6.668227127014005e+32    	BEST SCORE: 97   	BEST RATIO: 0.0420824295010846       WON: 3    	
GEN: 168   BEST FITNESS: 7.182366134470692e+32    	BEST SCORE: 97   	BEST RATIO: 0.04532710280373832      WON: 1    	
GEN: 169   BEST FITNESS: 7.333140996072177e+32    	BEST SCORE: 97   	BEST RATIO: 0.046278625954198474     WON: 3    	
GEN: 170   BEST FITNESS: 7.347162298167917e+32    	BEST SCORE: 97   	BEST RATIO: 0.046367112810707455     WON: 2    	
GEN: 171   BEST FITNESS: 6.499054345778976e+32    	BEST SCORE: 97   	BEST RATIO: 0.041014799154334036     WON: 3    	
GEN: 172   BEST FITNESS: 6.294129208749911e+32    	BEST SCORE: 97   	BEST RATIO: 0.039721539721539724     WON: 2    	
GEN: 173   BEST FITNESS: 6.942305116426053e+32    	BEST SCORE: 97   	BEST RATIO: 0.043812104787714544     WON: 5    	
GEN: 174   BEST FITNESS: 2.4758800785707605e+27   	BEST SCORE: 91   	BEST RATIO: 0.03887227680478428      WON: 0    	
GEN: 175   BEST FITNESS: 6.477144343770452e+32    	BEST SCORE: 97   	BEST RATIO: 0.04087652760219132      WON: 1    	
GEN: 176   BEST FITNESS: 1.2379400392853803e+27   	BEST SCORE: 90   	BEST RATIO: 0.04335260115606936      WON: 0    	
GEN: 177   BEST FITNESS: 6.212717674926145e+32    	BEST SCORE: 97   	BEST RATIO: 0.039207760711398545     WON: 1    	
GEN: 178   BEST FITNESS: 6.3408677919832016e+32   	BEST SCORE: 97   	BEST RATIO: 0.040016501650165015     WON: 1    	
GEN: 179   BEST FITNESS: 7.277586897617084e+32    	BEST SCORE: 97   	BEST RATIO: 0.045928030303030304     WON: 1    	
GEN: 180   BEST FITNESS: 7.802164227293036e+32    	BEST SCORE: 97   	BEST RATIO: 0.049238578680203045     WON: 4    	
GEN: 181   BEST FITNESS: 6.441853951285533e+32    	BEST SCORE: 97   	BEST RATIO: 0.040653813914501256     WON: 3    	
GEN: 182   BEST FITNESS: 6.420327288123342e+32    	BEST SCORE: 97   	BEST RATIO: 0.04051796157059315      WON: 2    	
GEN: 183   BEST FITNESS: 6.932910928176491e+32    	BEST SCORE: 97   	BEST RATIO: 0.043752819124943616     WON: 3    	
GEN: 184   BEST FITNESS: 7.475809108836226e+32    	BEST SCORE: 97   	BEST RATIO: 0.04717898832684825      WON: 3    	
GEN: 185   BEST FITNESS: 6.504555026562539e+32    	BEST SCORE: 97   	BEST RATIO: 0.04104951333051206      WON: 1    	
GEN: 186   BEST FITNESS: 6.726592353508658e+32    	BEST SCORE: 97   	BEST RATIO: 0.04245076586433261      WON: 4    	
GEN: 187   BEST FITNESS: 6.070404236874914e+32    	BEST SCORE: 97   	BEST RATIO: 0.03830963665086888      WON: 2    	
GEN: 188   BEST FITNESS: 6.622259167499905e+32    	BEST SCORE: 97   	BEST RATIO: 0.04179233089185696      WON: 2    	
GEN: 189   BEST FITNESS: 7.18572394940032e+32     	BEST SCORE: 97   	BEST RATIO: 0.045348293595137916     WON: 4    	
GEN: 190   BEST FITNESS: 7.011981536390183e+32    	BEST SCORE: 97   	BEST RATIO: 0.04425182481751825      WON: 3    	
GEN: 191   BEST FITNESS: 6.785988312480036e+32    	BEST SCORE: 97   	BEST RATIO: 0.04282560706401766      WON: 2    	
GEN: 192   BEST FITNESS: 6.668227127014005e+32    	BEST SCORE: 97   	BEST RATIO: 0.0420824295010846       WON: 4    	
GEN: 193   BEST FITNESS: 6.958018799351418e+32    	BEST SCORE: 97   	BEST RATIO: 0.04391127206880942      WON: 7    	
GEN: 194   BEST FITNESS: 6.929785179336014e+32    	BEST SCORE: 97   	BEST RATIO: 0.043733092876465283     WON: 7    	
GEN: 195   BEST FITNESS: 7.378907118467251e+32    	BEST SCORE: 97   	BEST RATIO: 0.04656745079212674      WON: 4    	
GEN: 196   BEST FITNESS: 7.354193075486737e+32    	BEST SCORE: 97   	BEST RATIO: 0.046411483253588515     WON: 6    	
GEN: 197   BEST FITNESS: 7.354193075486737e+32    	BEST SCORE: 97   	BEST RATIO: 0.046411483253588515     WON: 6    	
GEN: 198   BEST FITNESS: 7.216086163271024e+32    	BEST SCORE: 97   	BEST RATIO: 0.045539906103286384     WON: 7    	
