GEN: 62    AVG SCORE: 0.6136363636363636    	AVG RATIO: 0.04632035711729767   	BEST SCORE: 9    	BEST RATIO: 0.08411214953271028   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 63    AVG SCORE: 0.6227272727272727    	AVG RATIO: 0.045526655194482804  	BEST SCORE: 8    	BEST RATIO: 0.05517241379310345   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 64    AVG SCORE: 0.7127272727272728    	AVG RATIO: 0.04977709844854871   	BEST SCORE: 10   	BEST RATIO: 0.16666666666666666   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 65    AVG SCORE: 0.8036363636363636    	AVG RATIO: 0.05264413473563144   	BEST SCORE: 13   	BEST RATIO: 0.08783783783783784   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 66    AVG SCORE: 0.8754545454545455    	AVG RATIO: 0.055667940376026875  	BEST SCORE: 9    	BEST RATIO: 0.10588235294117647   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 67    AVG SCORE: 0.8536363636363636    	AVG RATIO: 0.050860321150096484  	BEST SCORE: 10   	BEST RATIO: 0.12345679012345678   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 68    AVG SCORE: 1.0172727272727273    	AVG RATIO: 0.0550025786457353    	BEST SCORE: 14   	BEST RATIO: 0.08641975308641975   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 69    AVG SCORE: 1.089090909090909     	AVG RATIO: 0.05175151780500884   	BEST SCORE: 17   	BEST RATIO: 0.08374384236453201   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 70    AVG SCORE: 1.240909090909091     	AVG RATIO: 0.053408287735977826  	BEST SCORE: 20   	BEST RATIO: 0.07936507936507936   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 71    AVG SCORE: 1.3636363636363635    	AVG RATIO: 0.06138877814172747   	BEST SCORE: 15   	BEST RATIO: 0.08064516129032258   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 72    AVG SCORE: 1.4127272727272728    	AVG RATIO: 0.05949443622163346   	BEST SCORE: 18   	BEST RATIO: 0.09183673469387756   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 73    AVG SCORE: 1.5118181818181817    	AVG RATIO: 0.0586430330530981    	BEST SCORE: 18   	BEST RATIO: 0.06766917293233082   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 74    AVG SCORE: 1.710909090909091     	AVG RATIO: 0.05882953111915887   	BEST SCORE: 17   	BEST RATIO: 0.1111111111111111    WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 75    AVG SCORE: 1.7254545454545454    	AVG RATIO: 0.05790473400511044   	BEST SCORE: 15   	BEST RATIO: 0.1171875             WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 76    AVG SCORE: 1.6418181818181818    	AVG RATIO: 0.055605228339191196  	BEST SCORE: 16   	BEST RATIO: 0.08205128205128205   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 77    AVG SCORE: 1.809090909090909     	AVG RATIO: 0.059168813521875356  	BEST SCORE: 14   	BEST RATIO: 0.1111111111111111    WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 78    AVG SCORE: 1.9036363636363636    	AVG RATIO: 0.06299281006800982   	BEST SCORE: 19   	BEST RATIO: 0.09047619047619047   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 79    AVG SCORE: 2.0863636363636364    	AVG RATIO: 0.06233288796174692   	BEST SCORE: 21   	BEST RATIO: 0.07581227436823104   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 80    AVG SCORE: 2.130909090909091     	AVG RATIO: 0.06597072611928564   	BEST SCORE: 19   	BEST RATIO: 0.08225108225108226   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 81    AVG SCORE: 2.021818181818182     	AVG RATIO: 0.0597097124895116    	BEST SCORE: 17   	BEST RATIO: 0.0825242718446602    WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 82    AVG SCORE: 2.1863636363636365    	AVG RATIO: 0.06351131628684571   	BEST SCORE: 20   	BEST RATIO: 0.0784313725490196    WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 83    AVG SCORE: 2.2618181818181817    	AVG RATIO: 0.061741725996118546  	BEST SCORE: 21   	BEST RATIO: 0.0958904109589041    WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 84    AVG SCORE: 2.477272727272727     	AVG RATIO: 0.06867558408481607   	BEST SCORE: 17   	BEST RATIO: 0.08854166666666667   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 85    AVG SCORE: 2.36                  	AVG RATIO: 0.062149018330085695  	BEST SCORE: 18   	BEST RATIO: 0.1111111111111111    WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 86    AVG SCORE: 2.0081818181818183    	AVG RATIO: 0.05847130251149365   	BEST SCORE: 15   	BEST RATIO: 0.07772020725388601   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 87    AVG SCORE: 2.1245454545454545    	AVG RATIO: 0.06376127082366986   	BEST SCORE: 16   	BEST RATIO: 0.09815950920245399   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 88    AVG SCORE: 2.231818181818182     	AVG RATIO: 0.06086421612697813   	BEST SCORE: 23   	BEST RATIO: 0.10454545454545454   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 89    AVG SCORE: 2.346363636363636     	AVG RATIO: 0.0650373635140325    	BEST SCORE: 17   	BEST RATIO: 0.09550561797752809   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 90    AVG SCORE: 2.268181818181818     	AVG RATIO: 0.06471883163241547   	BEST SCORE: 21   	BEST RATIO: 0.11170212765957446   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 91    AVG SCORE: 2.3636363636363638    	AVG RATIO: 0.06473680867392664   	BEST SCORE: 22   	BEST RATIO: 0.09205020920502092   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 92    AVG SCORE: 2.6045454545454545    	AVG RATIO: 0.06179924263494556   	BEST SCORE: 20   	BEST RATIO: 0.08968609865470852   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 93    AVG SCORE: 2.5163636363636366    	AVG RATIO: 0.06764971140085184   	BEST SCORE: 19   	BEST RATIO: 0.05846153846153846   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 94    AVG SCORE: 2.349090909090909     	AVG RATIO: 0.062009494582367417  	BEST SCORE: 18   	BEST RATIO: 0.09836065573770492   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 95    AVG SCORE: 2.521818181818182     	AVG RATIO: 0.06075333801624161   	BEST SCORE: 20   	BEST RATIO: 0.07142857142857142   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 96    AVG SCORE: 2.69                  	AVG RATIO: 0.059173417069306344  	BEST SCORE: 18   	BEST RATIO: 0.08530805687203792   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 97    AVG SCORE: 2.7745454545454544    	AVG RATIO: 0.06620579829852943   	BEST SCORE: 22   	BEST RATIO: 0.08461538461538462   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 98    AVG SCORE: 2.7418181818181817    	AVG RATIO: 0.06287988847350125   	BEST SCORE: 17   	BEST RATIO: 0.0752212389380531    WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 99    AVG SCORE: 2.617272727272727     	AVG RATIO: 0.06344176025527302   	BEST SCORE: 21   	BEST RATIO: 0.08860759493670886   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 100   AVG SCORE: 2.691818181818182     	AVG RATIO: 0.06349098354246124   	BEST SCORE: 21   	BEST RATIO: 0.09012875536480687   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 101   AVG SCORE: 2.7745454545454544    	AVG RATIO: 0.06843683090802839   	BEST SCORE: 20   	BEST RATIO: 0.07547169811320754   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 102   AVG SCORE: 2.6672727272727275    	AVG RATIO: 0.06253099558311805   	BEST SCORE: 21   	BEST RATIO: 0.08860759493670886   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 103   AVG SCORE: 2.920909090909091     	AVG RATIO: 0.07058664279559049   	BEST SCORE: 22   	BEST RATIO: 0.08560311284046693   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 104   AVG SCORE: 2.9318181818181817    	AVG RATIO: 0.06808155536741826   	BEST SCORE: 21   	BEST RATIO: 0.07806691449814127   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 105   AVG SCORE: 3.2209090909090907    	AVG RATIO: 0.06705658624557702   	BEST SCORE: 21   	BEST RATIO: 0.08898305084745763   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 106   AVG SCORE: 3.059090909090909     	AVG RATIO: 0.06842043932739346   	BEST SCORE: 22   	BEST RATIO: 0.10185185185185185   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 107   AVG SCORE: 2.9709090909090907    	AVG RATIO: 0.06314273169588726   	BEST SCORE: 20   	BEST RATIO: 0.09174311926605505   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 108   AVG SCORE: 3.2172727272727273    	AVG RATIO: 0.06364622497316286   	BEST SCORE: 20   	BEST RATIO: 0.06451612903225806   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 109   AVG SCORE: 3.096363636363636     	AVG RATIO: 0.06632488943052903   	BEST SCORE: 23   	BEST RATIO: 0.06628242074927954   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 110   AVG SCORE: 3.1254545454545455    	AVG RATIO: 0.06214300983263452   	BEST SCORE: 21   	BEST RATIO: 0.07446808510638298   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 111   AVG SCORE: 3.4509090909090907    	AVG RATIO: 0.06424800839113233   	BEST SCORE: 21   	BEST RATIO: 0.06687898089171974   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 112   AVG SCORE: 3.340909090909091     	AVG RATIO: 0.0634399635537505    	BEST SCORE: 26   	BEST RATIO: 0.08                  WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 113   AVG SCORE: 3.2627272727272727    	AVG RATIO: 0.06421587314018734   	BEST SCORE: 18   	BEST RATIO: 0.07964601769911504   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 114   AVG SCORE: 3.168181818181818     	AVG RATIO: 0.059966255452373246  	BEST SCORE: 18   	BEST RATIO: 0.07894736842105263   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
