GEN: 240   AVG SCORE: 9.902727272727272     	AVG RATIO: 0.062191975914354276  	BEST SCORE: 31   	BEST RATIO: 0.0625                WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 241   AVG SCORE: 9.83090909090909      	AVG RATIO: 0.05998401478412098   	BEST SCORE: 28   	BEST RATIO: 0.08045977011494253   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 242   AVG SCORE: 9.180909090909092     	AVG RATIO: 0.06109699420665491   	BEST SCORE: 30   	BEST RATIO: 0.04926108374384237   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 243   AVG SCORE: 9.319090909090908     	AVG RATIO: 0.060474884666617136  	BEST SCORE: 27   	BEST RATIO: 0.072                 WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 244   AVG SCORE: 9.33090909090909      	AVG RATIO: 0.06259667349607698   	BEST SCORE: 30   	BEST RATIO: 0.06944444444444445   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 245   AVG SCORE: 9.096363636363636     	AVG RATIO: 0.06062687679892852   	BEST SCORE: 30   	BEST RATIO: 0.05725190839694656   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 246   AVG SCORE: 9.437272727272727     	AVG RATIO: 0.06041553362761877   	BEST SCORE: 29   	BEST RATIO: 0.06605922551252848   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 247   AVG SCORE: 9.64090909090909      	AVG RATIO: 0.060151831993153854  	BEST SCORE: 28   	BEST RATIO: 0.06845965770171149   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 248   AVG SCORE: 9.481818181818182     	AVG RATIO: 0.061940473277063576  	BEST SCORE: 29   	BEST RATIO: 0.07901907356948229   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 249   AVG SCORE: 9.74909090909091      	AVG RATIO: 0.06282365842222634   	BEST SCORE: 34   	BEST RATIO: 0.0735930735930736    WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 250   AVG SCORE: 9.565454545454546     	AVG RATIO: 0.06203883174213272   	BEST SCORE: 30   	BEST RATIO: 0.07614213197969544   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 251   AVG SCORE: 9.853636363636364     	AVG RATIO: 0.060922564787698176  	BEST SCORE: 33   	BEST RATIO: 0.07746478873239436   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 252   AVG SCORE: 9.443636363636363     	AVG RATIO: 0.05888795109820542   	BEST SCORE: 30   	BEST RATIO: 0.07614213197969544   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 253   AVG SCORE: 9.687272727272727     	AVG RATIO: 0.06022890863529772   	BEST SCORE: 28   	BEST RATIO: 0.07734806629834254   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 254   AVG SCORE: 9.801818181818183     	AVG RATIO: 0.06148643011987191   	BEST SCORE: 30   	BEST RATIO: 0.05747126436781609   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 255   AVG SCORE: 9.90090909090909      	AVG RATIO: 0.060214282926178725  	BEST SCORE: 29   	BEST RATIO: 0.07816711590296496   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 256   AVG SCORE: 10.338181818181818    	AVG RATIO: 0.06253759921547451   	BEST SCORE: 32   	BEST RATIO: 0.06237816764132553   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 257   AVG SCORE: 10.442727272727273    	AVG RATIO: 0.06368483740178832   	BEST SCORE: 30   	BEST RATIO: 0.05545286506469501   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 258   AVG SCORE: 10.083636363636364    	AVG RATIO: 0.06436852499410081   	BEST SCORE: 30   	BEST RATIO: 0.09063444108761329   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 259   AVG SCORE: 10.19909090909091     	AVG RATIO: 0.06093285357507741   	BEST SCORE: 29   	BEST RATIO: 0.06092436974789916   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 260   AVG SCORE: 10.451818181818181    	AVG RATIO: 0.06171893584893962   	BEST SCORE: 31   	BEST RATIO: 0.06638115631691649   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 261   AVG SCORE: 9.681818181818182     	AVG RATIO: 0.05929387290591007   	BEST SCORE: 29   	BEST RATIO: 0.06823529411764706   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 262   AVG SCORE: 10.506363636363636    	AVG RATIO: 0.06153909808545285   	BEST SCORE: 30   	BEST RATIO: 0.09900990099009901   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 263   AVG SCORE: 10.422727272727272    	AVG RATIO: 0.061062191263449146  	BEST SCORE: 28   	BEST RATIO: 0.08069164265129683   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 264   AVG SCORE: 10.504545454545454    	AVG RATIO: 0.06261387589737565   	BEST SCORE: 31   	BEST RATIO: 0.09198813056379822   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 265   AVG SCORE: 10.622727272727273    	AVG RATIO: 0.06057504641352007   	BEST SCORE: 31   	BEST RATIO: 0.07242990654205607   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 266   AVG SCORE: 10.36                 	AVG RATIO: 0.061981610730744915  	BEST SCORE: 29   	BEST RATIO: 0.06807511737089202   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 267   AVG SCORE: 10.64090909090909     	AVG RATIO: 0.061323218318342886  	BEST SCORE: 32   	BEST RATIO: 0.07048458149779736   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 268   AVG SCORE: 10.733636363636364    	AVG RATIO: 0.06379313037122046   	BEST SCORE: 33   	BEST RATIO: 0.08088235294117647   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 269   AVG SCORE: 11.171818181818182    	AVG RATIO: 0.06354756004500656   	BEST SCORE: 29   	BEST RATIO: 0.08579881656804733   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 270   AVG SCORE: 10.91090909090909     	AVG RATIO: 0.06043347298037655   	BEST SCORE: 29   	BEST RATIO: 0.0640176600441501    WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 271   AVG SCORE: 10.875454545454545    	AVG RATIO: 0.061631559300438905  	BEST SCORE: 31   	BEST RATIO: 0.07175925925925926   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 272   AVG SCORE: 11.327272727272728    	AVG RATIO: 0.06156222990679418   	BEST SCORE: 30   	BEST RATIO: 0.0625                WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 273   AVG SCORE: 11.195454545454545    	AVG RATIO: 0.06014202922094366   	BEST SCORE: 29   	BEST RATIO: 0.06415929203539823   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 274   AVG SCORE: 10.868181818181819    	AVG RATIO: 0.06026475102017142   	BEST SCORE: 32   	BEST RATIO: 0.06765327695560254   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 275   AVG SCORE: 11.212727272727273    	AVG RATIO: 0.06176300935728696   	BEST SCORE: 30   	BEST RATIO: 0.07462686567164178   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 276   AVG SCORE: 10.972727272727273    	AVG RATIO: 0.06018285304608632   	BEST SCORE: 30   	BEST RATIO: 0.0625                WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 277   AVG SCORE: 11.120909090909091    	AVG RATIO: 0.06218548931515774   	BEST SCORE: 33   	BEST RATIO: 0.05490848585690516   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 278   AVG SCORE: 11.41                 	AVG RATIO: 0.06144608314409448   	BEST SCORE: 32   	BEST RATIO: 0.08184143222506395   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 279   AVG SCORE: 11.187272727272727    	AVG RATIO: 0.06271019995610065   	BEST SCORE: 31   	BEST RATIO: 0.06724511930585683   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 280   AVG SCORE: 11.225454545454545    	AVG RATIO: 0.05974412889434923   	BEST SCORE: 34   	BEST RATIO: 0.06093189964157706   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 281   AVG SCORE: 11.303636363636363    	AVG RATIO: 0.06042605598162014   	BEST SCORE: 30   	BEST RATIO: 0.08287292817679558   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 282   AVG SCORE: 11.008181818181818    	AVG RATIO: 0.06074400735495381   	BEST SCORE: 36   	BEST RATIO: 0.07453416149068323   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 283   AVG SCORE: 11.371818181818181    	AVG RATIO: 0.059032493582306875  	BEST SCORE: 36   	BEST RATIO: 0.056338028169014086  WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 284   AVG SCORE: 11.328181818181818    	AVG RATIO: 0.0599107902507771    	BEST SCORE: 33   	BEST RATIO: 0.043478260869565216  WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 285   AVG SCORE: 11.3                  	AVG RATIO: 0.058318066482382185  	BEST SCORE: 33   	BEST RATIO: 0.07158351409978309   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 286   AVG SCORE: 11.306363636363637    	AVG RATIO: 0.05772763075186236   	BEST SCORE: 33   	BEST RATIO: 0.08229426433915212   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 287   AVG SCORE: 10.611818181818181    	AVG RATIO: 0.058808832646734636  	BEST SCORE: 34   	BEST RATIO: 0.05501618122977346   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 288   AVG SCORE: 11.042727272727273    	AVG RATIO: 0.05975801999886733   	BEST SCORE: 32   	BEST RATIO: 0.055267702936096716  WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 289   AVG SCORE: 11.378181818181819    	AVG RATIO: 0.057558817550248075  	BEST SCORE: 33   	BEST RATIO: 0.05509181969949917   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 290   AVG SCORE: 11.51909090909091     	AVG RATIO: 0.058141565707505984  	BEST SCORE: 32   	BEST RATIO: 0.06896551724137931   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 291   AVG SCORE: 11.398181818181818    	AVG RATIO: 0.05927716048039431   	BEST SCORE: 31   	BEST RATIO: 0.06652360515021459   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 292   AVG SCORE: 11.57090909090909     	AVG RATIO: 0.05857745959234218   	BEST SCORE: 33   	BEST RATIO: 0.07051282051282051   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 293   AVG SCORE: 11.757272727272728    	AVG RATIO: 0.05883117142064678   	BEST SCORE: 30   	BEST RATIO: 0.06880733944954129   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 294   AVG SCORE: 11.303636363636363    	AVG RATIO: 0.05496085340132952   	BEST SCORE: 31   	BEST RATIO: 0.0649895178197065    WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 295   AVG SCORE: 11.392727272727273    	AVG RATIO: 0.055658715989634344  	BEST SCORE: 33   	BEST RATIO: 0.05339805825242718   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 296   AVG SCORE: 11.55090909090909     	AVG RATIO: 0.05675002679506075   	BEST SCORE: 34   	BEST RATIO: 0.06813627254509018   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 297   AVG SCORE: 11.325454545454546    	AVG RATIO: 0.05814599088033385   	BEST SCORE: 32   	BEST RATIO: 0.07079646017699115   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 298   AVG SCORE: 11.378181818181819    	AVG RATIO: 0.06003148455094788   	BEST SCORE: 39   	BEST RATIO: 0.059907834101382486  WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 299   AVG SCORE: 11.343636363636364    	AVG RATIO: 0.05493901538484075   	BEST SCORE: 36   	BEST RATIO: 0.06050420168067227   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 300   AVG SCORE: 11.412727272727272    	AVG RATIO: 0.05786094468267312   	BEST SCORE: 35   	BEST RATIO: 0.04827586206896552   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 301   AVG SCORE: 11.569090909090908    	AVG RATIO: 0.0555692797233047    	BEST SCORE: 33   	BEST RATIO: 0.061224489795918366  WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 302   AVG SCORE: 11.928181818181818    	AVG RATIO: 0.05454900397638784   	BEST SCORE: 36   	BEST RATIO: 0.04539722572509458   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 303   AVG SCORE: 11.937272727272727    	AVG RATIO: 0.055154507441472406  	BEST SCORE: 38   	BEST RATIO: 0.05801526717557252   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 304   AVG SCORE: 12.127272727272727    	AVG RATIO: 0.0533609096057411    	BEST SCORE: 36   	BEST RATIO: 0.06228373702422145   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 305   AVG SCORE: 12.021818181818182    	AVG RATIO: 0.05281004668258696   	BEST SCORE: 37   	BEST RATIO: 0.0504774897680764    WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 306   AVG SCORE: 12.430909090909092    	AVG RATIO: 0.054561011012863925  	BEST SCORE: 37   	BEST RATIO: 0.050203527815468114  WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 307   AVG SCORE: 12.216363636363637    	AVG RATIO: 0.05305854383976455   	BEST SCORE: 41   	BEST RATIO: 0.046275395033860044  WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 308   AVG SCORE: 12.99                 	AVG RATIO: 0.05285983158882596   	BEST SCORE: 41   	BEST RATIO: 0.04302203567681007   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 309   AVG SCORE: 12.889090909090909    	AVG RATIO: 0.05244934168181744   	BEST SCORE: 37   	BEST RATIO: 0.06727272727272728   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 310   AVG SCORE: 13.052727272727273    	AVG RATIO: 0.05353605411570447   	BEST SCORE: 39   	BEST RATIO: 0.06210191082802548   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 311   AVG SCORE: 13.786363636363637    	AVG RATIO: 0.05366697085463968   	BEST SCORE: 39   	BEST RATIO: 0.054775280898876406  WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 312   AVG SCORE: 13.054545454545455    	AVG RATIO: 0.053139654827328055  	BEST SCORE: 37   	BEST RATIO: 0.0642361111111111    WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 313   AVG SCORE: 13.670909090909092    	AVG RATIO: 0.05358783886380101   	BEST SCORE: 42   	BEST RATIO: 0.05722070844686648   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 314   AVG SCORE: 13.828181818181818    	AVG RATIO: 0.052488508187357646  	BEST SCORE: 38   	BEST RATIO: 0.05547445255474453   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 315   AVG SCORE: 13.923636363636364    	AVG RATIO: 0.051484845167775455  	BEST SCORE: 38   	BEST RATIO: 0.08225108225108226   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 316   AVG SCORE: 14.306363636363637    	AVG RATIO: 0.053085161245241014  	BEST SCORE: 42   	BEST RATIO: 0.051533742331288344  WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 317   AVG SCORE: 13.747272727272728    	AVG RATIO: 0.05156757789440626   	BEST SCORE: 42   	BEST RATIO: 0.056833558863328824  WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 318   AVG SCORE: 13.620909090909091    	AVG RATIO: 0.05105582040986112   	BEST SCORE: 41   	BEST RATIO: 0.06466876971608833   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 319   AVG SCORE: 14.126363636363637    	AVG RATIO: 0.051247549172887465  	BEST SCORE: 60   	BEST RATIO: 0.046189376443418015  WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 320   AVG SCORE: 14.551818181818183    	AVG RATIO: 0.051002670251547665  	BEST SCORE: 51   	BEST RATIO: 0.04481546572934974   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 321   AVG SCORE: 14.219090909090909    	AVG RATIO: 0.05072009620458506   	BEST SCORE: 46   	BEST RATIO: 0.061170212765957445  WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 322   AVG SCORE: 14.531818181818181    	AVG RATIO: 0.05336449968987318   	BEST SCORE: 47   	BEST RATIO: 0.05408515535097814   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 323   AVG SCORE: 14.469090909090909    	AVG RATIO: 0.050586294319719595  	BEST SCORE: 44   	BEST RATIO: 0.047670639219934995  WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 324   AVG SCORE: 14.916363636363636    	AVG RATIO: 0.05218139392625823   	BEST SCORE: 44   	BEST RATIO: 0.05858854860186418   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 325   AVG SCORE: 14.75                 	AVG RATIO: 0.05027636066208553   	BEST SCORE: 59   	BEST RATIO: 0.03858731196860693   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 326   AVG SCORE: 14.541818181818181    	AVG RATIO: 0.049520371902744297  	BEST SCORE: 44   	BEST RATIO: 0.05929919137466307   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 327   AVG SCORE: 14.828181818181818    	AVG RATIO: 0.05126923319571009   	BEST SCORE: 43   	BEST RATIO: 0.047619047619047616  WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 328   AVG SCORE: 14.665454545454546    	AVG RATIO: 0.05059551820069304   	BEST SCORE: 52   	BEST RATIO: 0.052845528455284556  WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 329   AVG SCORE: 14.30090909090909     	AVG RATIO: 0.05050433716819213   	BEST SCORE: 41   	BEST RATIO: 0.03942307692307692   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 330   AVG SCORE: 14.93909090909091     	AVG RATIO: 0.0495817639207936    	BEST SCORE: 50   	BEST RATIO: 0.0589622641509434    WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 331   AVG SCORE: 15.072727272727272    	AVG RATIO: 0.04918498525378601   	BEST SCORE: 47   	BEST RATIO: 0.052338530066815145  WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 332   AVG SCORE: 14.752727272727272    	AVG RATIO: 0.04933877544159397   	BEST SCORE: 47   	BEST RATIO: 0.05187637969094923   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 333   AVG SCORE: 15.067272727272726    	AVG RATIO: 0.049446344163672246  	BEST SCORE: 48   	BEST RATIO: 0.0482897384305835    WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 334   AVG SCORE: 15.200909090909091    	AVG RATIO: 0.04972386847355419   	BEST SCORE: 49   	BEST RATIO: 0.057511737089201875  WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 335   AVG SCORE: 14.752727272727272    	AVG RATIO: 0.05010825637805914   	BEST SCORE: 54   	BEST RATIO: 0.05714285714285714   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 336   AVG SCORE: 15.645454545454545    	AVG RATIO: 0.051923393451842006  	BEST SCORE: 48   	BEST RATIO: 0.05052631578947368   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 337   AVG SCORE: 15.176363636363636    	AVG RATIO: 0.04945356867110244   	BEST SCORE: 43   	BEST RATIO: 0.03853046594982079   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 338   AVG SCORE: 15.440909090909091    	AVG RATIO: 0.050768814677535946  	BEST SCORE: 50   	BEST RATIO: 0.046296296296296294  WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 339   AVG SCORE: 15.99909090909091     	AVG RATIO: 0.0508545009525622    	BEST SCORE: 47   	BEST RATIO: 0.04662698412698413   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 340   AVG SCORE: 15.04                 	AVG RATIO: 0.0489342440541068    	BEST SCORE: 50   	BEST RATIO: 0.055991041433370664  WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 341   AVG SCORE: 16.23181818181818     	AVG RATIO: 0.04997307125831411   	BEST SCORE: 49   	BEST RATIO: 0.0506198347107438    WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 342   AVG SCORE: 15.08                 	AVG RATIO: 0.049043847976446245  	BEST SCORE: 54   	BEST RATIO: 0.04967801287948482   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 343   AVG SCORE: 15.955454545454545    	AVG RATIO: 0.04915374857036587   	BEST SCORE: 49   	BEST RATIO: 0.054626532887402456  WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 344   AVG SCORE: 15.602727272727273    	AVG RATIO: 0.050239494352528447  	BEST SCORE: 51   	BEST RATIO: 0.04908565928777671   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 345   AVG SCORE: 15.84                 	AVG RATIO: 0.049089829682107476  	BEST SCORE: 50   	BEST RATIO: 0.04557885141294439   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 346   AVG SCORE: 16.113636363636363    	AVG RATIO: 0.0495214974240493    	BEST SCORE: 45   	BEST RATIO: 0.05178365937859609   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 347   AVG SCORE: 15.87                 	AVG RATIO: 0.049759596175232394  	BEST SCORE: 54   	BEST RATIO: 0.05432595573440644   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 348   AVG SCORE: 15.83909090909091     	AVG RATIO: 0.0484348118397861    	BEST SCORE: 46   	BEST RATIO: 0.045409674234945706  WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 349   AVG SCORE: 15.445454545454545    	AVG RATIO: 0.048907505026704955  	BEST SCORE: 49   	BEST RATIO: 0.06064356435643564   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 350   AVG SCORE: 16.406363636363636    	AVG RATIO: 0.047251662607765185  	BEST SCORE: 48   	BEST RATIO: 0.04853387259858443   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 351   AVG SCORE: 16.492727272727272    	AVG RATIO: 0.04714906863507839   	BEST SCORE: 51   	BEST RATIO: 0.061371841155234655  WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 352   AVG SCORE: 16.367272727272727    	AVG RATIO: 0.048369512156076024  	BEST SCORE: 50   	BEST RATIO: 0.04642525533890436   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 353   AVG SCORE: 16.593636363636364    	AVG RATIO: 0.047360861552866895  	BEST SCORE: 54   	BEST RATIO: 0.04895738893925657   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 354   AVG SCORE: 16.902727272727272    	AVG RATIO: 0.048107504221987424  	BEST SCORE: 54   	BEST RATIO: 0.054600606673407485  WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 355   AVG SCORE: 17.366363636363637    	AVG RATIO: 0.04733034530485206   	BEST SCORE: 60   	BEST RATIO: 0.03710575139146568   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 356   AVG SCORE: 17.93                 	AVG RATIO: 0.04678016381111877   	BEST SCORE: 63   	BEST RATIO: 0.03917910447761194   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 357   AVG SCORE: 16.883636363636363    	AVG RATIO: 0.04660364680483212   	BEST SCORE: 59   	BEST RATIO: 0.04812398042414356   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 358   AVG SCORE: 17.421818181818182    	AVG RATIO: 0.04646648740274184   	BEST SCORE: 57   	BEST RATIO: 0.04194260485651214   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 359   AVG SCORE: 17.311818181818182    	AVG RATIO: 0.04638661793222063   	BEST SCORE: 53   	BEST RATIO: 0.04818181818181818   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 360   AVG SCORE: 18.2                  	AVG RATIO: 0.046423984621975556  	BEST SCORE: 61   	BEST RATIO: 0.05451295799821269   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 361   AVG SCORE: 17.258181818181818    	AVG RATIO: 0.045047084749684586  	BEST SCORE: 59   	BEST RATIO: 0.04847986852917009   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 362   AVG SCORE: 17.591818181818184    	AVG RATIO: 0.045240203923369714  	BEST SCORE: 63   	BEST RATIO: 0.04639175257731959   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 363   AVG SCORE: 17.78181818181818     	AVG RATIO: 0.04629017412421013   	BEST SCORE: 62   	BEST RATIO: 0.04302567661346287   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 364   AVG SCORE: 17.577272727272728    	AVG RATIO: 0.04443636139508809   	BEST SCORE: 56   	BEST RATIO: 0.03875432525951557   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
