GEN: 53    AVG FITNESS: 47071193.68540926     	AVG SCORE: 4.904545454545454     	AVG RATIO: 0.052898796296333116  	BEST FITNESS: 34360569395.72244     	BEST SCORE: 35   	BEST RATIO: 0.06294964028776978   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 54    AVG FITNESS: 15222212.948391851    	AVG SCORE: 4.837272727272727     	AVG RATIO: 0.04862547874637283   	BEST FITNESS: 8590664730.101229     	BEST SCORE: 33   	BEST RATIO: 0.056896551724137934  WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 55    AVG FITNESS: 1009681801.0715927    	AVG SCORE: 4.651818181818181     	AVG RATIO: 0.047506059342478806  	BEST FITNESS: 1099512743625.8027    	BEST SCORE: 40   	BEST RATIO: 0.08438818565400844   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 56    AVG FITNESS: 8941119.719789961     	AVG SCORE: 4.41                  	AVG RATIO: 0.053945852340009114  	BEST FITNESS: 4295652745.895409     	BEST SCORE: 32   	BEST RATIO: 0.05745062836624776   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 57    AVG FITNESS: 78094343.92375629     	AVG SCORE: 4.653636363636363     	AVG RATIO: 0.04973047699721319   	BEST FITNESS: 68720355528.94385     	BEST SCORE: 36   	BEST RATIO: 0.06060606060606061   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 58    AVG FITNESS: 50993937.3468011      	AVG SCORE: 4.516363636363637     	AVG RATIO: 0.0486919685036271    	BEST FITNESS: 34360571798.503136    	BEST SCORE: 35   	BEST RATIO: 0.06578947368421052   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 59    AVG FITNESS: 235515089.65484568    	AVG SCORE: 5.205454545454545     	AVG RATIO: 0.05122951667750671   	BEST FITNESS: 137439890541.23044    	BEST SCORE: 37   	BEST RATIO: 0.06751824817518248   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 60    AVG FITNESS: 10121843.748201447    	AVG SCORE: 4.106363636363636     	AVG RATIO: 0.04505594648685521   	BEST FITNESS: 4295654186.809003     	BEST SCORE: 32   	BEST RATIO: 0.059149722735674676  WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 61    AVG FITNESS: 19797029.06573727     	AVG SCORE: 4.150909090909091     	AVG RATIO: 0.04885224958878599   	BEST FITNESS: 4295659559.808464     	BEST SCORE: 32   	BEST RATIO: 0.06666666666666667   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 62    AVG FITNESS: 86035577.83618592     	AVG SCORE: 4.295454545454546     	AVG RATIO: 0.050478756221599724  	BEST FITNESS: 68720344851.64476     	BEST SCORE: 36   	BEST RATIO: 0.05202312138728324   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 63    AVG FITNESS: 44913467.87050475     	AVG SCORE: 5.433636363636364     	AVG RATIO: 0.05729355011519151   	BEST FITNESS: 17180658524.399887    	BEST SCORE: 34   	BEST RATIO: 0.0728051391862955    WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
GEN: 64    AVG FITNESS: 8995008.651673513     	AVG SCORE: 5.147272727272727     	AVG RATIO: 0.0527338682612691    	BEST FITNESS: 4295660679.161426     	BEST SCORE: 32   	BEST RATIO: 0.06852248394004283   WON: 0    	WON AVG RATIO: 0                     	WON MEDIAN RATIO: 0
