
GEN: 38    BEST FITNESS: 21460.26374117571        	BEST SCORE: 6    	BEST RATIO: 0.14634146341463414      WON: 0    	WON AVG RATIO: 0                        	
GEN: 39    BEST FITNESS: 21365.95975568477        	BEST SCORE: 6    	BEST RATIO: 0.1                      WON: 0    	WON AVG RATIO: 0                        	
GEN: 40    BEST FITNESS: 38793.12264737479        	BEST SCORE: 8    	BEST RATIO: 0.06837606837606838      WON: 0    	WON AVG RATIO: 0                        	
GEN: 41    BEST FITNESS: 63054.555503692056       	BEST SCORE: 10   	BEST RATIO: 0.10204081632653061      WON: 0    	WON AVG RATIO: 0                        	
GEN: 42    BEST FITNESS: 29142.862307927393       	BEST SCORE: 7    	BEST RATIO: 0.05785123966942149      WON: 0    	WON AVG RATIO: 0                        	
GEN: 43    BEST FITNESS: 63176.91840563867        	BEST SCORE: 10   	BEST RATIO: 0.11363636363636363      WON: 0    	WON AVG RATIO: 0                        	
GEN: 44    BEST FITNESS: 77083.49038873574        	BEST SCORE: 11   	BEST RATIO: 0.07236842105263158      WON: 0    	WON AVG RATIO: 0                        	
GEN: 45    BEST FITNESS: 17158858.758410044       	BEST SCORE: 24   	BEST RATIO: 0.0712166172106825       WON: 0    	WON AVG RATIO: 0                        	
GEN: 46    BEST FITNESS: 8590674155.566162        	BEST SCORE: 33   	BEST RATIO: 0.06903765690376569      WON: 0    	WON AVG RATIO: 0                        	
GEN: 47    BEST FITNESS: 34360580978.468735       	BEST SCORE: 35   	BEST RATIO: 0.08009153318077804      WON: 0    	WON AVG RATIO: 0                        	
GEN: 48    BEST FITNESS: 4295664563.022921        	BEST SCORE: 32   	BEST RATIO: 0.07600950118764846      WON: 0    	WON AVG RATIO: 0                        	
GEN: 49    BEST FITNESS: 8590671897.050838        	BEST SCORE: 33   	BEST RATIO: 0.06560636182902585      WON: 0    	WON AVG RATIO: 0                        	
GEN: 50    BEST FITNESS: 8590681390.993284        	BEST SCORE: 33   	BEST RATIO: 0.08354430379746836      WON: 0    	WON AVG RATIO: 0                        	
GEN: 51    BEST FITNESS: 537432160.2321504        	BEST SCORE: 29   	BEST RATIO: 0.0614406779661017       WON: 0    	WON AVG RATIO: 0                        	
GEN: 52    BEST FITNESS: 17180660721.888798       	BEST SCORE: 34   	BEST RATIO: 0.07674943566591422      WON: 0    	WON AVG RATIO: 0                        	
GEN: 53    BEST FITNESS: 68720358486.36726        	BEST SCORE: 36   	BEST RATIO: 0.0636042402826855       WON: 0    	WON AVG RATIO: 0                        	
GEN: 54    BEST FITNESS: 4295658953.242126        	BEST SCORE: 32   	BEST RATIO: 0.06570841889117043      WON: 0    	WON AVG RATIO: 0                        	
GEN: 55    BEST FITNESS: 2148135151.2824545       	BEST SCORE: 31   	BEST RATIO: 0.07345971563981042      WON: 0    	WON AVG RATIO: 0                        	
