GEN: 44    AVG FITNESS: 149309.76187112165       	AVG SCORE: 1.777     	AVG RATIO: 0.052483903361096346     	BEST SCORE: 27   	BEST RATIO: 0.06940874035989718      TOO_OLD: 41      	WON: 0    	
GEN: 45    AVG FITNESS: 49101.390517324646       	AVG SCORE: 1.626     	AVG RATIO: 0.044029244516653125     	BEST SCORE: 24   	BEST RATIO: 0.0821917808219178       TOO_OLD: 100     	WON: 0    	
GEN: 46    AVG FITNESS: 586077.5653881794        	AVG SCORE: 1.673     	AVG RATIO: 0.047302646460076904     	BEST SCORE: 29   	BEST RATIO: 0.08868501529051988      TOO_OLD: 73      	WON: 0    	
GEN: 47    AVG FITNESS: 81122.76148053019        	AVG SCORE: 1.764     	AVG RATIO: 0.04359322871617447      	BEST SCORE: 24   	BEST RATIO: 0.07868852459016394      TOO_OLD: 94      	WON: 0    	
GEN: 48    AVG FITNESS: 17438.672081377175       	AVG SCORE: 1.701     	AVG RATIO: 0.04565462451017231      	BEST SCORE: 22   	BEST RATIO: 0.07857142857142857      TOO_OLD: 86      	WON: 0    	
GEN: 49    AVG FITNESS: 21197.78785440801        	AVG SCORE: 1.818     	AVG RATIO: 0.045592476489028214     	BEST SCORE: 22   	BEST RATIO: 0.07692307692307693      TOO_OLD: 100     	WON: 0    	
GEN: 50    AVG FITNESS: 35822.90966462974        	AVG SCORE: 1.896     	AVG RATIO: 0.04585913312693498      	BEST SCORE: 24   	BEST RATIO: 0.06722689075630252      TOO_OLD: 92      	WON: 0    	
GEN: 51    AVG FITNESS: 48774.60364210687        	AVG SCORE: 1.872     	AVG RATIO: 0.049386624455876535     	BEST SCORE: 24   	BEST RATIO: 0.053452115812917596     TOO_OLD: 52      	WON: 0    	
GEN: 52    AVG FITNESS: 42796.98874825732        	AVG SCORE: 2.018     	AVG RATIO: 0.04327686039030666      	BEST SCORE: 23   	BEST RATIO: 0.08273381294964029      TOO_OLD: 119     	WON: 0    	
GEN: 53    AVG FITNESS: 89459.01112893909        	AVG SCORE: 1.914     	AVG RATIO: 0.0483247910722852       	BEST SCORE: 25   	BEST RATIO: 0.0700280112044818       TOO_OLD: 83      	WON: 0    	
